Date,ALBK,UNIONBANK
2018-06-18,44.75,90.55
2018-06-19,44.3,90.1
2018-06-20,44.7,89.0
2018-06-21,43.55,86.0
2018-06-22,44.9,85.75
2018-06-25,41.25,82.4
2018-06-26,41.55,83.45
2018-06-27,41.2,81.35
2018-06-28,40.95,79.8
2018-06-29,41.8,81.95
2018-07-02,41.8,81.2
2018-07-03,41.2,80.75
2018-07-04,40.9,79.75
2018-07-05,41.35,79.45
2018-07-06,42.5,81.3
2018-07-09,42.65,81.3
2018-07-10,43.05,81.65
2018-07-11,42.15,78.65
2018-07-12,42.0,78.45
2018-07-13,40.6,76.6
2018-07-16,39.65,74.4
2018-07-17,42.2,80.7
2018-07-18,41.05,76.2
2018-07-19,41.15,76.5
2018-07-20,40.9,76.75
2018-07-23,41.5,78.95
2018-07-24,43.1,81.25
2018-07-25,42.85,81.85
2018-07-26,44.4,85.05
2018-07-27,45.15,85.05
2018-07-30,46.3,88.15
2018-07-31,45.6,86.45
2018-08-01,45.6,88.05
2018-08-02,44.9,86.85
2018-08-03,45.4,88.35
2018-08-06,46.3,90.6
2018-08-07,44.9,86.5
2018-08-08,44.0,85.05
2018-08-09,45.8,89.15
2018-08-10,44.8,85.55
2018-08-13,42.75,84.55
2018-08-14,39.95,85.35
2018-08-16,39.55,84.4
2018-08-17,40.2,86.6
2018-08-20,40.8,88.6
2018-08-21,40.8,88.35
2018-08-23,40.3,88.75
2018-08-24,40.3,86.65
2018-08-27,40.7,89.8
2018-08-28,40.45,85.6
2018-08-29,40.45,87.95
2018-08-30,41.85,90.5
2018-08-31,42.65,89.75
2018-09-03,42.8,90.25
2018-09-04,41.1,84.75
2018-09-05,40.9,83.25
2018-09-06,40.4,82.95
2018-09-07,40.55,83.55
2018-09-10,40.1,81.5
2018-09-11,40.85,80.75
2018-09-12,39.85,81.2
2018-09-14,40.65,83.85
2018-09-17,40.8,82.3
2018-09-18,39.85,74.85
2018-09-19,39.55,78.45
2018-09-21,37.85,73.8
2018-09-24,36.7,72.3
2018-09-25,37.75,70.15
2018-09-26,37.35,70.6
2018-09-27,36.45,67.6
2018-09-28,35.5,65.75
2018-10-01,36.1,69.2
2018-10-03,36.9,68.55
2018-10-04,36.05,68.05
2018-10-05,35.35,66.0
2018-10-08,34.05,66.4
2018-10-09,33.85,65.75
2018-10-10,36.1,71.7
2018-10-11,35.4,68.55
2018-10-12,36.35,69.1
2018-10-15,37.7,68.95
2018-10-16,38.4,71.05
2018-10-17,37.85,66.85
2018-10-19,37.05,64.5
2018-10-22,36.75,62.7
2018-10-23,35.9,62.65
2018-10-24,37.3,63.4
2018-10-25,37.15,63.65
2018-10-26,37.05,62.15
2018-10-29,40.65,69.7
2018-10-30,41.75,75.8
2018-10-31,44.2,76.65
2018-11-01,43.3,77.35
2018-11-02,42.9,75.75
2018-11-05,43.7,79.45
2018-11-06,43.55,78.95
2018-11-07,43.8,79.3
2018-11-09,43.95,81.85
2018-11-12,41.65,78.55
2018-11-13,37.4,79.9
2018-11-14,38.7,80.65
2018-11-15,42.2,81.6
2018-11-16,43.35,82.6
2018-11-19,43.55,81.75
2018-11-20,44.65,79.95
2018-11-21,44.95,82.15
2018-11-22,45.15,80.3
2018-11-26,45.5,80.05
2018-11-27,47.5,81.7
2018-11-28,47.1,79.4
2018-11-29,47.35,79.8
2018-11-30,48.55,78.55
2018-12-03,48.85,80.75
2018-12-04,47.35,79.05
2018-12-05,45.7,76.15
2018-12-06,44.85,73.55
2018-12-07,43.1,73.0
2018-12-10,44.2,71.55
2018-12-11,44.3,73.4
2018-12-12,46.3,77.05
2018-12-13,46.3,77.2
2018-12-14,46.55,77.8
2018-12-17,45.8,77.85
2018-12-18,46.4,80.45
2018-12-19,48.4,83.1
2018-12-20,46.5,82.45
2018-12-21,46.65,82.4
2018-12-24,45.8,83.05
2018-12-26,46.05,83.5
2018-12-27,46.45,83.9
2018-12-28,46.85,85.95
2018-12-31,46.1,85.9
2019-01-01,46.7,88.3
2019-01-02,45.0,88.2
2019-01-03,44.7,88.75
2019-01-04,46.7,92.25
2019-01-07,46.15,90.6
2019-01-08,47.55,94.55
2019-01-09,46.1,92.0
2019-01-10,45.85,92.8
2019-01-11,44.55,93.65
2019-01-14,44.45,94.25
2019-01-15,43.95,94.15
2019-01-16,44.45,96.2
2019-01-17,44.45,94.85
2019-01-18,43.8,92.5
2019-01-21,42.65,86.3
2019-01-22,42.45,83.95
2019-01-23,42.05,82.75
2019-01-24,43.15,82.5
2019-01-25,43.4,79.45
2019-01-28,42.3,78.4
2019-01-29,43.9,80.05
2019-01-30,44.9,81.2
2019-01-31,45.15,82.75
2019-02-01,44.4,81.45
2019-02-04,43.55,79.45
2019-02-05,42.45,78.15
2019-02-06,42.35,79.4
2019-02-07,42.6,78.8
2019-02-08,41.05,72.5
2019-02-11,39.85,72.15
2019-02-12,39.25,70.4
2019-02-13,41.65,69.4
2019-02-14,43.8,70.95
2019-02-15,42.0,68.65
2019-02-18,41.45,67.95
2019-02-19,41.55,68.5
2019-02-20,44.2,69.65
2019-02-21,46.3,71.55
2019-02-22,45.85,71.2
2019-02-25,45.05,71.25
2019-02-26,44.0,69.7
2019-02-27,47.4,70.1
2019-02-28,48.0,71.65
2019-03-01,50.3,77.15
2019-03-05,52.3,80.65
2019-03-06,51.45,79.25
2019-03-07,54.85,79.95
