Date,ANDHRABANK,ALBK
2018-06-18,34.85,44.75
2018-06-19,34.1,44.3
2018-06-20,34.25,44.7
2018-06-21,33.85,43.55
2018-06-22,34.35,44.9
2018-06-25,33.3,41.25
2018-06-26,33.3,41.55
2018-06-27,31.8,41.2
2018-06-28,31.4,40.95
2018-06-29,32.7,41.8
2018-07-02,32.65,41.8
2018-07-03,32.2,41.2
2018-07-04,31.95,40.9
2018-07-05,31.4,41.35
2018-07-06,32.35,42.5
2018-07-09,32.5,42.65
2018-07-10,33.3,43.05
2018-07-11,31.85,42.15
2018-07-12,31.55,42.0
2018-07-13,30.65,40.6
2018-07-16,29.55,39.65
2018-07-17,30.95,42.2
2018-07-18,30.6,41.05
2018-07-19,30.15,41.15
2018-07-20,30.8,40.9
2018-07-23,31.3,41.5
2018-07-24,32.0,43.1
2018-07-25,31.95,42.85
2018-07-26,32.7,44.4
2018-07-27,33.3,45.15
2018-07-30,35.65,46.3
2018-07-31,35.15,45.6
2018-08-01,35.3,45.6
2018-08-02,35.1,44.9
2018-08-03,35.65,45.4
2018-08-06,36.0,46.3
2018-08-07,34.0,44.9
2018-08-08,33.6,44.0
2018-08-09,34.55,45.8
2018-08-10,34.05,44.8
2018-08-13,32.6,42.75
2018-08-14,32.2,39.95
2018-08-16,31.55,39.55
2018-08-17,32.25,40.2
2018-08-20,32.8,40.8
2018-08-21,32.95,40.8
2018-08-23,32.95,40.3
2018-08-24,32.55,40.3
2018-08-27,32.8,40.7
2018-08-28,32.1,40.45
2018-08-29,32.3,40.45
2018-08-30,33.5,41.85
2018-08-31,33.9,42.65
2018-09-03,34.5,42.8
2018-09-04,32.5,41.1
2018-09-05,31.15,40.9
2018-09-06,30.65,40.4
2018-09-07,31.15,40.55
2018-09-10,30.9,40.1
2018-09-11,30.9,40.85
2018-09-12,30.85,39.85
2018-09-14,31.7,40.65
2018-09-17,32.55,40.8
2018-09-18,30.9,39.85
2018-09-19,30.95,39.55
2018-09-21,29.45,37.85
2018-09-24,28.9,36.7
2018-09-25,30.6,37.75
2018-09-26,30.25,37.35
2018-09-27,27.8,36.45
2018-09-28,27.4,35.5
2018-10-01,27.5,36.1
2018-10-03,27.45,36.9
2018-10-04,27.35,36.05
2018-10-05,26.85,35.35
2018-10-08,26.6,34.05
2018-10-09,25.95,33.85
2018-10-10,26.6,36.1
2018-10-11,25.85,35.4
2018-10-12,26.15,36.35
2018-10-15,26.4,37.7
2018-10-16,27.0,38.4
2018-10-17,26.4,37.85
2018-10-19,26.2,37.05
2018-10-22,25.95,36.75
2018-10-23,26.1,35.9
2018-10-24,26.1,37.3
2018-10-25,25.8,37.15
2018-10-26,25.55,37.05
2018-10-29,26.55,40.65
2018-10-30,27.8,41.75
2018-10-31,29.25,44.2
2018-11-01,29.3,43.3
2018-11-02,28.65,42.9
2018-11-05,28.55,43.7
2018-11-06,29.7,43.55
2018-11-07,30.15,43.8
2018-11-09,30.1,43.95
2018-11-12,29.3,41.65
2018-11-13,28.7,37.4
2018-11-14,28.55,38.7
2018-11-15,28.35,42.2
2018-11-16,28.8,43.35
2018-11-19,28.9,43.55
2018-11-20,28.6,44.65
2018-11-21,28.9,44.95
2018-11-22,28.45,45.15
2018-11-26,28.35,45.5
2018-11-27,28.45,47.5
2018-11-28,28.25,47.1
2018-11-29,28.15,47.35
2018-11-30,28.45,48.55
2018-12-03,28.45,48.85
2018-12-04,28.15,47.35
2018-12-05,27.95,45.7
2018-12-06,27.25,44.85
2018-12-07,27.0,43.1
2018-12-10,26.25,44.2
2018-12-11,26.9,44.3
2018-12-12,28.3,46.3
2018-12-13,28.6,46.3
2018-12-14,28.6,46.55
2018-12-17,28.45,45.8
2018-12-18,28.55,46.4
2018-12-19,29.4,48.4
2018-12-20,29.35,46.5
2018-12-21,29.45,46.65
2018-12-24,29.3,45.8
2018-12-26,29.25,46.05
2018-12-27,29.35,46.45
2018-12-28,29.5,46.85
2018-12-31,29.4,46.1
2019-01-01,29.75,46.7
2019-01-02,29.65,45.0
2019-01-03,28.95,44.7
2019-01-04,29.85,46.7
2019-01-07,29.85,46.15
2019-01-08,30.25,47.55
2019-01-09,29.9,46.1
2019-01-10,29.6,45.85
2019-01-11,29.45,44.55
2019-01-14,29.35,44.45
2019-01-15,28.85,43.95
2019-01-16,29.2,44.45
2019-01-17,28.75,44.45
2019-01-18,28.6,43.8
2019-01-21,28.05,42.65
2019-01-22,27.6,42.45
2019-01-23,27.05,42.05
2019-01-24,26.95,43.15
2019-01-25,26.55,43.4
2019-01-28,26.15,42.3
2019-01-29,25.95,43.9
2019-01-30,25.9,44.9
2019-01-31,25.25,45.15
2019-02-01,25.45,44.4
