Date,ANDHRABANK,PNB
2018-06-18,34.85,88.5
2018-06-19,34.1,86.8
2018-06-20,34.25,86.2
2018-06-21,33.85,83.4
2018-06-22,34.35,81.9
2018-06-25,33.3,79.8
2018-06-26,33.3,79.85
2018-06-27,31.8,76.75
2018-06-28,31.4,72.8
2018-06-29,32.7,76.15
2018-07-02,32.65,78.15
2018-07-03,32.2,77.15
2018-07-04,31.95,76.1
2018-07-05,31.4,75.55
2018-07-06,32.35,76.95
2018-07-09,32.5,77.8
2018-07-10,33.3,77.85
2018-07-11,31.85,75.55
2018-07-12,31.55,76.1
2018-07-13,30.65,73.85
2018-07-16,29.55,73.85
2018-07-17,30.95,78.7
2018-07-18,30.6,75.2
2018-07-19,30.15,75.3
2018-07-20,30.8,75.55
2018-07-23,31.3,78.95
2018-07-24,32.0,79.3
2018-07-25,31.95,79.25
2018-07-26,32.7,80.85
2018-07-27,33.3,82.0
2018-07-30,35.65,85.9
2018-07-31,35.15,85.1
2018-08-01,35.3,87.4
2018-08-02,35.1,85.15
2018-08-03,35.65,88.15
2018-08-06,36.0,90.05
2018-08-07,34.0,82.85
2018-08-08,33.6,80.45
2018-08-09,34.55,83.4
2018-08-10,34.05,83.25
2018-08-13,32.6,80.4
2018-08-14,32.2,79.9
2018-08-16,31.55,81.55
2018-08-17,32.25,83.45
2018-08-20,32.8,84.2
2018-08-21,32.95,83.65
2018-08-23,32.95,84.5
2018-08-24,32.55,85.8
2018-08-27,32.8,85.25
2018-08-28,32.1,82.9
2018-08-29,32.3,84.15
2018-08-30,33.5,85.1
2018-08-31,33.9,88.15
2018-09-03,34.5,86.35
2018-09-04,32.5,83.15
2018-09-05,31.15,83.1
2018-09-06,30.65,83.25
2018-09-07,31.15,84.4
2018-09-10,30.9,82.7
2018-09-11,30.9,81.7
2018-09-12,30.85,81.15
2018-09-14,31.7,82.8
2018-09-17,32.55,83.0
2018-09-18,30.9,79.3
2018-09-19,30.95,79.25
2018-09-21,29.45,72.85
2018-09-24,28.9,69.2
2018-09-25,30.6,66.95
2018-09-26,30.25,67.05
2018-09-27,27.8,62.5
2018-09-28,27.4,59.7
2018-10-01,27.5,63.2
2018-10-03,27.45,64.65
2018-10-04,27.35,64.8
2018-10-05,26.85,63.85
2018-10-08,26.6,62.85
2018-10-09,25.95,62.65
2018-10-10,26.6,66.3
2018-10-11,25.85,64.3
2018-10-12,26.15,66.5
