Date,ANDHRABANK,SYNDIBANK
2018-06-18,34.85,48.65
2018-06-19,34.1,47.55
2018-06-20,34.25,47.55
2018-06-21,33.85,45.65
2018-06-22,34.35,46.8
2018-06-25,33.3,45.4
2018-06-26,33.3,43.75
2018-06-27,31.8,41.0
2018-06-28,31.4,39.2
2018-06-29,32.7,40.95
2018-07-02,32.65,41.0
2018-07-03,32.2,40.6
2018-07-04,31.95,40.2
2018-07-05,31.4,39.7
2018-07-06,32.35,40.65
2018-07-09,32.5,42.0
2018-07-10,33.3,41.95
2018-07-11,31.85,40.8
2018-07-12,31.55,40.25
2018-07-13,30.65,39.4
2018-07-16,29.55,37.75
2018-07-17,30.95,39.7
2018-07-18,30.6,38.85
2018-07-19,30.15,39.0
2018-07-20,30.8,38.8
2018-07-23,31.3,39.5
2018-07-24,32.0,40.75
2018-07-25,31.95,40.8
2018-07-26,32.7,43.2
2018-07-27,33.3,43.8
2018-07-30,35.65,45.9
2018-07-31,35.15,45.2
2018-08-01,35.3,45.4
2018-08-02,35.1,44.9
2018-08-03,35.65,45.2
2018-08-06,36.0,44.1
2018-08-07,34.0,41.9
2018-08-08,33.6,41.35
2018-08-09,34.55,42.5
2018-08-10,34.05,41.3
2018-08-13,32.6,39.55
2018-08-14,32.2,38.6
2018-08-16,31.55,37.8
2018-08-17,32.25,38.65
2018-08-20,32.8,39.2
2018-08-21,32.95,39.9
2018-08-23,32.95,39.75
2018-08-24,32.55,39.55
2018-08-27,32.8,39.75
2018-08-28,32.1,38.8
2018-08-29,32.3,39.3
2018-08-30,33.5,40.6
2018-08-31,33.9,40.3
2018-09-03,34.5,41.15
2018-09-04,32.5,38.6
2018-09-05,31.15,38.15
2018-09-06,30.65,37.95
2018-09-07,31.15,38.1
2018-09-10,30.9,36.9
2018-09-11,30.9,36.7
2018-09-12,30.85,36.6
2018-09-14,31.7,38.2
2018-09-17,32.55,39.35
2018-09-18,30.9,37.0
2018-09-19,30.95,36.8
2018-09-21,29.45,34.4
2018-09-24,28.9,33.5
2018-09-25,30.6,33.45
2018-09-26,30.25,33.35
2018-09-27,27.8,32.05
2018-09-28,27.4,30.9
2018-10-01,27.5,31.65
2018-10-03,27.45,32.4
2018-10-04,27.35,32.2
2018-10-05,26.85,31.1
2018-10-08,26.6,30.25
2018-10-09,25.95,29.8
2018-10-10,26.6,31.75
2018-10-11,25.85,30.7
2018-10-12,26.15,31.5
2018-10-15,26.4,32.45
2018-10-16,27.0,33.15
2018-10-17,26.4,32.35
2018-10-19,26.2,31.85
2018-10-22,25.95,31.7
