Date,ANDHRABANK,UNIONBANK
2018-06-18,34.85,90.55
2018-06-19,34.1,90.1
2018-06-20,34.25,89.0
2018-06-21,33.85,86.0
2018-06-22,34.35,85.75
2018-06-25,33.3,82.4
2018-06-26,33.3,83.45
2018-06-27,31.8,81.35
2018-06-28,31.4,79.8
2018-06-29,32.7,81.95
2018-07-02,32.65,81.2
2018-07-03,32.2,80.75
2018-07-04,31.95,79.75
2018-07-05,31.4,79.45
2018-07-06,32.35,81.3
2018-07-09,32.5,81.3
2018-07-10,33.3,81.65
2018-07-11,31.85,78.65
2018-07-12,31.55,78.45
2018-07-13,30.65,76.6
2018-07-16,29.55,74.4
2018-07-17,30.95,80.7
2018-07-18,30.6,76.2
2018-07-19,30.15,76.5
2018-07-20,30.8,76.75
2018-07-23,31.3,78.95
2018-07-24,32.0,81.25
2018-07-25,31.95,81.85
2018-07-26,32.7,85.05
2018-07-27,33.3,85.05
2018-07-30,35.65,88.15
2018-07-31,35.15,86.45
2018-08-01,35.3,88.05
2018-08-02,35.1,86.85
2018-08-03,35.65,88.35
2018-08-06,36.0,90.6
2018-08-07,34.0,86.5
2018-08-08,33.6,85.05
2018-08-09,34.55,89.15
2018-08-10,34.05,85.55
2018-08-13,32.6,84.55
2018-08-14,32.2,85.35
2018-08-16,31.55,84.4
2018-08-17,32.25,86.6
2018-08-20,32.8,88.6
2018-08-21,32.95,88.35
2018-08-23,32.95,88.75
2018-08-24,32.55,86.65
2018-08-27,32.8,89.8
2018-08-28,32.1,85.6
2018-08-29,32.3,87.95
2018-08-30,33.5,90.5
2018-08-31,33.9,89.75
2018-09-03,34.5,90.25
2018-09-04,32.5,84.75
2018-09-05,31.15,83.25
2018-09-06,30.65,82.95
2018-09-07,31.15,83.55
2018-09-10,30.9,81.5
2018-09-11,30.9,80.75
2018-09-12,30.85,81.2
2018-09-14,31.7,83.85
2018-09-17,32.55,82.3
2018-09-18,30.9,74.85
2018-09-19,30.95,78.45
2018-09-21,29.45,73.8
2018-09-24,28.9,72.3
2018-09-25,30.6,70.15
2018-09-26,30.25,70.6
2018-09-27,27.8,67.6
2018-09-28,27.4,65.75
2018-10-01,27.5,69.2
2018-10-03,27.45,68.55
2018-10-04,27.35,68.05
2018-10-05,26.85,66.0
2018-10-08,26.6,66.4
2018-10-09,25.95,65.75
2018-10-10,26.6,71.7
2018-10-11,25.85,68.55
2018-10-12,26.15,69.1
2018-10-15,26.4,68.95
2018-10-16,27.0,71.05
2018-10-17,26.4,66.85
2018-10-19,26.2,64.5
2018-10-22,25.95,62.7
2018-10-23,26.1,62.65
2018-10-24,26.1,63.4
2018-10-25,25.8,63.65
2018-10-26,25.55,62.15
2018-10-29,26.55,69.7
2018-10-30,27.8,75.8
2018-10-31,29.25,76.65
2018-11-01,29.3,77.35
2018-11-02,28.65,75.75
2018-11-05,28.55,79.45
2018-11-06,29.7,78.95
2018-11-07,30.15,79.3
2018-11-09,30.1,81.85
2018-11-12,29.3,78.55
2018-11-13,28.7,79.9
2018-11-14,28.55,80.65
2018-11-15,28.35,81.6
2018-11-16,28.8,82.6
2018-11-19,28.9,81.75
2018-11-20,28.6,79.95
2018-11-21,28.9,82.15
2018-11-22,28.45,80.3
2018-11-26,28.35,80.05
2018-11-27,28.45,81.7
2018-11-28,28.25,79.4
2018-11-29,28.15,79.8
2018-11-30,28.45,78.55
2018-12-03,28.45,80.75
2018-12-04,28.15,79.05
2018-12-05,27.95,76.15
2018-12-06,27.25,73.55
2018-12-07,27.0,73.0
2018-12-10,26.25,71.55
2018-12-11,26.9,73.4
2018-12-12,28.3,77.05
2018-12-13,28.6,77.2
2018-12-14,28.6,77.8
2018-12-17,28.45,77.85
2018-12-18,28.55,80.45
2018-12-19,29.4,83.1
2018-12-20,29.35,82.45
2018-12-21,29.45,82.4
2018-12-24,29.3,83.05
2018-12-26,29.25,83.5
2018-12-27,29.35,83.9
2018-12-28,29.5,85.95
2018-12-31,29.4,85.9
2019-01-01,29.75,88.3
2019-01-02,29.65,88.2
2019-01-03,28.95,88.75
2019-01-04,29.85,92.25
2019-01-07,29.85,90.6
2019-01-08,30.25,94.55
2019-01-09,29.9,92.0
2019-01-10,29.6,92.8
2019-01-11,29.45,93.65
2019-01-14,29.35,94.25
2019-01-15,28.85,94.15
2019-01-16,29.2,96.2
2019-01-17,28.75,94.85
2019-01-18,28.6,92.5
2019-01-21,28.05,86.3
2019-01-22,27.6,83.95
2019-01-23,27.05,82.75
2019-01-24,26.95,82.5
2019-01-25,26.55,79.45
2019-01-28,26.15,78.4
2019-01-29,25.95,80.05
2019-01-30,25.9,81.2
2019-01-31,25.25,82.75
2019-02-01,25.45,81.45
2019-02-04,25.0,79.45
2019-02-05,24.4,78.15
2019-02-06,24.25,79.4
2019-02-07,24.45,78.8
2019-02-08,24.1,72.5
2019-02-11,23.8,72.15
2019-02-12,23.3,70.4
2019-02-13,23.3,69.4
2019-02-14,23.7,70.95
2019-02-15,23.2,68.65
2019-02-18,23.3,67.95
2019-02-19,23.4,68.5
2019-02-20,24.0,69.65
2019-02-21,25.4,71.55
2019-02-22,25.1,71.2
2019-02-25,25.05,71.25
2019-02-26,24.45,69.7
2019-02-27,24.6,70.1
2019-02-28,24.55,71.65
2019-03-01,25.45,77.15
2019-03-05,26.25,80.65
2019-03-06,26.4,79.25
2019-03-07,26.7,79.95
2019-03-08,26.65,78.1
2019-03-11,27.0,82.7
2019-03-12,27.0,82.7
2019-03-13,26.6,82.6
2019-03-14,26.4,82.8
2019-03-15,25.8,82.9
2019-03-18,25.9,83.75
2019-03-19,26.3,87.65
2019-03-20,26.2,88.45
2019-03-22,25.9,86.85
2019-03-25,25.4,87.4
2019-03-26,25.7,91.55
2019-03-27,27.1,93.8
2019-03-28,27.95,96.95
2019-03-29,28.05,95.6
2019-04-01,32.2,96.4
2019-04-02,31.85,98.8
2019-04-03,31.05,94.8
2019-04-04,30.75,92.35
2019-04-05,30.3,93.0
2019-04-08,29.8,92.25
2019-04-09,29.55,94.7
2019-04-10,29.25,93.6
2019-04-11,28.9,93.25
2019-04-12,28.95,93.5
2019-04-15,29.05,92.7
2019-04-16,28.8,92.3
2019-04-18,28.35,91.0
2019-04-22,27.7,86.2
