Date,BANKBARODA,ALBK
2018-06-18,130.4,44.75
2018-06-19,127.85,44.3
2018-06-20,125.1,44.7
2018-06-21,122.0,43.55
2018-06-22,121.5,44.9
2018-06-25,116.8,41.25
2018-06-26,118.05,41.55
2018-06-27,115.15,41.2
2018-06-28,113.0,40.95
2018-06-29,112.65,41.8
2018-07-02,113.65,41.8
2018-07-03,113.0,41.2
2018-07-04,113.1,40.9
2018-07-05,113.25,41.35
2018-07-06,115.55,42.5
2018-07-09,117.0,42.65
2018-07-10,119.5,43.05
2018-07-11,116.2,42.15
2018-07-12,119.45,42.0
2018-07-13,117.4,40.6
2018-07-16,113.05,39.65
2018-07-17,120.8,42.2
2018-07-18,117.65,41.05
2018-07-19,120.05,41.15
2018-07-20,120.25,40.9
2018-07-23,126.3,41.5
2018-07-24,132.55,43.1
2018-07-25,131.8,42.85
2018-07-26,138.85,44.4
2018-07-27,137.85,45.15
2018-07-30,152.05,46.3
2018-07-31,153.35,45.6
2018-08-01,150.2,45.6
2018-08-02,147.25,44.9
2018-08-03,149.6,45.4
2018-08-06,150.55,46.3
2018-08-07,146.15,44.9
2018-08-08,148.6,44.0
2018-08-09,154.75,45.8
2018-08-10,148.3,44.8
2018-08-13,145.65,42.75
2018-08-14,146.3,39.95
2018-08-16,142.7,39.55
2018-08-17,146.2,40.2
2018-08-20,151.0,40.8
2018-08-21,150.9,40.8
2018-08-23,149.85,40.3
2018-08-24,147.4,40.3
2018-08-27,150.05,40.7
2018-08-28,143.85,40.45
2018-08-29,147.7,40.45
2018-08-30,150.15,41.85
2018-08-31,152.95,42.65
2018-09-03,151.7,42.8
2018-09-04,145.55,41.1
2018-09-05,144.55,40.9
2018-09-06,146.1,40.4
2018-09-07,148.05,40.55
2018-09-10,146.6,40.1
2018-09-11,140.5,40.85
2018-09-12,133.55,39.85
2018-09-14,134.4,40.65
2018-09-17,135.25,40.8
2018-09-18,113.1,39.85
2018-09-19,116.35,39.55
2018-09-21,111.45,37.85
2018-09-24,107.7,36.7
2018-09-25,109.45,37.75
2018-09-26,109.15,37.35
2018-09-27,104.35,36.45
2018-09-28,99.5,35.5
2018-10-01,104.4,36.1
2018-10-03,103.3,36.9
2018-10-04,103.35,36.05
2018-10-05,99.1,35.35
2018-10-08,97.5,34.05
2018-10-09,93.25,33.85
2018-10-10,95.6,36.1
2018-10-11,93.95,35.4
2018-10-12,96.5,36.35
2018-10-15,97.35,37.7
2018-10-16,100.25,38.4
2018-10-17,99.6,37.85
2018-10-19,102.4,37.05
