Date,BANKBARODA,ANDHRABANK
2018-06-18,130.4,34.85
2018-06-19,127.85,34.1
2018-06-20,125.1,34.25
2018-06-21,122.0,33.85
2018-06-22,121.5,34.35
2018-06-25,116.8,33.3
2018-06-26,118.05,33.3
2018-06-27,115.15,31.8
2018-06-28,113.0,31.4
2018-06-29,112.65,32.7
2018-07-02,113.65,32.65
2018-07-03,113.0,32.2
2018-07-04,113.1,31.95
2018-07-05,113.25,31.4
2018-07-06,115.55,32.35
2018-07-09,117.0,32.5
2018-07-10,119.5,33.3
2018-07-11,116.2,31.85
2018-07-12,119.45,31.55
2018-07-13,117.4,30.65
2018-07-16,113.05,29.55
2018-07-17,120.8,30.95
2018-07-18,117.65,30.6
2018-07-19,120.05,30.15
2018-07-20,120.25,30.8
2018-07-23,126.3,31.3
2018-07-24,132.55,32.0
2018-07-25,131.8,31.95
2018-07-26,138.85,32.7
2018-07-27,137.85,33.3
2018-07-30,152.05,35.65
2018-07-31,153.35,35.15
2018-08-01,150.2,35.3
2018-08-02,147.25,35.1
2018-08-03,149.6,35.65
2018-08-06,150.55,36.0
2018-08-07,146.15,34.0
2018-08-08,148.6,33.6
2018-08-09,154.75,34.55
2018-08-10,148.3,34.05
2018-08-13,145.65,32.6
2018-08-14,146.3,32.2
2018-08-16,142.7,31.55
2018-08-17,146.2,32.25
2018-08-20,151.0,32.8
2018-08-21,150.9,32.95
2018-08-23,149.85,32.95
2018-08-24,147.4,32.55
2018-08-27,150.05,32.8
2018-08-28,143.85,32.1
2018-08-29,147.7,32.3
2018-08-30,150.15,33.5
2018-08-31,152.95,33.9
2018-09-03,151.7,34.5
2018-09-04,145.55,32.5
2018-09-05,144.55,31.15
2018-09-06,146.1,30.65
2018-09-07,148.05,31.15
2018-09-10,146.6,30.9
2018-09-11,140.5,30.9
2018-09-12,133.55,30.85
2018-09-14,134.4,31.7
2018-09-17,135.25,32.55
2018-09-18,113.1,30.9
2018-09-19,116.35,30.95
2018-09-21,111.45,29.45
2018-09-24,107.7,28.9
2018-09-25,109.45,30.6
2018-09-26,109.15,30.25
2018-09-27,104.35,27.8
