Date,BANKBARODA,CANBK
2018-06-18,130.4,267.7
2018-06-19,127.85,262.15
2018-06-20,125.1,261.6
2018-06-21,122.0,255.1
2018-06-22,121.5,259.4
2018-06-25,116.8,249.95
2018-06-26,118.05,253.05
2018-06-27,115.15,247.5
2018-06-28,113.0,248.8
2018-06-29,112.65,251.55
2018-07-02,113.65,248.9
2018-07-03,113.0,244.75
2018-07-04,113.1,244.65
2018-07-05,113.25,243.8
2018-07-06,115.55,247.65
2018-07-09,117.0,249.6
2018-07-10,119.5,250.65
2018-07-11,116.2,245.25
2018-07-12,119.45,241.95
2018-07-13,117.4,231.75
2018-07-16,113.05,222.35
2018-07-17,120.8,234.75
2018-07-18,117.65,227.8
2018-07-19,120.05,232.65
2018-07-20,120.25,236.8
2018-07-23,126.3,246.95
2018-07-24,132.55,252.8
2018-07-25,131.8,258.95
2018-07-26,138.85,278.9
2018-07-27,137.85,279.25
2018-07-30,152.05,289.35
2018-07-31,153.35,284.5
2018-08-01,150.2,284.95
2018-08-02,147.25,279.75
2018-08-03,149.6,290.35
2018-08-06,150.55,294.45
2018-08-07,146.15,288.9
2018-08-08,148.6,288.45
2018-08-09,154.75,295.95
2018-08-10,148.3,282.35
2018-08-13,145.65,269.9
2018-08-14,146.3,270.65
2018-08-16,142.7,267.6
2018-08-17,146.2,277.35
2018-08-20,151.0,287.5
2018-08-21,150.9,284.35
2018-08-23,149.85,281.3
2018-08-24,147.4,276.35
2018-08-27,150.05,284.8
2018-08-28,143.85,274.6
2018-08-29,147.7,282.05
2018-08-30,150.15,286.15
2018-08-31,152.95,283.7
2018-09-03,151.7,284.85
2018-09-04,145.55,271.4
2018-09-05,144.55,267.9
2018-09-06,146.1,268.95
2018-09-07,148.05,270.45
2018-09-10,146.6,264.85
2018-09-11,140.5,262.75
2018-09-12,133.55,264.9
2018-09-14,134.4,269.3
2018-09-17,135.25,267.5
2018-09-18,113.1,246.8
2018-09-19,116.35,246.2
2018-09-21,111.45,239.35
2018-09-24,107.7,233.0
2018-09-25,109.45,233.5
2018-09-26,109.15,235.15
2018-09-27,104.35,227.65
2018-09-28,99.5,220.85
2018-10-01,104.4,232.8
2018-10-03,103.3,231.8
2018-10-04,103.35,229.1
2018-10-05,99.1,219.35
2018-10-08,97.5,216.7
2018-10-09,93.25,216.2
2018-10-10,95.6,232.75
2018-10-11,93.95,225.15
2018-10-12,96.5,230.8
2018-10-15,97.35,229.85
2018-10-16,100.25,236.6
2018-10-17,99.6,220.65
2018-10-19,102.4,221.0
2018-10-22,102.6,211.3
2018-10-23,101.7,208.1
2018-10-24,102.65,212.7
2018-10-25,98.45,211.65
2018-10-26,98.85,212.55
2018-10-29,107.1,238.2
2018-10-30,110.0,256.25
2018-10-31,110.65,261.95
2018-11-01,107.7,251.8
2018-11-02,109.9,243.5
2018-11-05,111.2,246.0
2018-11-06,110.45,242.05
2018-11-07,110.95,242.8
2018-11-09,111.5,246.4
2018-11-12,109.4,238.1
2018-11-13,108.7,243.25
2018-11-14,112.75,252.65
2018-11-15,112.8,255.65
2018-11-16,115.2,263.7
2018-11-19,115.35,261.1
2018-11-20,110.2,256.85
2018-11-21,112.2,263.1
2018-11-22,109.9,260.9
2018-11-26,108.9,263.65
2018-11-27,108.95,267.55
2018-11-28,104.75,262.05
2018-11-29,105.0,261.05
2018-11-30,105.05,255.8
