Date,BANKBARODA,IDBI
2018-06-18,130.4,59.3
2018-06-19,127.85,58.75
2018-06-20,125.1,58.95
2018-06-21,122.0,57.75
2018-06-22,121.5,58.9
2018-06-25,116.8,58.0
2018-06-26,118.05,54.45
2018-06-27,115.15,50.7
2018-06-28,113.0,49.85
2018-06-29,112.65,54.9
2018-07-02,113.65,56.0
2018-07-03,113.0,52.45
2018-07-04,113.1,51.75
2018-07-05,113.25,48.1
2018-07-06,115.55,48.25
2018-07-09,117.0,48.8
2018-07-10,119.5,53.35
2018-07-11,116.2,57.0
2018-07-12,119.45,56.15
2018-07-13,117.4,57.3
2018-07-16,113.05,56.45
2018-07-17,120.8,58.15
2018-07-18,117.65,56.65
2018-07-19,120.05,56.85
2018-07-20,120.25,58.0
2018-07-23,126.3,57.6
2018-07-24,132.55,59.5
2018-07-25,131.8,58.9
2018-07-26,138.85,58.8
2018-07-27,137.85,60.1
2018-07-30,152.05,59.8
2018-07-31,153.35,58.85
2018-08-01,150.2,62.15
2018-08-02,147.25,62.25
2018-08-03,149.6,61.85
2018-08-06,150.55,63.2
2018-08-07,146.15,61.9
2018-08-08,148.6,62.25
2018-08-09,154.75,63.1
2018-08-10,148.3,61.85
2018-08-13,145.65,60.45
2018-08-14,146.3,60.35
2018-08-16,142.7,61.4
2018-08-17,146.2,62.3
2018-08-20,151.0,62.5
2018-08-21,150.9,63.4
2018-08-23,149.85,62.1
2018-08-24,147.4,61.45
2018-08-27,150.05,61.3
2018-08-28,143.85,60.85
2018-08-29,147.7,60.95
2018-08-30,150.15,60.95
2018-08-31,152.95,62.7
2018-09-03,151.7,61.15
2018-09-04,145.55,59.75
2018-09-05,144.55,59.3
2018-09-06,146.1,59.15
2018-09-07,148.05,59.85
2018-09-10,146.6,57.85
2018-09-11,140.5,57.4
2018-09-12,133.55,57.7
2018-09-14,134.4,58.5
2018-09-17,135.25,58.15
2018-09-18,113.1,56.25
2018-09-19,116.35,57.0
2018-09-21,111.45,56.0
2018-09-24,107.7,52.7
2018-09-25,109.45,51.9
2018-09-26,109.15,52.5
2018-09-27,104.35,48.85
2018-09-28,99.5,50.2
2018-10-01,104.4,54.1
2018-10-03,103.3,55.65
2018-10-04,103.35,56.95
2018-10-05,99.1,57.4
2018-10-08,97.5,58.65
2018-10-09,93.25,58.8
2018-10-10,95.6,59.0
2018-10-11,93.95,58.8
2018-10-12,96.5,59.05
2018-10-15,97.35,59.35
2018-10-16,100.25,59.5
2018-10-17,99.6,59.2
2018-10-19,102.4,59.35
2018-10-22,102.6,59.25
2018-10-23,101.7,59.15
2018-10-24,102.65,59.15
2018-10-25,98.45,58.9
2018-10-26,98.85,59.45
2018-10-29,107.1,59.6
2018-10-30,110.0,59.7
2018-10-31,110.65,59.2
2018-11-01,107.7,59.35
2018-11-02,109.9,59.15
2018-11-05,111.2,59.75
2018-11-06,110.45,59.3
2018-11-07,110.95,59.55
2018-11-09,111.5,61.2
2018-11-12,109.4,60.4
2018-11-13,108.7,59.95
2018-11-14,112.75,60.6
2018-11-15,112.8,60.75
2018-11-16,115.2,60.9
2018-11-19,115.35,60.75
2018-11-20,110.2,60.25
2018-11-21,112.2,60.3
2018-11-22,109.9,59.95
2018-11-26,108.9,60.15
2018-11-27,108.95,60.2
2018-11-28,104.75,59.9
2018-11-29,105.0,60.0
2018-11-30,105.05,59.5
2018-12-03,106.95,59.4
2018-12-04,107.85,59.8
2018-12-05,107.45,60.7
2018-12-06,105.25,60.25
2018-12-07,106.4,60.25
2018-12-10,105.95,60.15
2018-12-11,109.05,60.85
2018-12-12,113.4,61.2
2018-12-13,111.85,61.55
2018-12-14,111.4,61.05
2018-12-17,111.8,61.15
2018-12-18,112.45,61.8
2018-12-19,115.6,62.0
2018-12-20,114.9,61.5
2018-12-21,115.1,61.85
2018-12-24,115.4,61.3
2018-12-26,117.7,61.2
2018-12-27,116.4,61.15
2018-12-28,118.35,61.45
2018-12-31,118.8,61.25
2019-01-01,123.3,61.45
2019-01-02,119.35,61.35
2019-01-03,119.3,61.35
2019-01-04,121.7,61.45
2019-01-07,122.7,61.3
2019-01-08,123.85,61.9
2019-01-09,122.95,64.65
2019-01-10,123.45,62.7
2019-01-11,121.15,63.35
2019-01-14,120.95,62.7
2019-01-15,121.1,61.75
2019-01-16,121.0,61.95
2019-01-17,119.2,60.7
2019-01-18,118.0,58.2
2019-01-21,116.45,56.35
2019-01-22,113.8,57.1
2019-01-23,111.3,56.6
2019-01-24,113.0,56.05
2019-01-25,110.2,54.9
2019-01-28,109.15,53.6
2019-01-29,113.75,56.25
2019-01-30,113.7,54.4
2019-01-31,112.45,55.4
2019-02-01,111.1,52.75
2019-02-04,110.3,50.5
2019-02-05,107.95,47.05
2019-02-06,109.2,43.9
2019-02-07,108.9,43.95
2019-02-08,104.9,43.2
2019-02-11,103.9,43.1
2019-02-12,102.65,43.3
2019-02-13,102.4,43.2
2019-02-14,103.65,45.2
2019-02-15,100.85,44.95
2019-02-18,99.15,42.2
2019-02-19,102.45,42.4
2019-02-20,102.95,43.75
2019-02-21,103.0,45.0
2019-02-22,102.8,43.1
2019-02-25,102.9,42.95
2019-02-26,101.5,42.25
2019-02-27,101.0,41.65
2019-02-28,101.0,42.85
2019-03-01,108.1,44.35
2019-03-05,112.55,46.25
2019-03-06,112.1,45.7
2019-03-07,115.2,44.05
