Date,BANKBARODA,PNB
2018-06-18,130.4,88.5
2018-06-19,127.85,86.8
2018-06-20,125.1,86.2
2018-06-21,122.0,83.4
2018-06-22,121.5,81.9
2018-06-25,116.8,79.8
2018-06-26,118.05,79.85
2018-06-27,115.15,76.75
2018-06-28,113.0,72.8
2018-06-29,112.65,76.15
2018-07-02,113.65,78.15
2018-07-03,113.0,77.15
2018-07-04,113.1,76.1
2018-07-05,113.25,75.55
2018-07-06,115.55,76.95
2018-07-09,117.0,77.8
2018-07-10,119.5,77.85
2018-07-11,116.2,75.55
2018-07-12,119.45,76.1
2018-07-13,117.4,73.85
2018-07-16,113.05,73.85
2018-07-17,120.8,78.7
2018-07-18,117.65,75.2
2018-07-19,120.05,75.3
2018-07-20,120.25,75.55
2018-07-23,126.3,78.95
2018-07-24,132.55,79.3
2018-07-25,131.8,79.25
2018-07-26,138.85,80.85
2018-07-27,137.85,82.0
2018-07-30,152.05,85.9
2018-07-31,153.35,85.1
2018-08-01,150.2,87.4
2018-08-02,147.25,85.15
2018-08-03,149.6,88.15
2018-08-06,150.55,90.05
2018-08-07,146.15,82.85
2018-08-08,148.6,80.45
2018-08-09,154.75,83.4
2018-08-10,148.3,83.25
2018-08-13,145.65,80.4
2018-08-14,146.3,79.9
2018-08-16,142.7,81.55
2018-08-17,146.2,83.45
2018-08-20,151.0,84.2
2018-08-21,150.9,83.65
2018-08-23,149.85,84.5
2018-08-24,147.4,85.8
2018-08-27,150.05,85.25
2018-08-28,143.85,82.9
2018-08-29,147.7,84.15
2018-08-30,150.15,85.1
2018-08-31,152.95,88.15
2018-09-03,151.7,86.35
2018-09-04,145.55,83.15
2018-09-05,144.55,83.1
2018-09-06,146.1,83.25
2018-09-07,148.05,84.4
2018-09-10,146.6,82.7
2018-09-11,140.5,81.7
2018-09-12,133.55,81.15
2018-09-14,134.4,82.8
2018-09-17,135.25,83.0
2018-09-18,113.1,79.3
2018-09-19,116.35,79.25
2018-09-21,111.45,72.85
2018-09-24,107.7,69.2
2018-09-25,109.45,66.95
2018-09-26,109.15,67.05
2018-09-27,104.35,62.5
2018-09-28,99.5,59.7
2018-10-01,104.4,63.2
2018-10-03,103.3,64.65
2018-10-04,103.35,64.8
2018-10-05,99.1,63.85
2018-10-08,97.5,62.85
2018-10-09,93.25,62.65
2018-10-10,95.6,66.3
2018-10-11,93.95,64.3
2018-10-12,96.5,66.5
2018-10-15,97.35,67.55
2018-10-16,100.25,69.95
2018-10-17,99.6,66.5
2018-10-19,102.4,66.0
2018-10-22,102.6,65.7
2018-10-23,101.7,64.75
2018-10-24,102.65,65.8
2018-10-25,98.45,65.65
2018-10-26,98.85,66.15
2018-10-29,107.1,70.9
2018-10-30,110.0,72.55
2018-10-31,110.65,73.65
2018-11-01,107.7,74.3
2018-11-02,109.9,69.05
2018-11-05,111.2,70.4
2018-11-06,110.45,70.6
2018-11-07,110.95,70.95
2018-11-09,111.5,71.65
2018-11-12,109.4,70.5
2018-11-13,108.7,70.0
2018-11-14,112.75,70.75
2018-11-15,112.8,71.15
2018-11-16,115.2,73.2
2018-11-19,115.35,73.3
2018-11-20,110.2,71.3
2018-11-21,112.2,72.7
2018-11-22,109.9,71.7
2018-11-26,108.9,71.25
2018-11-27,108.95,72.45
2018-11-28,104.75,69.6
2018-11-29,105.0,69.65
2018-11-30,105.05,69.9
2018-12-03,106.95,71.45
2018-12-04,107.85,69.55
2018-12-05,107.45,68.95
2018-12-06,105.25,66.1
2018-12-07,106.4,66.0
2018-12-10,105.95,64.85
2018-12-11,109.05,68.7
2018-12-12,113.4,70.8
2018-12-13,111.85,71.35
2018-12-14,111.4,72.65
2018-12-17,111.8,72.85
2018-12-18,112.45,74.25
2018-12-19,115.6,76.95
2018-12-20,114.9,76.1
2018-12-21,115.1,76.35
2018-12-24,115.4,76.7
2018-12-26,117.7,77.75
2018-12-27,116.4,77.95
2018-12-28,118.35,78.45
2018-12-31,118.8,78.1
2019-01-01,123.3,79.8
2019-01-02,119.35,77.85
2019-01-03,119.3,77.85
2019-01-04,121.7,81.3
2019-01-07,122.7,80.55
2019-01-08,123.85,81.7
2019-01-09,122.95,80.7
2019-01-10,123.45,81.25
2019-01-11,121.15,80.65
2019-01-14,120.95,82.5
2019-01-15,121.1,81.95
2019-01-16,121.0,84.25
2019-01-17,119.2,84.55
2019-01-18,118.0,82.85
2019-01-21,116.45,80.25
2019-01-22,113.8,78.6
2019-01-23,111.3,77.75
2019-01-24,113.0,78.1
2019-01-25,110.2,76.6
2019-01-28,109.15,76.1
2019-01-29,113.75,77.3
2019-01-30,113.7,77.25
2019-01-31,112.45,77.5
2019-02-01,111.1,73.9
2019-02-04,110.3,73.15
2019-02-05,107.95,73.4
2019-02-06,109.2,75.2
2019-02-07,108.9,75.65
2019-02-08,104.9,71.2
2019-02-11,103.9,70.85
2019-02-12,102.65,71.35
2019-02-13,102.4,69.45
2019-02-14,103.65,72.25
2019-02-15,100.85,70.05
2019-02-18,99.15,69.0
2019-02-19,102.45,69.95
2019-02-20,102.95,71.1
2019-02-21,103.0,73.15
2019-02-22,102.8,73.2
2019-02-25,102.9,73.5
2019-02-26,101.5,71.85
2019-02-27,101.0,71.5
2019-02-28,101.0,72.3
2019-03-01,108.1,76.65
2019-03-05,112.55,82.65
2019-03-06,112.1,82.4
2019-03-07,115.2,85.45
2019-03-08,113.6,83.8
2019-03-11,116.05,85.85
2019-03-12,115.35,85.4
2019-03-13,115.55,84.85
2019-03-14,116.55,84.45
2019-03-15,118.15,86.05
2019-03-18,120.55,86.65
2019-03-19,124.4,90.5
2019-03-20,125.2,93.55
2019-03-22,120.1,91.55
2019-03-25,118.2,90.3
2019-03-26,120.8,92.5
2019-03-27,121.55,93.4
2019-03-28,130.1,95.35
2019-03-29,128.65,95.5
2019-04-01,132.7,97.5
2019-04-02,133.2,98.3
2019-04-03,132.05,94.45
2019-04-04,131.2,93.65
2019-04-05,130.6,93.1
2019-04-08,130.0,93.1
2019-04-09,132.05,94.35
2019-04-10,129.7,93.35
2019-04-11,128.7,92.7
2019-04-12,131.15,93.35
2019-04-15,130.75,93.85
2019-04-16,130.9,92.8
2019-04-18,126.55,90.05
2019-04-22,123.8,86.65
2019-04-23,123.1,87.2
2019-04-24,125.1,88.35
2019-04-25,122.0,86.75
2019-04-26,123.25,88.15
2019-04-30,115.0,84.85
