Date,BANKBARODA,SBIN
2018-06-18,130.4,276.85
2018-06-19,127.85,272.6
2018-06-20,125.1,273.3
2018-06-21,122.0,268.65
2018-06-22,121.5,273.05
2018-06-25,116.8,268.45
2018-06-26,118.05,267.4
2018-06-27,115.15,261.7
2018-06-28,113.0,257.0
2018-06-29,112.65,259.35
2018-07-02,113.65,258.85
2018-07-03,113.0,257.5
2018-07-04,113.1,257.45
2018-07-05,113.25,256.45
2018-07-06,115.55,257.2
2018-07-09,117.0,261.55
2018-07-10,119.5,263.75
2018-07-11,116.2,259.1
2018-07-12,119.45,262.75
2018-07-13,117.4,257.75
2018-07-16,113.05,251.6
2018-07-17,120.8,259.05
2018-07-18,117.65,259.55
2018-07-19,120.05,260.2
2018-07-20,120.25,261.5
2018-07-23,126.3,266.35
2018-07-24,132.55,266.85
2018-07-25,131.8,271.85
2018-07-26,138.85,287.7
2018-07-27,137.85,286.75
2018-07-30,152.05,297.4
2018-07-31,153.35,293.5
2018-08-01,150.2,295.1
2018-08-02,147.25,293.9
2018-08-03,149.6,299.25
2018-08-06,150.55,308.5
2018-08-07,146.15,304.05
2018-08-08,148.6,308.7
2018-08-09,154.75,317.4
2018-08-10,148.3,304.45
2018-08-13,145.65,294.15
2018-08-14,146.3,294.9
2018-08-16,142.7,292.7
2018-08-17,146.2,302.1
2018-08-20,151.0,307.65
2018-08-21,150.9,307.0
2018-08-23,149.85,302.45
2018-08-24,147.4,300.45
2018-08-27,150.05,308.0
2018-08-28,143.85,305.35
2018-08-29,147.7,309.7
2018-08-30,150.15,308.6
2018-08-31,152.95,309.6
2018-09-03,151.7,306.35
2018-09-04,145.55,296.4
2018-09-05,144.55,296.55
2018-09-06,146.1,296.45
2018-09-07,148.05,291.65
2018-09-10,146.6,284.85
2018-09-11,140.5,282.6
2018-09-12,133.55,285.3
2018-09-14,134.4,290.65
2018-09-17,135.25,285.3
2018-09-18,113.1,273.8
2018-09-19,116.35,271.5
2018-09-21,111.45,270.6
2018-09-24,107.7,264.35
2018-09-25,109.45,270.9
2018-09-26,109.15,263.85
2018-09-27,104.35,265.35
2018-09-28,99.5,265.5
2018-10-01,104.4,273.85
2018-10-03,103.3,271.7
2018-10-04,103.35,271.35
2018-10-05,99.1,258.35
2018-10-08,97.5,265.75
2018-10-09,93.25,262.95
2018-10-10,95.6,278.65
2018-10-11,93.95,262.15
2018-10-12,96.5,263.75
2018-10-15,97.35,263.2
2018-10-16,100.25,270.3
2018-10-17,99.6,261.15
2018-10-19,102.4,261.1
2018-10-22,102.6,260.35
2018-10-23,101.7,255.65
2018-10-24,102.65,255.7
2018-10-25,98.45,249.55
2018-10-26,98.85,248.1
2018-10-29,107.1,267.9
2018-10-30,110.0,273.15
2018-10-31,110.65,281.4
2018-11-01,107.7,285.9
2018-11-02,109.9,285.35
2018-11-05,111.2,294.95
2018-11-06,110.45,286.45
2018-11-07,110.95,286.55
2018-11-09,111.5,283.25
2018-11-12,109.4,277.95
2018-11-13,108.7,278.05
2018-11-14,112.75,283.6
2018-11-15,112.8,285.4
2018-11-16,115.2,290.9
2018-11-19,115.35,288.15
2018-11-20,110.2,283.45
2018-11-21,112.2,287.05
2018-11-22,109.9,282.7
2018-11-26,108.9,286.4
2018-11-27,108.95,289.4
2018-11-28,104.75,284.55
2018-11-29,105.0,286.4
2018-11-30,105.05,284.65
2018-12-03,106.95,286.8
2018-12-04,107.85,282.55
