Date,CANBK,ALBK
2018-06-18,267.7,44.75
2018-06-19,262.15,44.3
2018-06-20,261.6,44.7
2018-06-21,255.1,43.55
2018-06-22,259.4,44.9
2018-06-25,249.95,41.25
2018-06-26,253.05,41.55
2018-06-27,247.5,41.2
2018-06-28,248.8,40.95
2018-06-29,251.55,41.8
2018-07-02,248.9,41.8
2018-07-03,244.75,41.2
2018-07-04,244.65,40.9
2018-07-05,243.8,41.35
2018-07-06,247.65,42.5
2018-07-09,249.6,42.65
2018-07-10,250.65,43.05
2018-07-11,245.25,42.15
2018-07-12,241.95,42.0
2018-07-13,231.75,40.6
2018-07-16,222.35,39.65
2018-07-17,234.75,42.2
2018-07-18,227.8,41.05
2018-07-19,232.65,41.15
2018-07-20,236.8,40.9
2018-07-23,246.95,41.5
2018-07-24,252.8,43.1
2018-07-25,258.95,42.85
2018-07-26,278.9,44.4
2018-07-27,279.25,45.15
2018-07-30,289.35,46.3
2018-07-31,284.5,45.6
2018-08-01,284.95,45.6
2018-08-02,279.75,44.9
2018-08-03,290.35,45.4
2018-08-06,294.45,46.3
2018-08-07,288.9,44.9
2018-08-08,288.45,44.0
2018-08-09,295.95,45.8
2018-08-10,282.35,44.8
2018-08-13,269.9,42.75
2018-08-14,270.65,39.95
2018-08-16,267.6,39.55
2018-08-17,277.35,40.2
2018-08-20,287.5,40.8
2018-08-21,284.35,40.8
2018-08-23,281.3,40.3
2018-08-24,276.35,40.3
2018-08-27,284.8,40.7
2018-08-28,274.6,40.45
2018-08-29,282.05,40.45
2018-08-30,286.15,41.85
2018-08-31,283.7,42.65
2018-09-03,284.85,42.8
2018-09-04,271.4,41.1
2018-09-05,267.9,40.9
2018-09-06,268.95,40.4
2018-09-07,270.45,40.55
2018-09-10,264.85,40.1
2018-09-11,262.75,40.85
2018-09-12,264.9,39.85
2018-09-14,269.3,40.65
2018-09-17,267.5,40.8
2018-09-18,246.8,39.85
2018-09-19,246.2,39.55
2018-09-21,239.35,37.85
2018-09-24,233.0,36.7
2018-09-25,233.5,37.75
2018-09-26,235.15,37.35
2018-09-27,227.65,36.45
2018-09-28,220.85,35.5
2018-10-01,232.8,36.1
2018-10-03,231.8,36.9
2018-10-04,229.1,36.05
2018-10-05,219.35,35.35
2018-10-08,216.7,34.05
2018-10-09,216.2,33.85
2018-10-10,232.75,36.1
2018-10-11,225.15,35.4
2018-10-12,230.8,36.35
2018-10-15,229.85,37.7
2018-10-16,236.6,38.4
2018-10-17,220.65,37.85
2018-10-19,221.0,37.05
2018-10-22,211.3,36.75
2018-10-23,208.1,35.9
2018-10-24,212.7,37.3
2018-10-25,211.65,37.15
2018-10-26,212.55,37.05
2018-10-29,238.2,40.65
2018-10-30,256.25,41.75
2018-10-31,261.95,44.2
2018-11-01,251.8,43.3
2018-11-02,243.5,42.9
2018-11-05,246.0,43.7
2018-11-06,242.05,43.55
2018-11-07,242.8,43.8
2018-11-09,246.4,43.95
2018-11-12,238.1,41.65
2018-11-13,243.25,37.4
2018-11-14,252.65,38.7
2018-11-15,255.65,42.2
2018-11-16,263.7,43.35
2018-11-19,261.1,43.55
2018-11-20,256.85,44.65
2018-11-21,263.1,44.95
2018-11-22,260.9,45.15
2018-11-26,263.65,45.5
2018-11-27,267.55,47.5
2018-11-28,262.05,47.1
2018-11-29,261.05,47.35
2018-11-30,255.8,48.55
2018-12-03,257.95,48.85
2018-12-04,253.85,47.35
2018-12-05,252.5,45.7
2018-12-06,245.9,44.85
2018-12-07,247.2,43.1
2018-12-10,241.1,44.2
2018-12-11,248.3,44.3
2018-12-12,258.1,46.3
2018-12-13,259.55,46.3
2018-12-14,266.45,46.55
2018-12-17,265.55,45.8
2018-12-18,269.15,46.4
2018-12-19,274.25,48.4
2018-12-20,268.45,46.5
2018-12-21,265.5,46.65
2018-12-24,266.35,45.8
2018-12-26,270.9,46.05
2018-12-27,272.25,46.45
