Date,CANBK,ANDHRABANK
2018-06-18,267.7,34.85
2018-06-19,262.15,34.1
2018-06-20,261.6,34.25
2018-06-21,255.1,33.85
2018-06-22,259.4,34.35
2018-06-25,249.95,33.3
2018-06-26,253.05,33.3
2018-06-27,247.5,31.8
2018-06-28,248.8,31.4
2018-06-29,251.55,32.7
2018-07-02,248.9,32.65
2018-07-03,244.75,32.2
2018-07-04,244.65,31.95
2018-07-05,243.8,31.4
2018-07-06,247.65,32.35
2018-07-09,249.6,32.5
2018-07-10,250.65,33.3
2018-07-11,245.25,31.85
2018-07-12,241.95,31.55
2018-07-13,231.75,30.65
2018-07-16,222.35,29.55
2018-07-17,234.75,30.95
2018-07-18,227.8,30.6
2018-07-19,232.65,30.15
2018-07-20,236.8,30.8
2018-07-23,246.95,31.3
2018-07-24,252.8,32.0
2018-07-25,258.95,31.95
2018-07-26,278.9,32.7
2018-07-27,279.25,33.3
2018-07-30,289.35,35.65
2018-07-31,284.5,35.15
2018-08-01,284.95,35.3
2018-08-02,279.75,35.1
2018-08-03,290.35,35.65
2018-08-06,294.45,36.0
2018-08-07,288.9,34.0
2018-08-08,288.45,33.6
2018-08-09,295.95,34.55
2018-08-10,282.35,34.05
2018-08-13,269.9,32.6
2018-08-14,270.65,32.2
2018-08-16,267.6,31.55
2018-08-17,277.35,32.25
2018-08-20,287.5,32.8
2018-08-21,284.35,32.95
2018-08-23,281.3,32.95
2018-08-24,276.35,32.55
2018-08-27,284.8,32.8
2018-08-28,274.6,32.1
2018-08-29,282.05,32.3
2018-08-30,286.15,33.5
2018-08-31,283.7,33.9
2018-09-03,284.85,34.5
2018-09-04,271.4,32.5
2018-09-05,267.9,31.15
2018-09-06,268.95,30.65
2018-09-07,270.45,31.15
2018-09-10,264.85,30.9
2018-09-11,262.75,30.9
2018-09-12,264.9,30.85
2018-09-14,269.3,31.7
2018-09-17,267.5,32.55
2018-09-18,246.8,30.9
2018-09-19,246.2,30.95
2018-09-21,239.35,29.45
2018-09-24,233.0,28.9
2018-09-25,233.5,30.6
2018-09-26,235.15,30.25
2018-09-27,227.65,27.8
2018-09-28,220.85,27.4
2018-10-01,232.8,27.5
2018-10-03,231.8,27.45
2018-10-04,229.1,27.35
2018-10-05,219.35,26.85
2018-10-08,216.7,26.6
2018-10-09,216.2,25.95
2018-10-10,232.75,26.6
2018-10-11,225.15,25.85
2018-10-12,230.8,26.15
2018-10-15,229.85,26.4
2018-10-16,236.6,27.0
2018-10-17,220.65,26.4
2018-10-19,221.0,26.2
2018-10-22,211.3,25.95
2018-10-23,208.1,26.1
2018-10-24,212.7,26.1
2018-10-25,211.65,25.8
2018-10-26,212.55,25.55
2018-10-29,238.2,26.55
2018-10-30,256.25,27.8
2018-10-31,261.95,29.25
2018-11-01,251.8,29.3
2018-11-02,243.5,28.65
2018-11-05,246.0,28.55
2018-11-06,242.05,29.7
