Date,CANBK,PNB
2018-06-18,267.7,88.5
2018-06-19,262.15,86.8
2018-06-20,261.6,86.2
2018-06-21,255.1,83.4
2018-06-22,259.4,81.9
2018-06-25,249.95,79.8
2018-06-26,253.05,79.85
2018-06-27,247.5,76.75
2018-06-28,248.8,72.8
2018-06-29,251.55,76.15
2018-07-02,248.9,78.15
2018-07-03,244.75,77.15
2018-07-04,244.65,76.1
2018-07-05,243.8,75.55
2018-07-06,247.65,76.95
2018-07-09,249.6,77.8
2018-07-10,250.65,77.85
2018-07-11,245.25,75.55
2018-07-12,241.95,76.1
2018-07-13,231.75,73.85
2018-07-16,222.35,73.85
2018-07-17,234.75,78.7
2018-07-18,227.8,75.2
2018-07-19,232.65,75.3
2018-07-20,236.8,75.55
2018-07-23,246.95,78.95
2018-07-24,252.8,79.3
2018-07-25,258.95,79.25
2018-07-26,278.9,80.85
2018-07-27,279.25,82.0
2018-07-30,289.35,85.9
2018-07-31,284.5,85.1
2018-08-01,284.95,87.4
2018-08-02,279.75,85.15
2018-08-03,290.35,88.15
2018-08-06,294.45,90.05
2018-08-07,288.9,82.85
2018-08-08,288.45,80.45
2018-08-09,295.95,83.4
2018-08-10,282.35,83.25
2018-08-13,269.9,80.4
2018-08-14,270.65,79.9
2018-08-16,267.6,81.55
2018-08-17,277.35,83.45
2018-08-20,287.5,84.2
2018-08-21,284.35,83.65
2018-08-23,281.3,84.5
2018-08-24,276.35,85.8
2018-08-27,284.8,85.25
2018-08-28,274.6,82.9
2018-08-29,282.05,84.15
2018-08-30,286.15,85.1
2018-08-31,283.7,88.15
2018-09-03,284.85,86.35
2018-09-04,271.4,83.15
2018-09-05,267.9,83.1
2018-09-06,268.95,83.25
2018-09-07,270.45,84.4
2018-09-10,264.85,82.7
2018-09-11,262.75,81.7
2018-09-12,264.9,81.15
2018-09-14,269.3,82.8
2018-09-17,267.5,83.0
2018-09-18,246.8,79.3
2018-09-19,246.2,79.25
2018-09-21,239.35,72.85
2018-09-24,233.0,69.2
2018-09-25,233.5,66.95
2018-09-26,235.15,67.05
2018-09-27,227.65,62.5
2018-09-28,220.85,59.7
2018-10-01,232.8,63.2
2018-10-03,231.8,64.65
2018-10-04,229.1,64.8
2018-10-05,219.35,63.85
2018-10-08,216.7,62.85
2018-10-09,216.2,62.65
2018-10-10,232.75,66.3
2018-10-11,225.15,64.3
2018-10-12,230.8,66.5
2018-10-15,229.85,67.55
2018-10-16,236.6,69.95
2018-10-17,220.65,66.5
2018-10-19,221.0,66.0
2018-10-22,211.3,65.7
2018-10-23,208.1,64.75
2018-10-24,212.7,65.8
2018-10-25,211.65,65.65
2018-10-26,212.55,66.15
2018-10-29,238.2,70.9
2018-10-30,256.25,72.55
2018-10-31,261.95,73.65
