Date,CANBK,SYNDIBANK
2018-06-18,267.7,48.65
2018-06-19,262.15,47.55
2018-06-20,261.6,47.55
2018-06-21,255.1,45.65
2018-06-22,259.4,46.8
2018-06-25,249.95,45.4
2018-06-26,253.05,43.75
2018-06-27,247.5,41.0
2018-06-28,248.8,39.2
2018-06-29,251.55,40.95
2018-07-02,248.9,41.0
2018-07-03,244.75,40.6
2018-07-04,244.65,40.2
2018-07-05,243.8,39.7
2018-07-06,247.65,40.65
2018-07-09,249.6,42.0
2018-07-10,250.65,41.95
2018-07-11,245.25,40.8
2018-07-12,241.95,40.25
2018-07-13,231.75,39.4
2018-07-16,222.35,37.75
2018-07-17,234.75,39.7
2018-07-18,227.8,38.85
2018-07-19,232.65,39.0
2018-07-20,236.8,38.8
2018-07-23,246.95,39.5
2018-07-24,252.8,40.75
2018-07-25,258.95,40.8
2018-07-26,278.9,43.2
2018-07-27,279.25,43.8
2018-07-30,289.35,45.9
2018-07-31,284.5,45.2
2018-08-01,284.95,45.4
2018-08-02,279.75,44.9
2018-08-03,290.35,45.2
2018-08-06,294.45,44.1
2018-08-07,288.9,41.9
2018-08-08,288.45,41.35
2018-08-09,295.95,42.5
2018-08-10,282.35,41.3
2018-08-13,269.9,39.55
2018-08-14,270.65,38.6
2018-08-16,267.6,37.8
2018-08-17,277.35,38.65
2018-08-20,287.5,39.2
2018-08-21,284.35,39.9
2018-08-23,281.3,39.75
2018-08-24,276.35,39.55
2018-08-27,284.8,39.75
2018-08-28,274.6,38.8
2018-08-29,282.05,39.3
2018-08-30,286.15,40.6
2018-08-31,283.7,40.3
2018-09-03,284.85,41.15
2018-09-04,271.4,38.6
2018-09-05,267.9,38.15
2018-09-06,268.95,37.95
2018-09-07,270.45,38.1
2018-09-10,264.85,36.9
2018-09-11,262.75,36.7
2018-09-12,264.9,36.6
2018-09-14,269.3,38.2
2018-09-17,267.5,39.35
2018-09-18,246.8,37.0
2018-09-19,246.2,36.8
2018-09-21,239.35,34.4
2018-09-24,233.0,33.5
2018-09-25,233.5,33.45
2018-09-26,235.15,33.35
2018-09-27,227.65,32.05
2018-09-28,220.85,30.9
2018-10-01,232.8,31.65
2018-10-03,231.8,32.4
2018-10-04,229.1,32.2
2018-10-05,219.35,31.1
2018-10-08,216.7,30.25
2018-10-09,216.2,29.8
2018-10-10,232.75,31.75
2018-10-11,225.15,30.7
2018-10-12,230.8,31.5
2018-10-15,229.85,32.45
2018-10-16,236.6,33.15
2018-10-17,220.65,32.35
2018-10-19,221.0,31.85
2018-10-22,211.3,31.7
2018-10-23,208.1,31.1
2018-10-24,212.7,31.65
2018-10-25,211.65,31.25
2018-10-26,212.55,31.2
2018-10-29,238.2,33.5
2018-10-30,256.25,35.0
2018-10-31,261.95,34.8
2018-11-01,251.8,34.85
2018-11-02,243.5,34.35
2018-11-05,246.0,34.6
2018-11-06,242.05,34.7
2018-11-07,242.8,34.85
2018-11-09,246.4,35.7
2018-11-12,238.1,34.65
2018-11-13,243.25,34.35
2018-11-14,252.65,34.5
2018-11-15,255.65,35.2
2018-11-16,263.7,35.6
2018-11-19,261.1,36.0
2018-11-20,256.85,35.35
2018-11-21,263.1,35.65
2018-11-22,260.9,35.4
2018-11-26,263.65,35.05
2018-11-27,267.55,35.5
2018-11-28,262.05,34.9
2018-11-29,261.05,34.9
2018-11-30,255.8,34.85
2018-12-03,257.95,35.1
2018-12-04,253.85,34.6
2018-12-05,252.5,33.65
2018-12-06,245.9,32.25
2018-12-07,247.2,31.5
2018-12-10,241.1,30.9
2018-12-11,248.3,31.4
2018-12-12,258.1,33.8
2018-12-13,259.55,33.95
2018-12-14,266.45,34.45
2018-12-17,265.55,34.3
2018-12-18,269.15,35.4
2018-12-19,274.25,37.6
2018-12-20,268.45,37.45
2018-12-21,265.5,37.75
2018-12-24,266.35,37.65
2018-12-26,270.9,37.85
2018-12-27,272.25,38.05
2018-12-28,277.45,39.5
2018-12-31,275.05,39.3
2019-01-01,281.5,39.8
2019-01-02,275.4,39.15
2019-01-03,276.3,38.8
2019-01-04,282.95,40.6
2019-01-07,278.25,39.75
2019-01-08,287.9,41.6
2019-01-09,280.5,40.7
2019-01-10,281.05,40.45
2019-01-11,278.25,39.55
2019-01-14,278.0,39.55
2019-01-15,275.35,39.2
2019-01-16,275.35,39.8
2019-01-17,275.45,39.55
2019-01-18,272.6,37.8
2019-01-21,268.0,37.15
2019-01-22,263.45,36.9
2019-01-23,260.45,35.75
2019-01-24,262.3,35.55
2019-01-25,254.35,34.9
2019-01-28,240.4,34.55
2019-01-29,246.3,35.3
2019-01-30,249.75,36.55
2019-01-31,250.15,36.9
2019-02-01,238.05,37.3
2019-02-04,235.0,36.65
2019-02-05,231.15,35.65
2019-02-06,235.6,35.45
2019-02-07,237.05,35.6
2019-02-08,228.25,33.4
2019-02-11,225.0,32.55
2019-02-12,220.6,32.35
2019-02-13,220.0,31.6
2019-02-14,223.7,32.35
2019-02-15,215.25,31.25
2019-02-18,213.65,30.95
