Date,CANBK,UNIONBANK
2018-06-18,267.7,90.55
2018-06-19,262.15,90.1
2018-06-20,261.6,89.0
2018-06-21,255.1,86.0
2018-06-22,259.4,85.75
2018-06-25,249.95,82.4
2018-06-26,253.05,83.45
2018-06-27,247.5,81.35
2018-06-28,248.8,79.8
2018-06-29,251.55,81.95
2018-07-02,248.9,81.2
2018-07-03,244.75,80.75
2018-07-04,244.65,79.75
2018-07-05,243.8,79.45
2018-07-06,247.65,81.3
2018-07-09,249.6,81.3
2018-07-10,250.65,81.65
2018-07-11,245.25,78.65
2018-07-12,241.95,78.45
2018-07-13,231.75,76.6
2018-07-16,222.35,74.4
2018-07-17,234.75,80.7
2018-07-18,227.8,76.2
2018-07-19,232.65,76.5
2018-07-20,236.8,76.75
2018-07-23,246.95,78.95
2018-07-24,252.8,81.25
2018-07-25,258.95,81.85
2018-07-26,278.9,85.05
2018-07-27,279.25,85.05
2018-07-30,289.35,88.15
2018-07-31,284.5,86.45
2018-08-01,284.95,88.05
2018-08-02,279.75,86.85
2018-08-03,290.35,88.35
2018-08-06,294.45,90.6
2018-08-07,288.9,86.5
2018-08-08,288.45,85.05
2018-08-09,295.95,89.15
2018-08-10,282.35,85.55
2018-08-13,269.9,84.55
2018-08-14,270.65,85.35
2018-08-16,267.6,84.4
2018-08-17,277.35,86.6
2018-08-20,287.5,88.6
2018-08-21,284.35,88.35
2018-08-23,281.3,88.75
2018-08-24,276.35,86.65
2018-08-27,284.8,89.8
2018-08-28,274.6,85.6
2018-08-29,282.05,87.95
2018-08-30,286.15,90.5
2018-08-31,283.7,89.75
2018-09-03,284.85,90.25
2018-09-04,271.4,84.75
2018-09-05,267.9,83.25
2018-09-06,268.95,82.95
2018-09-07,270.45,83.55
2018-09-10,264.85,81.5
2018-09-11,262.75,80.75
2018-09-12,264.9,81.2
2018-09-14,269.3,83.85
2018-09-17,267.5,82.3
2018-09-18,246.8,74.85
2018-09-19,246.2,78.45
2018-09-21,239.35,73.8
2018-09-24,233.0,72.3
2018-09-25,233.5,70.15
2018-09-26,235.15,70.6
2018-09-27,227.65,67.6
2018-09-28,220.85,65.75
2018-10-01,232.8,69.2
2018-10-03,231.8,68.55
2018-10-04,229.1,68.05
2018-10-05,219.35,66.0
2018-10-08,216.7,66.4
2018-10-09,216.2,65.75
2018-10-10,232.75,71.7
2018-10-11,225.15,68.55
2018-10-12,230.8,69.1
2018-10-15,229.85,68.95
2018-10-16,236.6,71.05
2018-10-17,220.65,66.85
2018-10-19,221.0,64.5
2018-10-22,211.3,62.7
2018-10-23,208.1,62.65
2018-10-24,212.7,63.4
2018-10-25,211.65,63.65
2018-10-26,212.55,62.15
2018-10-29,238.2,69.7
2018-10-30,256.25,75.8
2018-10-31,261.95,76.65
2018-11-01,251.8,77.35
2018-11-02,243.5,75.75
2018-11-05,246.0,79.45
2018-11-06,242.05,78.95
2018-11-07,242.8,79.3
2018-11-09,246.4,81.85
2018-11-12,238.1,78.55
2018-11-13,243.25,79.9
2018-11-14,252.65,80.65
2018-11-15,255.65,81.6
2018-11-16,263.7,82.6
2018-11-19,261.1,81.75
2018-11-20,256.85,79.95
2018-11-21,263.1,82.15
2018-11-22,260.9,80.3
2018-11-26,263.65,80.05
2018-11-27,267.55,81.7
2018-11-28,262.05,79.4
2018-11-29,261.05,79.8
2018-11-30,255.8,78.55
2018-12-03,257.95,80.75
2018-12-04,253.85,79.05
2018-12-05,252.5,76.15
2018-12-06,245.9,73.55
2018-12-07,247.2,73.0
2018-12-10,241.1,71.55
2018-12-11,248.3,73.4
2018-12-12,258.1,77.05
2018-12-13,259.55,77.2
2018-12-14,266.45,77.8
2018-12-17,265.55,77.85
2018-12-18,269.15,80.45
2018-12-19,274.25,83.1
2018-12-20,268.45,82.45
2018-12-21,265.5,82.4
2018-12-24,266.35,83.05
2018-12-26,270.9,83.5
2018-12-27,272.25,83.9
2018-12-28,277.45,85.95
2018-12-31,275.05,85.9
2019-01-01,281.5,88.3
2019-01-02,275.4,88.2
2019-01-03,276.3,88.75
2019-01-04,282.95,92.25
2019-01-07,278.25,90.6
2019-01-08,287.9,94.55
2019-01-09,280.5,92.0
2019-01-10,281.05,92.8
2019-01-11,278.25,93.65
2019-01-14,278.0,94.25
2019-01-15,275.35,94.15
2019-01-16,275.35,96.2
2019-01-17,275.45,94.85
2019-01-18,272.6,92.5
2019-01-21,268.0,86.3
2019-01-22,263.45,83.95
2019-01-23,260.45,82.75
2019-01-24,262.3,82.5
2019-01-25,254.35,79.45
2019-01-28,240.4,78.4
2019-01-29,246.3,80.05
2019-01-30,249.75,81.2
2019-01-31,250.15,82.75
2019-02-01,238.05,81.45
2019-02-04,235.0,79.45
2019-02-05,231.15,78.15
2019-02-06,235.6,79.4
2019-02-07,237.05,78.8
2019-02-08,228.25,72.5
2019-02-11,225.0,72.15
2019-02-12,220.6,70.4
2019-02-13,220.0,69.4
2019-02-14,223.7,70.95
2019-02-15,215.25,68.65
2019-02-18,213.65,67.95
2019-02-19,214.85,68.5
2019-02-20,218.55,69.65
2019-02-21,221.5,71.55
2019-02-22,222.0,71.2
2019-02-25,222.8,71.25
2019-02-26,217.95,69.7
2019-02-27,231.2,70.1
2019-02-28,231.45,71.65
2019-03-01,242.4,77.15
2019-03-05,253.35,80.65
2019-03-06,252.8,79.25
2019-03-07,257.35,79.95
2019-03-08,254.0,78.1
2019-03-11,259.35,82.7
2019-03-12,256.4,82.7
2019-03-13,263.0,82.6
2019-03-14,262.0,82.8
2019-03-15,264.6,82.9
2019-03-18,272.2,83.75
2019-03-19,276.35,87.65
2019-03-20,276.2,88.45
2019-03-22,271.75,86.85
2019-03-25,270.2,87.4
2019-03-26,281.2,91.55
2019-03-27,286.0,93.8
