Date,HDFCBANK,INDUSINDBK
2018-06-18,2019.15,1967.95
2018-06-19,2023.5,1931.5
2018-06-20,2056.15,1967.4
2018-06-21,2057.6,1960.5
2018-06-22,2083.35,1953.25
2018-06-25,2094.95,1969.95
2018-06-26,2093.7,1983.3
2018-06-27,2112.6,1969.25
2018-06-28,2130.85,1967.6
2018-06-29,2108.45,1932.2
2018-07-02,2073.25,1948.8
2018-07-03,2070.2,1951.0
2018-07-04,2103.55,1976.3
2018-07-05,2123.75,1964.45
2018-07-06,2115.15,1959.4
2018-07-09,2125.65,1958.3
2018-07-10,2146.4,1935.1
2018-07-11,2148.25,1914.8
2018-07-12,2165.95,1938.15
2018-07-13,2180.9,1923.75
2018-07-16,2168.85,1922.75
2018-07-17,2176.75,1905.0
2018-07-18,2176.2,1892.55
2018-07-19,2186.1,1888.25
2018-07-20,2189.05,1902.55
2018-07-23,2156.45,1940.15
2018-07-24,2159.75,1947.4
2018-07-25,2170.35,1965.05
2018-07-26,2192.6,1960.35
2018-07-27,2202.15,1981.55
2018-07-30,2169.9,1970.2
2018-07-31,2179.5,1995.15
2018-08-01,2158.7,2001.35
2018-08-02,2130.2,2023.05
2018-08-03,2121.65,2015.85
2018-08-06,2114.3,1999.8
2018-08-07,2130.9,1994.3
2018-08-08,2136.35,2000.65
2018-08-09,2118.5,1985.05
2018-08-10,2114.45,1979.5
2018-08-13,2091.65,1993.9
2018-08-14,2089.1,1997.6
2018-08-16,2075.7,1984.2
2018-08-17,2077.35,1990.4
2018-08-20,2096.2,1990.95
2018-08-21,2096.05,1975.95
2018-08-23,2079.9,1957.2
2018-08-24,2069.85,1928.15
2018-08-27,2080.45,1951.35
2018-08-28,2094.85,1933.65
2018-08-29,2078.5,1905.55
2018-08-30,2066.1,1875.65
2018-08-31,2061.2,1906.6
2018-09-03,2075.05,1897.0
2018-09-04,2051.8,1855.6
2018-09-05,2045.85,1854.85
2018-09-06,2052.2,1880.0
2018-09-07,2056.95,1875.85
2018-09-10,2041.15,1829.15
2018-09-11,2000.4,1826.5
2018-09-12,2011.85,1828.35
2018-09-14,2029.6,1872.8
2018-09-17,1992.2,1877.05
2018-09-18,1989.2,1862.15
2018-09-19,1961.35,1804.65
2018-09-21,1970.25,1762.45
2018-09-24,1925.7,1674.2
2018-09-25,1952.4,1696.75
2018-09-26,1968.2,1701.8
2018-09-27,1976.15,1682.0
2018-09-28,2006.05,1690.05
2018-10-01,2035.45,1642.65
2018-10-03,2031.15,1638.7
2018-10-04,1957.75,1589.5
2018-10-05,1965.3,1607.35
2018-10-08,1945.0,1600.0
2018-10-09,1940.6,1607.9
2018-10-10,1967.15,1637.95
2018-10-11,1937.55,1592.55
2018-10-12,1981.85,1652.7
2018-10-15,2008.05,1626.95
2018-10-16,1992.75,1620.55
2018-10-17,1974.6,1603.9
2018-10-19,1967.75,1576.7
2018-10-22,1998.9,1449.45
2018-10-23,1984.85,1473.15
2018-10-24,1992.25,1521.35
2018-10-25,1968.8,1491.1
2018-10-26,1961.2,1445.8
2018-10-29,1926.3,1412.8
2018-10-30,1912.75,1364.3
2018-10-31,1911.75,1425.1
2018-11-01,1912.2,1463.95
2018-11-02,1949.45,1541.8
2018-11-05,1956.0,1486.45
2018-11-06,1946.55,1475.45
2018-11-07,1957.95,1483.9
2018-11-09,1945.4,1494.9
2018-11-12,1921.05,1493.0
2018-11-13,1927.75,1485.55
2018-11-14,1957.75,1513.55
2018-11-15,1975.15,1512.15
2018-11-16,2004.3,1501.1
2018-11-19,2013.9,1537.95
2018-11-20,2012.45,1557.85
2018-11-21,2018.75,1546.7
2018-11-22,2005.5,1528.85
2018-11-26,2049.8,1562.75
2018-11-27,2064.0,1588.55
2018-11-28,2089.25,1613.35
2018-11-29,2131.05,1660.55
2018-11-30,2128.45,1631.8
2018-12-03,2113.3,1656.3
2018-12-04,2085.55,1635.75
2018-12-05,2099.2,1603.6
2018-12-06,2097.05,1569.45
2018-12-07,2107.6,1566.8
2018-12-10,2088.75,1554.45
2018-12-11,2059.55,1552.8
2018-12-12,2085.3,1582.2
2018-12-13,2101.3,1610.1
2018-12-14,2095.7,1603.85
2018-12-17,2130.2,1633.35
2018-12-18,2135.45,1639.55
2018-12-19,2123.45,1612.65
2018-12-20,2137.45,1612.85
2018-12-21,2111.15,1575.65
2018-12-24,2080.65,1562.35
2018-12-26,2122.35,1556.45
2018-12-27,2105.05,1564.0
2018-12-28,2122.9,1583.25
2018-12-31,2121.7,1599.3
2019-01-01,2148.1,1595.6
2019-01-02,2128.5,1576.6
2019-01-03,2111.8,1560.1
2019-01-04,2117.45,1548.2
2019-01-07,2120.65,1559.15
2019-01-08,2103.0,1577.75
2019-01-09,2116.8,1601.75
2019-01-10,2108.5,1565.9
2019-01-11,2111.9,1515.15
2019-01-14,2101.65,1484.05
2019-01-15,2121.9,1495.2
2019-01-16,2120.2,1526.7
2019-01-17,2132.3,1523.0
2019-01-18,2130.25,1516.9
2019-01-21,2148.15,1507.6
2019-01-22,2135.85,1501.6
2019-01-23,2105.4,1495.0
2019-01-24,2102.25,1490.3
2019-01-25,2096.0,1484.9
2019-01-28,2084.15,1443.7
2019-01-29,2057.6,1461.85
2019-01-30,2034.7,1476.1
2019-01-31,2079.95,1505.55
2019-02-01,2090.45,1515.15
2019-02-04,2104.9,1504.65
2019-02-05,2114.05,1541.75
2019-02-06,2122.65,1526.05
2019-02-07,2117.25,1514.95
2019-02-08,2122.65,1499.05
2019-02-11,2139.65,1511.0
2019-02-12,2129.7,1497.2
2019-02-13,2143.45,1498.45
2019-02-14,2110.2,1517.5
2019-02-15,2100.65,1509.5
2019-02-18,2089.9,1517.0
2019-02-19,2084.05,1480.5
2019-02-20,2108.35,1480.8
2019-02-21,2115.9,1471.55
2019-02-22,2091.45,1462.8
2019-02-25,2125.4,1491.2
2019-02-26,2110.65,1478.1
2019-02-27,2092.25,1476.7
2019-02-28,2077.55,1473.85
2019-03-01,2083.35,1514.1
2019-03-05,2107.1,1541.6
2019-03-06,2104.25,1534.85
2019-03-07,2126.5,1531.25
2019-03-08,2128.2,1518.0
2019-03-11,2128.45,1514.6
2019-03-12,2171.0,1569.05
2019-03-13,2226.55,1636.35
2019-03-14,2224.75,1682.7
2019-03-15,2253.0,1703.25
2019-03-18,2261.45,1719.1
2019-03-19,2267.75,1725.2
2019-03-20,2299.0,1713.4
2019-03-22,2276.15,1698.6
2019-03-25,2281.3,1683.55
2019-03-26,2311.35,1714.65
2019-03-27,2299.45,1804.25
2019-03-28,2302.8,1821.1
2019-03-29,2318.9,1780.0
2019-04-01,2311.8,1743.05
2019-04-02,2294.85,1774.55
2019-04-03,2292.75,1773.6
2019-04-04,2283.95,1736.15
2019-04-05,2305.6,1767.95
2019-04-08,2289.4,1751.0
2019-04-09,2287.25,1767.1
