Date,HDFCBANK,KOTAKBANK
2018-06-18,2019.15,1315.3
2018-06-19,2023.5,1303.25
2018-06-20,2056.15,1324.6
2018-06-21,2057.6,1313.95
2018-06-22,2083.35,1321.4
2018-06-25,2094.95,1328.0
2018-06-26,2093.7,1329.85
2018-06-27,2112.6,1324.2
2018-06-28,2130.85,1339.1
2018-06-29,2108.45,1342.95
2018-07-02,2073.25,1337.95
2018-07-03,2070.2,1353.15
2018-07-04,2103.55,1365.25
2018-07-05,2123.75,1365.0
2018-07-06,2115.15,1371.2
2018-07-09,2125.65,1385.1
2018-07-10,2146.4,1372.15
2018-07-11,2148.25,1386.95
2018-07-12,2165.95,1389.8
2018-07-13,2180.9,1404.35
2018-07-16,2168.85,1408.45
2018-07-17,2176.75,1400.6
2018-07-18,2176.2,1398.55
2018-07-19,2186.1,1347.4
2018-07-20,2189.05,1333.3
2018-07-23,2156.45,1337.05
2018-07-24,2159.75,1312.25
2018-07-25,2170.35,1314.9
2018-07-26,2192.6,1311.25
2018-07-27,2202.15,1311.1
2018-07-30,2169.9,1305.25
2018-07-31,2179.5,1306.85
2018-08-01,2158.7,1312.7
2018-08-02,2130.2,1280.2
2018-08-03,2121.65,1309.5
2018-08-06,2114.3,1282.8
2018-08-07,2130.9,1283.7
2018-08-08,2136.35,1288.3
2018-08-09,2118.5,1277.25
2018-08-10,2114.45,1285.5
2018-08-13,2091.65,1287.15
2018-08-14,2089.1,1293.0
2018-08-16,2075.7,1245.4
2018-08-17,2077.35,1263.25
2018-08-20,2096.2,1274.75
2018-08-21,2096.05,1263.4
2018-08-23,2079.9,1247.7
2018-08-24,2069.85,1254.5
2018-08-27,2080.45,1274.9
2018-08-28,2094.85,1285.1
2018-08-29,2078.5,1288.6
2018-08-30,2066.1,1278.05
2018-08-31,2061.2,1287.25
2018-09-03,2075.05,1269.1
2018-09-04,2051.8,1257.6
2018-09-05,2045.85,1238.15
2018-09-06,2052.2,1260.9
2018-09-07,2056.95,1244.95
2018-09-10,2041.15,1223.35
2018-09-11,2000.4,1206.4
2018-09-12,2011.85,1230.4
2018-09-14,2029.6,1239.55
2018-09-17,1992.2,1230.4
2018-09-18,1989.2,1215.3
2018-09-19,1961.35,1226.9
2018-09-21,1970.25,1180.2
2018-09-24,1925.7,1148.7
2018-09-25,1952.4,1183.35
2018-09-26,1968.2,1169.4
2018-09-27,1976.15,1142.45
2018-09-28,2006.05,1141.6
2018-10-01,2035.45,1122.0
2018-10-03,2031.15,1098.25
2018-10-04,1957.75,1074.5
2018-10-05,1965.3,1052.2
2018-10-08,1945.0,1104.3
2018-10-09,1940.6,1108.45
2018-10-10,1967.15,1137.75
2018-10-11,1937.55,1115.55
2018-10-12,1981.85,1167.15
2018-10-15,2008.05,1170.45
2018-10-16,1992.75,1175.75
2018-10-17,1974.6,1176.0
2018-10-19,1967.75,1198.95
2018-10-22,1998.9,1164.0
2018-10-23,1984.85,1174.45
2018-10-24,1992.25,1177.1
2018-10-25,1968.8,1185.8
2018-10-26,1961.2,1158.6
2018-10-29,1926.3,1138.1
2018-10-30,1912.75,1123.8
2018-10-31,1911.75,1119.15
2018-11-01,1912.2,1109.55
2018-11-02,1949.45,1133.2
2018-11-05,1956.0,1129.45
2018-11-06,1946.55,1125.3
2018-11-07,1957.95,1134.3
2018-11-09,1945.4,1135.55
2018-11-12,1921.05,1153.7
2018-11-13,1927.75,1165.9
2018-11-14,1957.75,1129.9
2018-11-15,1975.15,1162.25
2018-11-16,2004.3,1168.6
2018-11-19,2013.9,1175.25
2018-11-20,2012.45,1169.95
2018-11-21,2018.75,1176.7
2018-11-22,2005.5,1170.6
2018-11-26,2049.8,1170.55
2018-11-27,2064.0,1173.55
2018-11-28,2089.25,1160.25
2018-11-29,2131.05,1212.95
2018-11-30,2128.45,1233.95
2018-12-03,2113.3,1226.1
2018-12-04,2085.55,1225.3
2018-12-05,2099.2,1211.5
2018-12-06,2097.05,1180.25
2018-12-07,2107.6,1279.65
2018-12-10,2088.75,1198.35
2018-12-11,2059.55,1218.7
2018-12-12,2085.3,1237.15
2018-12-13,2101.3,1264.4
2018-12-14,2095.7,1255.95
2018-12-17,2130.2,1222.45
2018-12-18,2135.45,1237.1
2018-12-19,2123.45,1225.65
2018-12-20,2137.45,1236.3
2018-12-21,2111.15,1227.2
2018-12-24,2080.65,1238.5
2018-12-26,2122.35,1248.15
2018-12-27,2105.05,1240.25
2018-12-28,2122.9,1241.35
2018-12-31,2121.7,1256.5
2019-01-01,2148.1,1250.45
2019-01-02,2128.5,1240.6
