Date,HDFCBANK,YESBANK
2018-06-18,2019.15,331.65
2018-06-19,2023.5,330.9
2018-06-20,2056.15,336.1
2018-06-21,2057.6,332.95
2018-06-22,2083.35,335.1
2018-06-25,2094.95,334.15
2018-06-26,2093.7,335.95
2018-06-27,2112.6,335.6
2018-06-28,2130.85,329.3
2018-06-29,2108.45,339.65
2018-07-02,2073.25,337.05
2018-07-03,2070.2,336.9
2018-07-04,2103.55,335.55
2018-07-05,2123.75,348.65
2018-07-06,2115.15,352.6
2018-07-09,2125.65,363.3
2018-07-10,2146.4,371.4
2018-07-11,2148.25,371.6
2018-07-12,2165.95,374.8
2018-07-13,2180.9,376.0
2018-07-16,2168.85,378.5
2018-07-17,2176.75,380.8
2018-07-18,2176.2,383.65
2018-07-19,2186.1,392.3
2018-07-20,2189.05,386.5
2018-07-23,2156.45,386.6
2018-07-24,2159.75,384.35
2018-07-25,2170.35,382.9
2018-07-26,2192.6,369.75
2018-07-27,2202.15,370.0
2018-07-30,2169.9,369.3
2018-07-31,2179.5,367.95
2018-08-01,2158.7,365.85
2018-08-02,2130.2,361.8
2018-08-03,2121.65,373.2
2018-08-06,2114.3,377.9
2018-08-07,2130.9,381.65
2018-08-08,2136.35,382.75
2018-08-09,2118.5,381.05
2018-08-10,2114.45,382.85
2018-08-13,2091.65,370.7
2018-08-14,2089.1,382.5
2018-08-16,2075.7,378.45
2018-08-17,2077.35,393.2
2018-08-20,2096.2,394.0
2018-08-21,2096.05,391.35
2018-08-23,2079.9,388.6
2018-08-24,2069.85,374.2
2018-08-27,2080.45,383.0
2018-08-28,2094.85,370.6
2018-08-29,2078.5,365.15
2018-08-30,2066.1,361.75
2018-08-31,2061.2,343.5
2018-09-03,2075.05,339.05
2018-09-04,2051.8,334.05
2018-09-05,2045.85,343.8
2018-09-06,2052.2,339.2
2018-09-07,2056.95,323.4
2018-09-10,2041.15,323.65
2018-09-11,2000.4,316.6
2018-09-12,2011.85,314.3
2018-09-14,2029.6,323.1
2018-09-17,1992.2,318.6
2018-09-18,1989.2,323.55
2018-09-19,1961.35,319.2
2018-09-21,1970.25,226.5
2018-09-24,1925.7,226.4
2018-09-25,1952.4,219.7
2018-09-26,1968.2,223.75
2018-09-27,1976.15,203.25
2018-09-28,2006.05,183.65
2018-10-01,2035.45,200.85
2018-10-03,2031.15,212.75
2018-10-04,1957.75,215.0
2018-10-05,1965.3,206.0
