Date,HDFC,HDFCBANK
2018-06-18,1823.55,2019.15
2018-06-19,1828.0,2023.5
2018-06-20,1847.0,2056.15
2018-06-21,1858.9,2057.6
2018-06-22,1906.75,2083.35
2018-06-25,1893.8,2094.95
2018-06-26,1915.85,2093.7
2018-06-27,1904.85,2112.6
2018-06-28,1878.0,2130.85
2018-06-29,1908.1,2108.45
2018-07-02,1897.1,2073.25
2018-07-03,1879.7,2070.2
2018-07-04,1922.5,2103.55
2018-07-05,1931.05,2123.75
2018-07-06,1916.85,2115.15
2018-07-09,1904.9,2125.65
2018-07-10,1942.55,2146.4
2018-07-11,1928.1,2148.25
2018-07-12,1962.7,2165.95
2018-07-13,1972.5,2180.9
2018-07-16,1991.2,2168.85
2018-07-17,1989.3,2176.75
2018-07-18,2009.45,2176.2
2018-07-19,1988.4,2186.1
2018-07-20,1973.85,2189.05
2018-07-23,1966.85,2156.45
2018-07-24,1975.55,2159.75
2018-07-25,2000.85,2170.35
2018-07-26,2023.4,2192.6
2018-07-27,2047.25,2202.15
2018-07-30,2028.75,2169.9
2018-07-31,1994.85,2179.5
2018-08-01,1970.15,2158.7
2018-08-02,1931.95,2130.2
2018-08-03,1977.5,2121.65
2018-08-06,1979.3,2114.3
2018-08-07,1978.6,2130.9
2018-08-08,1984.6,2136.35
2018-08-09,1969.95,2118.5
2018-08-10,1974.3,2114.45
2018-08-13,1947.0,2091.65
2018-08-14,1941.5,2089.1
2018-08-16,1891.2,2075.7
2018-08-17,1885.65,2077.35
2018-08-20,1920.05,2096.2
2018-08-21,1913.35,2096.05
2018-08-23,1906.3,2079.9
2018-08-24,1919.05,2069.85
2018-08-27,1924.85,2080.45
2018-08-28,1955.15,2094.85
2018-08-29,1956.25,2078.5
2018-08-30,1934.15,2066.1
2018-08-31,1935.95,2061.2
2018-09-03,1944.8,2075.05
2018-09-04,1954.8,2051.8
2018-09-05,1937.4,2045.85
2018-09-06,1956.15,2052.2
2018-09-07,1920.0,2056.95
2018-09-10,1883.55,2041.15
2018-09-11,1868.05,2000.4
2018-09-12,1877.8,2011.85
2018-09-14,1925.45,2029.6
2018-09-17,1878.85,1992.2
2018-09-18,1855.7,1989.2
2018-09-19,1830.65,1961.35
2018-09-21,1839.4,1970.25
2018-09-24,1718.7,1925.7
2018-09-25,1773.35,1952.4
2018-09-26,1767.45,1968.2
2018-09-27,1729.0,1976.15
2018-09-28,1754.5,2006.05
2018-10-01,1806.35,2035.45
2018-10-03,1797.55,2031.15
2018-10-04,1778.45,1957.75
2018-10-05,1708.65,1965.3
2018-10-08,1667.7,1945.0
2018-10-09,1712.75,1940.6
2018-10-10,1736.95,1967.15
2018-10-11,1684.55,1937.55
2018-10-12,1730.3,1981.85
2018-10-15,1732.9,2008.05
2018-10-16,1756.25,1992.75
2018-10-17,1737.8,1974.6
2018-10-19,1660.25,1967.75
2018-10-22,1658.3,1998.9
2018-10-23,1686.75,1984.85
2018-10-24,1741.45,1992.25
2018-10-25,1694.45,1968.8
2018-10-26,1702.1,1961.2
2018-10-29,1698.4,1926.3
2018-10-30,1671.9,1912.75
2018-10-31,1769.25,1911.75
2018-11-01,1762.0,1912.2
2018-11-02,1824.4,1949.45
2018-11-05,1792.9,1956.0
2018-11-06,1805.9,1946.55
2018-11-07,1815.85,1957.95
2018-11-09,1816.1,1945.4
2018-11-12,1795.9,1921.05
2018-11-13,1824.7,1927.75
2018-11-14,1839.15,1957.75
2018-11-15,1853.6,1975.15
2018-11-16,1889.0,2004.3
2018-11-19,1899.35,2013.9
2018-11-20,1876.8,2012.45
2018-11-21,1868.15,2018.75
2018-11-22,1873.7,2005.5
2018-11-26,1884.65,2049.8
2018-11-27,1901.7,2064.0
2018-11-28,1928.0,2089.25
2018-11-29,1956.3,2131.05
2018-11-30,1989.0,2128.45
2018-12-03,1980.75,2113.3
2018-12-04,1939.45,2085.55
2018-12-05,1973.3,2099.2
2018-12-06,1945.8,2097.05
2018-12-07,1951.35,2107.6
2018-12-10,1906.5,2088.75
2018-12-11,1905.25,2059.55
2018-12-12,1940.2,2085.3
2018-12-13,1942.05,2101.3
2018-12-14,1904.1,2095.7
2018-12-17,1960.35,2130.2
2018-12-18,1952.0,2135.45
2018-12-19,1981.7,2123.45
2018-12-20,1974.7,2137.45
2018-12-21,1948.6,2111.15
2018-12-24,1902.15,2080.65
2018-12-26,1933.35,2122.35
2018-12-27,1948.85,2105.05
2018-12-28,1979.95,2122.9
2018-12-31,1968.35,2121.7
2019-01-01,2009.0,2148.1
2019-01-02,1980.65,2128.5
2019-01-03,1936.85,2111.8
2019-01-04,1972.6,2117.45
2019-01-07,1972.9,2120.65
2019-01-08,1958.95,2103.0
2019-01-09,1994.95,2116.8
2019-01-10,1980.1,2108.5
2019-01-11,1991.4,2111.9
2019-01-14,1969.2,2101.65
2019-01-15,1992.15,2121.9
2019-01-16,1975.0,2120.2
2019-01-17,2004.55,2132.3
2019-01-18,2006.85,2130.25
2019-01-21,2004.45,2148.15
2019-01-22,1979.4,2135.85
2019-01-23,1958.25,2105.4
2019-01-24,1971.1,2102.25
