Date,HEROMOTOCO,BAJAJ-AUTO
2018-06-18,3666.15,2895.3
2018-06-19,3652.75,2849.8
2018-06-20,3655.8,2869.65
2018-06-21,3635.2,2830.1
2018-06-22,3637.65,2832.2
2018-06-25,3586.85,2801.3
2018-06-26,3566.85,2811.95
2018-06-27,3538.0,2765.45
2018-06-28,3516.05,2716.0
2018-06-29,3473.5,2810.3
2018-07-02,3415.4,2835.15
2018-07-03,3447.65,2862.4
2018-07-04,3458.8,2979.05
2018-07-05,3505.75,2966.95
2018-07-06,3637.1,3020.1
2018-07-09,3611.5,3018.15
2018-07-10,3583.5,3093.95
2018-07-11,3536.6,3161.6
2018-07-12,3498.85,3096.7
2018-07-13,3455.9,3138.65
2018-07-16,3426.0,3101.85
2018-07-17,3488.6,3094.2
2018-07-18,3506.15,3107.8
2018-07-19,3451.1,3115.0
2018-07-20,3376.95,2839.6
2018-07-23,3165.45,2684.15
2018-07-24,3108.25,2648.65
2018-07-25,3110.05,2638.6
2018-07-26,3136.75,2618.5
2018-07-27,3203.95,2686.75
2018-07-30,3209.95,2673.15
2018-07-31,3294.45,2700.05
2018-08-01,3280.4,2680.9
2018-08-02,3263.7,2678.6
2018-08-03,3250.55,2690.45
2018-08-06,3297.1,2687.9
2018-08-07,3297.75,2686.6
2018-08-08,3299.05,2660.6
2018-08-09,3281.35,2658.6
2018-08-10,3319.4,2629.7
2018-08-13,3308.2,2630.85
2018-08-14,3266.35,2646.4
2018-08-16,3282.65,2667.5
2018-08-17,3242.3,2661.35
2018-08-20,3304.0,2735.35
2018-08-21,3316.75,2728.5
2018-08-23,3284.75,2685.55
2018-08-24,3212.3,2682.25
2018-08-27,3223.75,2697.6
2018-08-28,3232.75,2684.4
2018-08-29,3246.1,2689.1
2018-08-30,3223.7,2701.65
2018-08-31,3253.8,2744.85
2018-09-03,3242.45,2771.9
2018-09-04,3184.15,2735.55
2018-09-05,3145.4,2772.3
2018-09-06,3164.85,2783.1
2018-09-07,3329.35,2923.55
2018-09-10,3278.3,2868.6
2018-09-11,3184.2,2833.7
2018-09-12,3163.75,2867.95
2018-09-14,3186.65,2877.5
2018-09-17,3127.9,2860.65
2018-09-18,3111.45,2773.8
2018-09-19,3153.95,2790.1
2018-09-21,3175.2,2799.2
2018-09-24,3110.2,2759.3
2018-09-25,3112.6,2788.7
2018-09-26,3100.05,2773.3
2018-09-27,3088.1,2783.55
2018-09-28,2933.25,2687.45
2018-10-01,2973.0,2730.1
2018-10-03,2913.5,2731.4
2018-10-04,2763.5,2657.0
2018-10-05,2740.75,2543.05
2018-10-08,2873.05,2584.1
2018-10-09,2891.75,2548.85
2018-10-10,2920.1,2581.8
2018-10-11,2871.0,2525.8
2018-10-12,2893.95,2623.05
2018-10-15,2881.25,2620.45
2018-10-16,2895.2,2610.5
2018-10-17,2807.55,2547.8
2018-10-19,2712.75,2510.25
2018-10-22,2731.8,2556.9
2018-10-23,2724.25,2586.5
2018-10-24,2701.65,2475.15
2018-10-25,2695.1,2477.55
2018-10-26,2705.35,2513.75
2018-10-29,2749.85,2549.1
2018-10-30,2773.9,2556.25
2018-10-31,2762.35,2593.7
2018-11-01,2792.25,2598.85
2018-11-02,2896.6,2657.75
2018-11-05,2847.8,2672.55
2018-11-06,2856.05,2674.6
2018-11-07,2888.55,2692.55
2018-11-09,2956.7,2693.05
2018-11-12,2839.35,2652.3
2018-11-13,2879.7,2665.5
2018-11-14,2847.55,2676.5
2018-11-15,2922.15,2668.85
2018-11-16,2961.9,2695.35
2018-11-19,2980.65,2679.65
2018-11-20,2960.1,2666.5
2018-11-21,2912.05,2604.65
2018-11-22,2917.75,2590.35
2018-11-26,3076.0,2649.5
2018-11-27,2958.15,2599.65
2018-11-28,2999.15,2603.9
2018-11-29,3016.8,2724.0
2018-11-30,3055.2,2745.7
2018-12-03,3039.9,2736.0
2018-12-04,3069.15,2763.85
2018-12-05,3052.5,2764.1
2018-12-06,3026.75,2718.1
2018-12-07,3066.8,2786.2
2018-12-10,3046.5,2725.1
2018-12-11,3038.8,2739.6
2018-12-12,3258.65,2848.4
2018-12-13,3318.25,2836.1
2018-12-14,3314.65,2823.15
2018-12-17,3286.1,2840.95
2018-12-18,3298.05,2840.9
2018-12-19,3305.2,2863.0
2018-12-20,3361.35,2887.2
2018-12-21,3324.15,2808.45
2018-12-24,3168.4,2724.65
2018-12-26,3175.2,2734.6
2018-12-27,3128.8,2737.0
2018-12-28,3122.6,2717.5
2018-12-31,3104.25,2720.15
2019-01-01,3127.6,2726.65
2019-01-02,3046.55,2692.0
2019-01-03,3014.65,2701.35
2019-01-04,2987.85,2734.2
2019-01-07,2957.95,2658.55
2019-01-08,2970.3,2694.85
2019-01-09,2937.45,2696.9
2019-01-10,2919.5,2725.3
2019-01-11,2899.25,2720.95
2019-01-14,2867.0,2699.15
2019-01-15,2910.95,2725.85
2019-01-16,2879.85,2717.45
2019-01-17,2903.6,2729.65
2019-01-18,2898.75,2720.75
2019-01-21,2794.25,2684.6
2019-01-22,2824.9,2688.35
2019-01-23,2795.95,2674.1
2019-01-24,2790.2,2651.65
2019-01-25,2670.15,2626.35
2019-01-28,2598.6,2565.55
2019-01-29,2633.3,2567.65
2019-01-30,2611.0,2499.7
2019-01-31,2613.95,2554.55
2019-02-01,2807.25,2602.75
2019-02-04,2780.15,2642.5
2019-02-05,2854.55,2710.65
2019-02-06,2880.05,2770.15
2019-02-07,2939.05,2853.6
2019-02-08,2938.85,2851.4
2019-02-11,2889.05,2853.6
2019-02-12,2799.55,2832.35
2019-02-13,2751.45,2823.95
2019-02-14,2776.2,2823.1
2019-02-15,2696.45,2825.95
2019-02-18,2683.55,2793.5
2019-02-19,2636.85,2787.85
2019-02-20,2623.75,2774.7
2019-02-21,2641.25,2813.95
2019-02-22,2679.85,2816.85
2019-02-25,2712.5,2847.55
2019-02-26,2689.05,2859.3
2019-02-27,2678.55,2914.7
2019-02-28,2628.1,2900.6
2019-03-01,2675.6,2863.5
2019-03-05,2795.65,2903.75
2019-03-06,2765.85,2927.6
2019-03-07,2730.1,2919.9
2019-03-08,2740.35,2955.7
2019-03-11,2814.75,3000.55
2019-03-12,2808.45,2996.1
2019-03-13,2803.65,3010.0
2019-03-14,2751.7,3016.85
2019-03-15,2735.85,3023.8
2019-03-18,2669.5,3005.15
2019-03-19,2614.05,2974.7
2019-03-20,2609.15,2949.65
2019-03-22,2603.3,2949.75
2019-03-25,2575.7,2957.95
2019-03-26,2574.45,2952.8
2019-03-27,2543.2,2980.1
2019-03-28,2525.75,2948.8
2019-03-29,2553.15,2911.1
2019-04-01,2558.5,2915.65
2019-04-02,2569.95,2853.1
2019-04-03,2580.45,2847.3
2019-04-04,2637.2,2859.1
2019-04-05,2618.4,2861.65
2019-04-08,2586.85,2853.35
2019-04-09,2623.65,2924.8
2019-04-10,2594.4,2942.9
2019-04-11,2601.1,2993.7
2019-04-12,2639.9,3008.15
2019-04-15,2700.7,3035.05
2019-04-16,2739.65,3068.45
2019-04-18,2741.55,3069.5
2019-04-22,2690.0,3050.0
