Date,HEROMOTOCO,EICHERMOT
2018-06-18,3666.15,30135.3
2018-06-19,3652.75,29949.65
2018-06-20,3655.8,29805.3
2018-06-21,3635.2,29424.9
2018-06-22,3637.65,29140.65
2018-06-25,3586.85,29440.0
2018-06-26,3566.85,29035.45
2018-06-27,3538.0,28371.85
2018-06-28,3516.05,28425.55
2018-06-29,3473.5,28590.45
2018-07-02,3415.4,28187.65
2018-07-03,3447.65,28079.0
2018-07-04,3458.8,28238.0
2018-07-05,3505.75,27888.0
2018-07-06,3637.1,27626.3
2018-07-09,3611.5,27632.5
2018-07-10,3583.5,28289.0
2018-07-11,3536.6,28160.5
2018-07-12,3498.85,27995.35
2018-07-13,3455.9,27529.15
2018-07-16,3426.0,27424.3
2018-07-17,3488.6,27153.7
2018-07-18,3506.15,27222.55
2018-07-19,3451.1,26980.65
2018-07-20,3376.95,27048.1
2018-07-23,3165.45,27023.45
2018-07-24,3108.25,27697.8
2018-07-25,3110.05,27288.3
2018-07-26,3136.75,28265.65
2018-07-27,3203.95,28946.2
2018-07-30,3209.95,28594.65
2018-07-31,3294.45,27798.55
2018-08-01,3280.4,27298.7
2018-08-02,3263.7,26960.85
2018-08-03,3250.55,26995.7
2018-08-06,3297.1,27037.5
2018-08-07,3297.75,27523.55
2018-08-08,3299.05,27593.15
2018-08-09,3281.35,27438.75
2018-08-10,3319.4,28997.7
2018-08-13,3308.2,28406.6
2018-08-14,3266.35,28992.35
2018-08-16,3282.65,28803.85
2018-08-17,3242.3,28476.15
2018-08-20,3304.0,28382.8
2018-08-21,3316.75,28611.15
2018-08-23,3284.75,28766.9
2018-08-24,3212.3,28869.8
2018-08-27,3223.75,28982.05
2018-08-28,3232.75,28677.95
2018-08-29,3246.1,28188.75
2018-08-30,3223.7,27602.15
2018-08-31,3253.8,28059.75
2018-09-03,3242.45,28885.85
2018-09-04,3184.15,28807.2
2018-09-05,3145.4,29055.0
2018-09-06,3164.85,28844.15
2018-09-07,3329.35,28682.2
2018-09-10,3278.3,28623.05
2018-09-11,3184.2,28069.6
2018-09-12,3163.75,28812.2
2018-09-14,3186.65,29383.75
2018-09-17,3127.9,29663.7
2018-09-18,3111.45,28900.35
2018-09-19,3153.95,28410.5
2018-09-21,3175.2,27940.2
2018-09-24,3110.2,25852.8
2018-09-25,3112.6,25599.7
2018-09-26,3100.05,25180.75
2018-09-27,3088.1,24902.2
2018-09-28,2933.25,24185.4
2018-10-01,2973.0,24749.5
2018-10-03,2913.5,23235.75
2018-10-04,2763.5,21907.85
2018-10-05,2740.75,21190.45
2018-10-08,2873.05,22134.75
2018-10-09,2891.75,21085.7
2018-10-10,2920.1,22582.35
2018-10-11,2871.0,22357.45
2018-10-12,2893.95,23903.75
2018-10-15,2881.25,23434.5
2018-10-16,2895.2,23002.15
2018-10-17,2807.55,21978.1
2018-10-19,2712.75,21625.3
2018-10-22,2731.8,22425.1
2018-10-23,2724.25,22258.15
2018-10-24,2701.65,22624.7
2018-10-25,2695.1,22092.2
2018-10-26,2705.35,21806.4
2018-10-29,2749.85,21461.9
2018-10-30,2773.9,21026.15
2018-10-31,2762.35,21864.6
2018-11-01,2792.25,21992.1
2018-11-02,2896.6,22674.1
2018-11-05,2847.8,22552.25
2018-11-06,2856.05,22559.65
2018-11-07,2888.55,22650.3
2018-11-09,2956.7,22495.25
2018-11-12,2839.35,21933.55
2018-11-13,2879.7,23241.85
2018-11-14,2847.55,23240.1
2018-11-15,2922.15,23945.35
2018-11-16,2961.9,24735.0
2018-11-19,2980.65,24897.1
2018-11-20,2960.1,24595.8
2018-11-21,2912.05,24216.4
2018-11-22,2917.75,24109.05
2018-11-26,3076.0,23848.3
2018-11-27,2958.15,23807.55
2018-11-28,2999.15,23111.35
2018-11-29,3016.8,23521.3
2018-11-30,3055.2,23405.3
