Date,HEROMOTOCO,TVSMOTOR
2018-06-18,3666.15,596.9
2018-06-19,3652.75,584.65
2018-06-20,3655.8,585.05
2018-06-21,3635.2,583.2
2018-06-22,3637.65,582.65
2018-06-25,3586.85,597.55
2018-06-26,3566.85,585.45
2018-06-27,3538.0,570.25
2018-06-28,3516.05,557.7
2018-06-29,3473.5,552.85
2018-07-02,3415.4,556.15
2018-07-03,3447.65,561.15
2018-07-04,3458.8,581.4
2018-07-05,3505.75,570.5
2018-07-06,3637.1,576.8
2018-07-09,3611.5,588.55
2018-07-10,3583.5,584.9
2018-07-11,3536.6,580.7
2018-07-12,3498.85,578.5
2018-07-13,3455.9,584.4
2018-07-16,3426.0,570.2
2018-07-17,3488.6,573.3
2018-07-18,3506.15,569.15
2018-07-19,3451.1,563.05
2018-07-20,3376.95,564.9
2018-07-23,3165.45,542.05
2018-07-24,3108.25,552.75
2018-07-25,3110.05,540.35
2018-07-26,3136.75,522.35
2018-07-27,3203.95,525.3
2018-07-30,3209.95,513.5
2018-07-31,3294.45,516.6
2018-08-01,3280.4,512.45
2018-08-02,3263.7,512.35
2018-08-03,3250.55,520.35
2018-08-06,3297.1,527.8
2018-08-07,3297.75,549.0
2018-08-08,3299.05,532.8
2018-08-09,3281.35,538.45
2018-08-10,3319.4,534.1
2018-08-13,3308.2,519.6
2018-08-14,3266.35,519.4
2018-08-16,3282.65,519.3
2018-08-17,3242.3,515.9
2018-08-20,3304.0,536.95
2018-08-21,3316.75,541.1
2018-08-23,3284.75,545.5
2018-08-24,3212.3,549.55
2018-08-27,3223.75,563.25
2018-08-28,3232.75,569.5
2018-08-29,3246.1,557.6
2018-08-30,3223.7,565.85
2018-08-31,3253.8,569.35
2018-09-03,3242.45,565.5
2018-09-04,3184.15,558.4
2018-09-05,3145.4,562.75
2018-09-06,3164.85,569.7
2018-09-07,3329.35,589.85
2018-09-10,3278.3,589.2
2018-09-11,3184.2,574.05
2018-09-12,3163.75,578.55
2018-09-14,3186.65,586.65
2018-09-17,3127.9,588.45
2018-09-18,3111.45,592.7
2018-09-19,3153.95,599.15
2018-09-21,3175.2,593.4
2018-09-24,3110.2,574.35
2018-09-25,3112.6,592.65
2018-09-26,3100.05,584.35
2018-09-27,3088.1,586.9
2018-09-28,2933.25,560.05
2018-10-01,2973.0,561.35
2018-10-03,2913.5,538.45
2018-10-04,2763.5,527.4
2018-10-05,2740.75,503.95
2018-10-08,2873.05,504.85
2018-10-09,2891.75,494.7
2018-10-10,2920.1,533.1
2018-10-11,2871.0,511.8
2018-10-12,2893.95,534.1
2018-10-15,2881.25,528.8
2018-10-16,2895.2,551.65
2018-10-17,2807.55,532.9
2018-10-19,2712.75,516.1
2018-10-22,2731.8,516.3
2018-10-23,2724.25,535.2
2018-10-24,2701.65,528.05
2018-10-25,2695.1,519.15
2018-10-26,2705.35,525.45
2018-10-29,2749.85,554.05
2018-10-30,2773.9,539.65
2018-10-31,2762.35,544.65
2018-11-01,2792.25,545.7
2018-11-02,2896.6,553.45
2018-11-05,2847.8,559.6
2018-11-06,2856.05,550.5
2018-11-07,2888.55,552.4
2018-11-09,2956.7,556.25
2018-11-12,2839.35,540.5
2018-11-13,2879.7,545.5
2018-11-14,2847.55,554.15
2018-11-15,2922.15,549.8
2018-11-16,2961.9,551.6
2018-11-19,2980.65,554.95
2018-11-20,2960.1,538.15
2018-11-21,2912.05,542.5
2018-11-22,2917.75,527.2
2018-11-26,3076.0,536.3
2018-11-27,2958.15,542.6
2018-11-28,2999.15,534.9
2018-11-29,3016.8,552.0
2018-11-30,3055.2,557.4
2018-12-03,3039.9,550.6
2018-12-04,3069.15,555.05
2018-12-05,3052.5,553.7
2018-12-06,3026.75,532.3
2018-12-07,3066.8,541.5
2018-12-10,3046.5,547.85
2018-12-11,3038.8,552.3
2018-12-12,3258.65,570.6
2018-12-13,3318.25,565.35
2018-12-14,3314.65,570.0
2018-12-17,3286.1,575.1
2018-12-18,3298.05,574.5
2018-12-19,3305.2,576.8
2018-12-20,3361.35,579.8
2018-12-21,3324.15,572.9
2018-12-24,3168.4,558.5
2018-12-26,3175.2,558.8
2018-12-27,3128.8,549.95
2018-12-28,3122.6,564.2
2018-12-31,3104.25,571.25
2019-01-01,3127.6,564.55
2019-01-02,3046.55,535.25
2019-01-03,3014.65,537.85
2019-01-04,2987.85,540.95
2019-01-07,2957.95,534.75
2019-01-08,2970.3,535.15
2019-01-09,2937.45,539.65
2019-01-10,2919.5,540.15
2019-01-11,2899.25,540.65
2019-01-14,2867.0,534.95
2019-01-15,2910.95,544.0
2019-01-16,2879.85,548.9
2019-01-17,2903.6,547.15
2019-01-18,2898.75,535.65
2019-01-21,2794.25,538.25
2019-01-22,2824.9,554.2
2019-01-23,2795.95,531.55
2019-01-24,2790.2,521.75
2019-01-25,2670.15,496.1
2019-01-28,2598.6,477.75
2019-01-29,2633.3,495.45
2019-01-30,2611.0,492.0
2019-01-31,2613.95,500.0
2019-02-01,2807.25,516.65
2019-02-04,2780.15,499.65
2019-02-05,2854.55,497.35
2019-02-06,2880.05,488.5
2019-02-07,2939.05,504.75
2019-02-08,2938.85,492.9
2019-02-11,2889.05,487.95
2019-02-12,2799.55,490.35
2019-02-13,2751.45,486.8
2019-02-14,2776.2,494.35
2019-02-15,2696.45,479.1
2019-02-18,2683.55,469.3
2019-02-19,2636.85,473.05
2019-02-20,2623.75,466.3
2019-02-21,2641.25,462.45
2019-02-22,2679.85,471.5
2019-02-25,2712.5,462.85
2019-02-26,2689.05,456.1
2019-02-27,2678.55,456.1
2019-02-28,2628.1,452.95
2019-03-01,2675.6,467.65
2019-03-05,2795.65,489.8
2019-03-06,2765.85,490.7
2019-03-07,2730.1,486.2
2019-03-08,2740.35,487.0
2019-03-11,2814.75,505.85
2019-03-12,2808.45,497.0
2019-03-13,2803.65,497.9
2019-03-14,2751.7,491.55
2019-03-15,2735.85,493.25
2019-03-18,2669.5,490.4
2019-03-19,2614.05,478.6
2019-03-20,2609.15,474.3
2019-03-22,2603.3,465.05
2019-03-25,2575.7,463.0
2019-03-26,2574.45,460.45
2019-03-27,2543.2,458.85
2019-03-28,2525.75,471.5
2019-03-29,2553.15,470.9
2019-04-01,2558.5,479.85
2019-04-02,2569.95,486.85
2019-04-03,2580.45,485.1
2019-04-04,2637.2,488.05
2019-04-05,2618.4,485.25
2019-04-08,2586.85,480.65
2019-04-09,2623.65,482.45
2019-04-10,2594.4,482.2
2019-04-11,2601.1,484.25
2019-04-12,2639.9,500.0
2019-04-15,2700.7,505.1
2019-04-16,2739.65,516.9
2019-04-18,2741.55,518.35
2019-04-22,2689.5,513.3
2019-04-23,2638.05,513.6
2019-04-24,2611.9,517.25
2019-04-25,2612.25,519.2
2019-04-26,2604.0,505.25
2019-04-29,2593.45,505.25
