Date,ICICIBANK,SOUTHBANK
2018-06-18,293.0,23.85
2018-06-19,292.8,23.35
2018-06-20,293.2,23.5
2018-06-21,297.95,23.4
2018-06-22,300.65,23.45
2018-06-25,289.7,23.25
2018-06-26,288.1,22.95
2018-06-27,279.05,22.35
2018-06-28,271.4,21.4
2018-06-29,275.4,22.3
2018-07-02,277.4,21.7
2018-07-03,272.9,21.6
2018-07-04,273.25,21.45
2018-07-05,271.55,21.35
2018-07-06,270.05,21.7
2018-07-09,271.2,22.35
2018-07-10,273.4,22.65
2018-07-11,268.75,22.25
2018-07-12,272.3,22.2
2018-07-13,267.75,21.6
2018-07-16,259.25,21.05
2018-07-17,266.45,22.65
2018-07-18,262.7,21.65
2018-07-19,261.2,21.7
2018-07-20,265.8,22.5
2018-07-23,275.55,18.5
2018-07-24,274.35,18.45
2018-07-25,274.65,18.05
2018-07-26,285.65,17.8
2018-07-27,293.2,18.1
2018-07-30,307.35,18.35
2018-07-31,304.25,18.25
2018-08-01,299.3,17.85
2018-08-02,298.55,18.2
2018-08-03,305.0,18.15
2018-08-06,315.1,18.25
2018-08-07,313.15,18.05
2018-08-08,318.7,18.05
2018-08-09,333.0,18.35
2018-08-10,328.6,18.0
2018-08-13,324.9,17.85
2018-08-14,332.45,17.9
2018-08-16,334.3,18.05
2018-08-17,340.0,18.35
2018-08-20,338.45,17.85
2018-08-21,338.85,17.7
2018-08-23,337.2,17.55
2018-08-24,330.15,17.55
2018-08-27,339.9,17.55
2018-08-28,338.9,17.55
2018-08-29,340.65,17.75
2018-08-30,344.35,17.55
2018-08-31,342.6,17.55
2018-09-03,334.15,17.55
2018-09-04,328.5,16.75
2018-09-05,329.65,16.85
2018-09-06,328.65,16.85
2018-09-07,335.1,16.9
2018-09-10,332.9,16.5
2018-09-11,326.55,16.05
2018-09-12,322.9,16.1
2018-09-14,328.35,16.4
2018-09-17,325.7,16.25
2018-09-18,318.85,15.95
2018-09-19,320.95,15.85
2018-09-21,317.1,15.05
2018-09-24,308.75,14.6
2018-09-25,311.1,14.35
2018-09-26,313.1,14.55
2018-09-27,306.65,13.55
2018-09-28,305.55,13.15
2018-10-01,314.0,13.75
2018-10-03,303.7,14.15
2018-10-04,316.5,14.25
2018-10-05,307.3,13.9
2018-10-08,310.85,13.35
2018-10-09,306.25,13.45
2018-10-10,319.85,13.25
2018-10-11,311.7,12.65
2018-10-12,319.4,12.7
2018-10-15,313.35,12.6
2018-10-16,320.65,14.6
2018-10-17,314.8,14.85
2018-10-19,315.45,14.7
2018-10-22,327.1,14.2
2018-10-23,322.85,13.95
2018-10-24,322.0,13.95
2018-10-25,319.95,13.3
2018-10-26,315.65,13.3
2018-10-29,349.4,14.0
2018-10-30,345.7,14.3
2018-10-31,355.0,14.65
2018-11-01,353.7,14.75
2018-11-02,354.45,14.7
2018-11-05,349.65,14.7
2018-11-06,353.1,14.55
2018-11-07,355.9,15.15
2018-11-09,356.85,15.5
2018-11-12,352.35,15.1
2018-11-13,360.9,15.1
2018-11-14,366.6,14.85
2018-11-15,370.0,14.65
2018-11-16,367.55,14.55
2018-11-19,362.4,14.55
2018-11-20,357.9,14.3
2018-11-21,356.75,14.6
2018-11-22,352.05,14.5
2018-11-26,356.35,14.9
2018-11-27,354.65,15.5
2018-11-28,359.0,15.4
2018-11-29,362.2,15.9
2018-11-30,355.15,16.1
2018-12-03,355.5,16.8
2018-12-04,357.95,16.65
2018-12-05,351.4,16.15
2018-12-06,347.65,15.1
2018-12-07,352.2,15.35
2018-12-10,346.35,15.05
2018-12-11,342.8,15.55
2018-12-12,349.95,16.1
2018-12-13,349.55,16.1
2018-12-14,351.9,15.45
2018-12-17,358.45,15.5
2018-12-18,362.25,15.35
2018-12-19,366.5,15.6
2018-12-20,362.15,15.7
2018-12-21,354.2,15.45
2018-12-24,352.75,15.3
2018-12-26,355.85,15.1
2018-12-27,355.65,15.15
2018-12-28,360.75,15.35
2018-12-31,360.15,15.55
2019-01-01,363.75,15.65
2019-01-02,364.6,15.45
2019-01-03,363.25,15.3
2019-01-04,365.2,15.3
2019-01-07,367.7,15.25
2019-01-08,380.15,15.25
2019-01-09,382.25,15.4
2019-01-10,379.5,15.85
2019-01-11,378.55,15.7
2019-01-14,373.35,15.6
2019-01-15,372.75,15.6
2019-01-16,375.3,15.9
2019-01-17,374.6,15.7
2019-01-18,372.0,15.55
2019-01-21,371.7,14.2
2019-01-22,369.05,14.1
2019-01-23,367.4,13.95
2019-01-24,364.8,13.8
2019-01-25,357.2,13.45
2019-01-28,343.55,13.15
2019-01-29,346.85,13.3
2019-01-30,365.9,13.15
2019-01-31,364.45,13.15
2019-02-01,354.65,13.1
2019-02-04,354.55,13.2
2019-02-05,352.65,12.85
2019-02-06,359.3,12.95
2019-02-07,358.65,13.7
2019-02-08,355.1,13.45
2019-02-11,350.05,13.5
2019-02-12,344.3,13.15
2019-02-13,339.75,12.95
2019-02-14,343.95,13.2
2019-02-15,342.15,12.95
2019-02-18,338.75,12.9
2019-02-19,343.25,12.85
2019-02-20,345.2,13.1
2019-02-21,351.3,13.25
2019-02-22,352.05,13.6
2019-02-25,355.6,13.5
2019-02-26,348.2,13.3
2019-02-27,345.55,13.25
2019-02-28,350.15,13.2
2019-03-01,354.25,13.65
2019-03-05,363.25,14.35
2019-03-06,371.95,15.1
2019-03-07,370.8,15.15
2019-03-08,370.6,14.8
2019-03-11,375.85,15.5
2019-03-12,388.2,15.3
2019-03-13,391.9,15.25
2019-03-14,387.9,15.15
2019-03-15,395.3,15.55
2019-03-18,398.05,15.8
2019-03-19,398.4,16.05
2019-03-20,392.9,16.05
2019-03-22,391.8,15.95
2019-03-25,383.5,15.7
2019-03-26,394.1,15.8
2019-03-27,393.2,15.85
2019-03-28,400.55,16.5
2019-03-29,400.5,16.5
2019-04-01,398.25,17.05
2019-04-02,397.15,17.05
2019-04-03,392.1,16.75
2019-04-04,388.75,16.55
2019-04-05,390.55,17.5
2019-04-08,387.1,17.4
2019-04-09,397.15,17.2
2019-04-10,394.2,17.3
2019-04-11,390.05,17.45
2019-04-12,394.6,17.3
2019-04-15,392.75,17.55
2019-04-16,407.0,17.6
2019-04-18,404.4,17.2
2019-04-22,394.75,16.95
