Date,ICICIBANK,YESBANK
2018-06-18,293.0,331.65
2018-06-19,292.8,330.9
2018-06-20,293.2,336.1
2018-06-21,297.95,332.95
2018-06-22,300.65,335.1
2018-06-25,289.7,334.15
2018-06-26,288.1,335.95
2018-06-27,279.05,335.6
2018-06-28,271.4,329.3
2018-06-29,275.4,339.65
2018-07-02,277.4,337.05
2018-07-03,272.9,336.9
2018-07-04,273.25,335.55
2018-07-05,271.55,348.65
2018-07-06,270.05,352.6
2018-07-09,271.2,363.3
2018-07-10,273.4,371.4
2018-07-11,268.75,371.6
2018-07-12,272.3,374.8
2018-07-13,267.75,376.0
2018-07-16,259.25,378.5
2018-07-17,266.45,380.8
2018-07-18,262.7,383.65
2018-07-19,261.2,392.3
2018-07-20,265.8,386.5
2018-07-23,275.55,386.6
2018-07-24,274.35,384.35
2018-07-25,274.65,382.9
2018-07-26,285.65,369.75
2018-07-27,293.2,370.0
2018-07-30,307.35,369.3
2018-07-31,304.25,367.95
2018-08-01,299.3,365.85
2018-08-02,298.55,361.8
2018-08-03,305.0,373.2
2018-08-06,315.1,377.9
2018-08-07,313.15,381.65
2018-08-08,318.7,382.75
2018-08-09,333.0,381.05
2018-08-10,328.6,382.85
2018-08-13,324.9,370.7
2018-08-14,332.45,382.5
2018-08-16,334.3,378.45
2018-08-17,340.0,393.2
2018-08-20,338.45,394.0
2018-08-21,338.85,391.35
2018-08-23,337.2,388.6
2018-08-24,330.15,374.2
2018-08-27,339.9,383.0
2018-08-28,338.9,370.6
2018-08-29,340.65,365.15
2018-08-30,344.35,361.75
2018-08-31,342.6,343.5
2018-09-03,334.15,339.05
2018-09-04,328.5,334.05
2018-09-05,329.65,343.8
2018-09-06,328.65,339.2
2018-09-07,335.1,323.4
2018-09-10,332.9,323.65
2018-09-11,326.55,316.6
2018-09-12,322.9,314.3
2018-09-14,328.35,323.1
2018-09-17,325.7,318.6
2018-09-18,318.85,323.55
2018-09-19,320.95,319.2
2018-09-21,317.1,226.5
2018-09-24,308.75,226.4
2018-09-25,311.1,219.7
2018-09-26,313.1,223.75
2018-09-27,306.65,203.25
2018-09-28,305.55,183.65
2018-10-01,314.0,200.85
2018-10-03,303.7,212.75
2018-10-04,316.5,215.0
2018-10-05,307.3,206.0
2018-10-08,310.85,221.2
2018-10-09,306.25,224.65
2018-10-10,319.85,233.9
2018-10-11,311.7,240.2
2018-10-12,319.4,246.45
2018-10-15,313.35,246.0
2018-10-16,320.65,248.9
2018-10-17,314.8,231.9
2018-10-19,315.45,217.9
2018-10-22,327.1,211.5
2018-10-23,322.85,213.2
2018-10-24,322.0,204.0
2018-10-25,319.95,198.35
2018-10-26,315.65,180.7
2018-10-29,349.4,181.3
2018-10-30,345.7,182.05
2018-10-31,355.0,188.1
2018-11-01,353.7,204.05
2018-11-02,354.45,209.1
2018-11-05,349.65,210.1
2018-11-06,353.1,214.45
2018-11-07,355.9,215.95
2018-11-09,356.85,227.9
2018-11-12,352.35,223.05
2018-11-13,360.9,225.45
2018-11-14,366.6,222.4
2018-11-15,370.0,205.85
2018-11-16,367.55,191.0
2018-11-19,362.4,204.8
2018-11-20,357.9,192.1
2018-11-21,356.75,198.15
2018-11-22,352.05,195.55
2018-11-26,356.35,187.9
2018-11-27,354.65,182.65
2018-11-28,359.0,162.1
2018-11-29,362.2,160.45
2018-11-30,355.15,169.8
2018-12-03,355.5,178.0
2018-12-04,357.95,176.5
2018-12-05,351.4,173.4
2018-12-06,347.65,168.45
2018-12-07,352.2,166.2
2018-12-10,346.35,165.65
2018-12-11,342.8,177.85
2018-12-12,349.95,186.6
2018-12-13,349.55,174.7
2018-12-14,351.9,180.35
2018-12-17,358.45,181.0
2018-12-18,362.25,179.0
2018-12-19,366.5,179.55
2018-12-20,362.15,186.75
2018-12-21,354.2,182.95
2018-12-24,352.75,182.3
2018-12-26,355.85,179.45
2018-12-27,355.65,178.1
2018-12-28,360.75,181.45
2018-12-31,360.15,181.8
2019-01-01,363.75,184.25
2019-01-02,364.6,184.65
2019-01-03,363.25,184.1
2019-01-04,365.2,189.65
2019-01-07,367.7,187.15
2019-01-08,380.15,192.35
2019-01-09,382.25,186.45
2019-01-10,379.5,186.9
2019-01-11,378.55,184.25
2019-01-14,373.35,195.35
2019-01-15,372.75,203.0
2019-01-16,375.3,208.35
2019-01-17,374.6,201.5
2019-01-18,372.0,198.6
2019-01-21,371.7,191.95
2019-01-22,369.05,192.2
2019-01-23,367.4,197.25
2019-01-24,364.8,215.4
2019-01-25,357.2,219.6
2019-01-28,343.55,207.5
2019-01-29,346.85,202.9
2019-01-30,365.9,199.5
2019-01-31,364.45,194.1
2019-02-01,354.65,185.6
2019-02-04,354.55,179.8
2019-02-05,352.65,176.1
2019-02-06,359.3,176.45
2019-02-07,358.65,176.95
2019-02-08,355.1,175.1
2019-02-11,350.05,173.25
2019-02-12,344.3,172.65
2019-02-13,339.75,169.45
2019-02-14,343.95,221.25
2019-02-15,342.15,219.0
2019-02-18,338.75,213.55
2019-02-19,343.25,212.85
2019-02-20,345.2,217.85
2019-02-21,351.3,215.15
2019-02-22,352.05,222.0
2019-02-25,355.6,229.1
2019-02-26,348.2,229.5
2019-02-27,345.55,228.2
2019-02-28,350.15,231.15
2019-03-01,354.25,237.6
2019-03-05,363.25,237.45
2019-03-06,371.95,235.3
2019-03-07,370.8,231.7
2019-03-08,370.6,232.3
2019-03-11,375.85,236.3
2019-03-12,388.2,235.85
2019-03-13,391.9,244.3
2019-03-14,387.9,249.85
2019-03-15,395.3,245.05
2019-03-18,398.05,245.95
2019-03-19,398.4,248.8
2019-03-20,392.9,252.15
2019-03-22,391.8,252.6
2019-03-25,383.5,247.25
2019-03-26,394.1,253.7
2019-03-27,393.2,268.45
2019-03-28,400.55,276.1
2019-03-29,400.5,275.1
2019-04-01,398.25,275.9
2019-04-02,397.15,280.3
2019-04-03,392.1,273.7
2019-04-04,388.75,268.05
2019-04-05,390.55,266.85
2019-04-08,387.1,260.05
2019-04-09,397.15,270.6
2019-04-10,394.2,268.25
2019-04-11,390.05,269.05
2019-04-12,394.6,267.9
2019-04-15,392.75,265.5
2019-04-16,407.0,266.45
2019-04-18,404.4,255.8
2019-04-29,407.2,237.8
