Date,IDBI,ALBK
2018-06-18,59.3,44.75
2018-06-19,58.75,44.3
2018-06-20,58.95,44.7
2018-06-21,57.75,43.55
2018-06-22,58.9,44.9
2018-06-25,58.0,41.25
2018-06-26,54.45,41.55
2018-06-27,50.7,41.2
2018-06-28,49.85,40.95
2018-06-29,54.9,41.8
2018-07-02,56.0,41.8
2018-07-03,52.45,41.2
2018-07-04,51.75,40.9
2018-07-05,48.1,41.35
2018-07-06,48.25,42.5
2018-07-09,48.8,42.65
2018-07-10,53.35,43.05
2018-07-11,57.0,42.15
2018-07-12,56.15,42.0
2018-07-13,57.3,40.6
2018-07-16,56.45,39.65
2018-07-17,58.15,42.2
2018-07-18,56.65,41.05
2018-07-19,56.85,41.15
2018-07-20,58.0,40.9
2018-07-23,57.6,41.5
2018-07-24,59.5,43.1
2018-07-25,58.9,42.85
2018-07-26,58.8,44.4
2018-07-27,60.1,45.15
2018-07-30,59.8,46.3
2018-07-31,58.85,45.6
2018-08-01,62.15,45.6
2018-08-02,62.25,44.9
2018-08-03,61.85,45.4
2018-08-06,63.2,46.3
2018-08-07,61.9,44.9
2018-08-08,62.25,44.0
2018-08-09,63.1,45.8
2018-08-10,61.85,44.8
2018-08-13,60.45,42.75
2018-08-14,60.35,39.95
2018-08-16,61.4,39.55
2018-08-17,62.3,40.2
2018-08-20,62.5,40.8
2018-08-21,63.4,40.8
2018-08-23,62.1,40.3
2018-08-24,61.45,40.3
2018-08-27,61.3,40.7
2018-08-28,60.85,40.45
2018-08-29,60.95,40.45
2018-08-30,60.95,41.85
2018-08-31,62.7,42.65
2018-09-03,61.15,42.8
2018-09-04,59.75,41.1
2018-09-05,59.3,40.9
2018-09-06,59.15,40.4
2018-09-07,59.85,40.55
2018-09-10,57.85,40.1
2018-09-11,57.4,40.85
2018-09-12,57.7,39.85
2018-09-14,58.5,40.65
2018-09-17,58.15,40.8
2018-09-18,56.25,39.85
2018-09-19,57.0,39.55
2018-09-21,56.0,37.85
2018-09-24,52.7,36.7
2018-09-25,51.9,37.75
2018-09-26,52.5,37.35
2018-09-27,48.85,36.45
2018-09-28,50.2,35.5
2018-10-01,54.1,36.1
2018-10-03,55.65,36.9
2018-10-04,56.95,36.05
2018-10-05,57.4,35.35
2018-10-08,58.65,34.05
2018-10-09,58.8,33.85
2018-10-10,59.0,36.1
2018-10-11,58.8,35.4
2018-10-12,59.05,36.35
2018-10-15,59.35,37.7
2018-10-16,59.5,38.4
2018-10-17,59.2,37.85
2018-10-19,59.35,37.05
2018-10-22,59.25,36.75
2018-10-23,59.15,35.9
2018-10-24,59.15,37.3
2018-10-25,58.9,37.15
2018-10-26,59.45,37.05
2018-10-29,59.6,40.65
2018-10-30,59.7,41.75
2018-10-31,59.2,44.2
2018-11-01,59.35,43.3
2018-11-02,59.15,42.9
2018-11-05,59.75,43.7
2018-11-06,59.3,43.55
2018-11-07,59.55,43.8
