Date,IDBI,CANBK
2018-06-18,59.3,267.7
2018-06-19,58.75,262.15
2018-06-20,58.95,261.6
2018-06-21,57.75,255.1
2018-06-22,58.9,259.4
2018-06-25,58.0,249.95
2018-06-26,54.45,253.05
2018-06-27,50.7,247.5
2018-06-28,49.85,248.8
2018-06-29,54.9,251.55
2018-07-02,56.0,248.9
2018-07-03,52.45,244.75
2018-07-04,51.75,244.65
2018-07-05,48.1,243.8
2018-07-06,48.25,247.65
2018-07-09,48.8,249.6
2018-07-10,53.35,250.65
2018-07-11,57.0,245.25
2018-07-12,56.15,241.95
2018-07-13,57.3,231.75
2018-07-16,56.45,222.35
2018-07-17,58.15,234.75
2018-07-18,56.65,227.8
2018-07-19,56.85,232.65
2018-07-20,58.0,236.8
2018-07-23,57.6,246.95
2018-07-24,59.5,252.8
2018-07-25,58.9,258.95
2018-07-26,58.8,278.9
2018-07-27,60.1,279.25
2018-07-30,59.8,289.35
2018-07-31,58.85,284.5
2018-08-01,62.15,284.95
2018-08-02,62.25,279.75
2018-08-03,61.85,290.35
2018-08-06,63.2,294.45
2018-08-07,61.9,288.9
2018-08-08,62.25,288.45
2018-08-09,63.1,295.95
2018-08-10,61.85,282.35
2018-08-13,60.45,269.9
2018-08-14,60.35,270.65
2018-08-16,61.4,267.6
2018-08-17,62.3,277.35
2018-08-20,62.5,287.5
2018-08-21,63.4,284.35
2018-08-23,62.1,281.3
2018-08-24,61.45,276.35
2018-08-27,61.3,284.8
2018-08-28,60.85,274.6
2018-08-29,60.95,282.05
2018-08-30,60.95,286.15
2018-08-31,62.7,283.7
2018-09-03,61.15,284.85
2018-09-04,59.75,271.4
2018-09-05,59.3,267.9
2018-09-06,59.15,268.95
2018-09-07,59.85,270.45
2018-09-10,57.85,264.85
2018-09-11,57.4,262.75
2018-09-12,57.7,264.9
2018-09-14,58.5,269.3
2018-09-17,58.15,267.5
2018-09-18,56.25,246.8
2018-09-19,57.0,246.2
2018-09-21,56.0,239.35
2018-09-24,52.7,233.0
2018-09-25,51.9,233.5
2018-09-26,52.5,235.15
2018-09-27,48.85,227.65
2018-09-28,50.2,220.85
2018-10-01,54.1,232.8
2018-10-03,55.65,231.8
2018-10-04,56.95,229.1
2018-10-05,57.4,219.35
2018-10-08,58.65,216.7
2018-10-09,58.8,216.2
2018-10-10,59.0,232.75
2018-10-11,58.8,225.15
2018-10-12,59.05,230.8
2018-10-15,59.35,229.85
2018-10-16,59.5,236.6
2018-10-17,59.2,220.65
2018-10-19,59.35,221.0
2018-10-22,59.25,211.3
2018-10-23,59.15,208.1
2018-10-24,59.15,212.7
2018-10-25,58.9,211.65
2018-10-26,59.45,212.55
2018-10-29,59.6,238.2
2018-10-30,59.7,256.25
2018-10-31,59.2,261.95
2018-11-01,59.35,251.8
2018-11-02,59.15,243.5
2018-11-05,59.75,246.0
2018-11-06,59.3,242.05
2018-11-07,59.55,242.8
2018-11-09,61.2,246.4
2018-11-12,60.4,238.1
2018-11-13,59.95,243.25
2018-11-14,60.6,252.65
2018-11-15,60.75,255.65
2018-11-16,60.9,263.7
2018-11-19,60.75,261.1
2018-11-20,60.25,256.85
2018-11-21,60.3,263.1
2018-11-22,59.95,260.9
2018-11-26,60.15,263.65
2018-11-27,60.2,267.55
2018-11-28,59.9,262.05
2018-11-29,60.0,261.05
2018-11-30,59.5,255.8
2018-12-03,59.4,257.95
2018-12-04,59.8,253.85
2018-12-05,60.7,252.5
2018-12-06,60.25,245.9
2018-12-07,60.25,247.2
2018-12-10,60.15,241.1
2018-12-11,60.85,248.3
2018-12-12,61.2,258.1
2018-12-13,61.55,259.55
2018-12-14,61.05,266.45
2018-12-17,61.15,265.55
2018-12-18,61.8,269.15
2018-12-19,62.0,274.25
2018-12-20,61.5,268.45
2018-12-21,61.85,265.5
2018-12-24,61.3,266.35
2018-12-26,61.2,270.9
2018-12-27,61.15,272.25
2018-12-28,61.45,277.45
2018-12-31,61.25,275.05
2019-01-01,61.45,281.5
2019-01-02,61.35,275.4
2019-01-03,61.35,276.3
2019-01-04,61.45,282.95
2019-01-07,61.3,278.25
2019-01-08,61.9,287.9
2019-01-09,64.65,280.5
2019-01-10,62.7,281.05
2019-01-11,63.35,278.25
