Date,IDBI,UNIONBANK
2018-06-18,59.3,90.55
2018-06-19,58.75,90.1
2018-06-20,58.95,89.0
2018-06-21,57.75,86.0
2018-06-22,58.9,85.75
2018-06-25,58.0,82.4
2018-06-26,54.45,83.45
2018-06-27,50.7,81.35
2018-06-28,49.85,79.8
2018-06-29,54.9,81.95
2018-07-02,56.0,81.2
2018-07-03,52.45,80.75
2018-07-04,51.75,79.75
2018-07-05,48.1,79.45
2018-07-06,48.25,81.3
2018-07-09,48.8,81.3
2018-07-10,53.35,81.65
2018-07-11,57.0,78.65
2018-07-12,56.15,78.45
2018-07-13,57.3,76.6
2018-07-16,56.45,74.4
2018-07-17,58.15,80.7
2018-07-18,56.65,76.2
2018-07-19,56.85,76.5
2018-07-20,58.0,76.75
2018-07-23,57.6,78.95
2018-07-24,59.5,81.25
2018-07-25,58.9,81.85
2018-07-26,58.8,85.05
2018-07-27,60.1,85.05
2018-07-30,59.8,88.15
2018-07-31,58.85,86.45
2018-08-01,62.15,88.05
2018-08-02,62.25,86.85
2018-08-03,61.85,88.35
2018-08-06,63.2,90.6
2018-08-07,61.9,86.5
2018-08-08,62.25,85.05
2018-08-09,63.1,89.15
2018-08-10,61.85,85.55
2018-08-13,60.45,84.55
2018-08-14,60.35,85.35
2018-08-16,61.4,84.4
2018-08-17,62.3,86.6
2018-08-20,62.5,88.6
2018-08-21,63.4,88.35
2018-08-23,62.1,88.75
2018-08-24,61.45,86.65
2018-08-27,61.3,89.8
2018-08-28,60.85,85.6
2018-08-29,60.95,87.95
2018-08-30,60.95,90.5
2018-08-31,62.7,89.75
2018-09-03,61.15,90.25
2018-09-04,59.75,84.75
2018-09-05,59.3,83.25
2018-09-06,59.15,82.95
2018-09-07,59.85,83.55
2018-09-10,57.85,81.5
2018-09-11,57.4,80.75
2018-09-12,57.7,81.2
2018-09-14,58.5,83.85
2018-09-17,58.15,82.3
2018-09-18,56.25,74.85
2018-09-19,57.0,78.45
2018-09-21,56.0,73.8
2018-09-24,52.7,72.3
2018-09-25,51.9,70.15
2018-09-26,52.5,70.6
2018-09-27,48.85,67.6
2018-09-28,50.2,65.75
2018-10-01,54.1,69.2
2018-10-03,55.65,68.55
2018-10-04,56.95,68.05
2018-10-05,57.4,66.0
2018-10-08,58.65,66.4
2018-10-09,58.8,65.75
2018-10-10,59.0,71.7
2018-10-11,58.8,68.55
2018-10-12,59.05,69.1
2018-10-15,59.35,68.95
2018-10-16,59.5,71.05
2018-10-17,59.2,66.85
2018-10-19,59.35,64.5
2018-10-22,59.25,62.7
2018-10-23,59.15,62.65
2018-10-24,59.15,63.4
2018-10-25,58.9,63.65
2018-10-26,59.45,62.15
2018-10-29,59.6,69.7
2018-10-30,59.7,75.8
2018-10-31,59.2,76.65
2018-11-01,59.35,77.35
2018-11-02,59.15,75.75
2018-11-05,59.75,79.45
2018-11-06,59.3,78.95
