Date,INDUSINDBK,ICICIBANK
2018-06-18,1967.95,293.0
2018-06-19,1931.5,292.8
2018-06-20,1967.4,293.2
2018-06-21,1960.5,297.95
2018-06-22,1953.25,300.65
2018-06-25,1969.95,289.7
2018-06-26,1983.3,288.1
2018-06-27,1969.25,279.05
2018-06-28,1967.6,271.4
2018-06-29,1932.2,275.4
2018-07-02,1948.8,277.4
2018-07-03,1951.0,272.9
2018-07-04,1976.3,273.25
2018-07-05,1964.45,271.55
2018-07-06,1959.4,270.05
2018-07-09,1958.3,271.2
2018-07-10,1935.1,273.4
2018-07-11,1914.8,268.75
2018-07-12,1938.15,272.3
2018-07-13,1923.75,267.75
2018-07-16,1922.75,259.25
2018-07-17,1905.0,266.45
2018-07-18,1892.55,262.7
2018-07-19,1888.25,261.2
2018-07-20,1902.55,265.8
2018-07-23,1940.15,275.55
2018-07-24,1947.4,274.35
2018-07-25,1965.05,274.65
2018-07-26,1960.35,285.65
2018-07-27,1981.55,293.2
2018-07-30,1970.2,307.35
2018-07-31,1995.15,304.25
2018-08-01,2001.35,299.3
2018-08-02,2023.05,298.55
2018-08-03,2015.85,305.0
2018-08-06,1999.8,315.1
2018-08-07,1994.3,313.15
2018-08-08,2000.65,318.7
2018-08-09,1985.05,333.0
2018-08-10,1979.5,328.6
2018-08-13,1993.9,324.9
2018-08-14,1997.6,332.45
2018-08-16,1984.2,334.3
2018-08-17,1990.4,340.0
2018-08-20,1990.95,338.45
2018-08-21,1975.95,338.85
2018-08-23,1957.2,337.2
2018-08-24,1928.15,330.15
2018-08-27,1951.35,339.9
2018-08-28,1933.65,338.9
2018-08-29,1905.55,340.65
2018-08-30,1875.65,344.35
2018-08-31,1906.6,342.6
2018-09-03,1897.0,334.15
2018-09-04,1855.6,328.5
2018-09-05,1854.85,329.65
2018-09-06,1880.0,328.65
2018-09-07,1875.85,335.1
2018-09-10,1829.15,332.9
2018-09-11,1826.5,326.55
2018-09-12,1828.35,322.9
2018-09-14,1872.8,328.35
2018-09-17,1877.05,325.7
2018-09-18,1862.15,318.85
2018-09-19,1804.65,320.95
2018-09-21,1762.45,317.1
2018-09-24,1674.2,308.75
2018-09-25,1696.75,311.1
2018-09-26,1701.8,313.1
2018-09-27,1682.0,306.65
2018-09-28,1690.05,305.55
2018-10-01,1642.65,314.0
2018-10-03,1638.7,303.7
2018-10-04,1589.5,316.5
2018-10-05,1607.35,307.3
2018-10-08,1600.0,310.85
2018-10-09,1607.9,306.25
2018-10-10,1637.95,319.85
2018-10-11,1592.55,311.7
2018-10-12,1652.7,319.4
2018-10-15,1626.95,313.35
2018-10-16,1620.55,320.65
2018-10-17,1603.9,314.8
2018-10-19,1576.7,315.45
2018-10-22,1449.45,327.1
2018-10-23,1473.15,322.85
2018-10-24,1521.35,322.0
2018-10-25,1491.1,319.95
2018-10-26,1445.8,315.65
2018-10-29,1412.8,349.4
2018-10-30,1364.3,345.7
2018-10-31,1425.1,355.0
2018-11-01,1463.95,353.7
2018-11-02,1541.8,354.45
2018-11-05,1486.45,349.65
2018-11-06,1475.45,353.1
2018-11-07,1483.9,355.9
2018-11-09,1494.9,356.85
2018-11-12,1493.0,352.35
2018-11-13,1485.55,360.9
2018-11-14,1513.55,366.6
2018-11-15,1512.15,370.0
2018-11-16,1501.1,367.55
2018-11-19,1537.95,362.4
2018-11-20,1557.85,357.9
2018-11-21,1546.7,356.75
2018-11-22,1528.85,352.05
2018-11-26,1562.75,356.35
2018-11-27,1588.55,354.65
2018-11-28,1613.35,359.0
2018-11-29,1660.55,362.2
2018-11-30,1631.8,355.15
2018-12-03,1656.3,355.5
2018-12-04,1635.75,357.95
2018-12-05,1603.6,351.4
2018-12-06,1569.45,347.65
2018-12-07,1566.8,352.2
2018-12-10,1554.45,346.35
2018-12-11,1552.8,342.8
2018-12-12,1582.2,349.95
2018-12-13,1610.1,349.55
2018-12-14,1603.85,351.9
2018-12-17,1633.35,358.45
2018-12-18,1639.55,362.25
2018-12-19,1612.65,366.5
2018-12-20,1612.85,362.15
2018-12-21,1575.65,354.2
2018-12-24,1562.35,352.75
2018-12-26,1556.45,355.85
2018-12-27,1564.0,355.65
2018-12-28,1583.25,360.75
2018-12-31,1599.3,360.15
2019-01-01,1595.6,363.75
2019-01-02,1576.6,364.6
2019-01-03,1560.1,363.25
2019-01-04,1548.2,365.2
2019-01-07,1559.15,367.7
2019-01-08,1577.75,380.15
2019-01-09,1601.75,382.25
2019-01-10,1565.9,379.5
2019-01-11,1515.15,378.55
2019-01-14,1484.05,373.35
2019-01-15,1495.2,372.75
2019-01-16,1526.7,375.3
2019-01-17,1523.0,374.6
2019-01-18,1516.9,372.0
2019-01-21,1507.6,371.7
2019-01-22,1501.6,369.05
2019-01-23,1495.0,367.4
2019-01-24,1490.3,364.8
2019-01-25,1484.9,357.2
2019-01-28,1443.7,343.55
2019-01-29,1461.85,346.85
2019-01-30,1476.1,365.9
2019-01-31,1505.55,364.45
2019-02-01,1515.15,354.65
2019-02-04,1504.65,354.55
2019-02-05,1541.75,352.65
2019-02-06,1526.05,359.3
2019-02-07,1514.95,358.65
2019-02-08,1499.05,355.1
2019-02-11,1511.0,350.05
2019-02-12,1497.2,344.3
2019-02-13,1498.45,339.75
2019-02-14,1517.5,343.95
2019-02-15,1509.5,342.15
2019-02-18,1517.0,338.75
2019-02-19,1480.5,343.25
2019-02-20,1480.8,345.2
2019-02-21,1471.55,351.3
2019-02-22,1462.8,352.05
2019-02-25,1491.2,355.6
2019-02-26,1478.1,348.2
2019-02-27,1476.7,345.55
2019-02-28,1473.85,350.15
2019-03-01,1514.1,354.25
2019-03-05,1541.6,363.25
2019-03-06,1534.85,371.95
2019-03-07,1531.25,370.8
2019-03-08,1518.0,370.6
2019-03-11,1514.6,375.85
2019-03-12,1569.05,388.2
2019-03-13,1636.35,391.9
2019-03-14,1682.7,387.9
2019-03-15,1703.25,395.3
2019-03-18,1719.1,398.05
2019-03-19,1725.2,398.4
2019-03-20,1713.4,392.9
