Date,INDUSINDBK,KOTAKBANK
2018-06-18,1967.95,1315.3
2018-06-19,1931.5,1303.25
2018-06-20,1967.4,1324.6
2018-06-21,1960.5,1313.95
2018-06-22,1953.25,1321.4
2018-06-25,1969.95,1328.0
2018-06-26,1983.3,1329.85
2018-06-27,1969.25,1324.2
2018-06-28,1967.6,1339.1
2018-06-29,1932.2,1342.95
2018-07-02,1948.8,1337.95
2018-07-03,1951.0,1353.15
2018-07-04,1976.3,1365.25
2018-07-05,1964.45,1365.0
2018-07-06,1959.4,1371.2
2018-07-09,1958.3,1385.1
2018-07-10,1935.1,1372.15
2018-07-11,1914.8,1386.95
2018-07-12,1938.15,1389.8
2018-07-13,1923.75,1404.35
2018-07-16,1922.75,1408.45
2018-07-17,1905.0,1400.6
2018-07-18,1892.55,1398.55
2018-07-19,1888.25,1347.4
2018-07-20,1902.55,1333.3
2018-07-23,1940.15,1337.05
2018-07-24,1947.4,1312.25
2018-07-25,1965.05,1314.9
2018-07-26,1960.35,1311.25
2018-07-27,1981.55,1311.1
2018-07-30,1970.2,1305.25
2018-07-31,1995.15,1306.85
2018-08-01,2001.35,1312.7
2018-08-02,2023.05,1280.2
2018-08-03,2015.85,1309.5
2018-08-06,1999.8,1282.8
2018-08-07,1994.3,1283.7
2018-08-08,2000.65,1288.3
2018-08-09,1985.05,1277.25
2018-08-10,1979.5,1285.5
2018-08-13,1993.9,1287.15
2018-08-14,1997.6,1293.0
2018-08-16,1984.2,1245.4
2018-08-17,1990.4,1263.25
2018-08-20,1990.95,1274.75
2018-08-21,1975.95,1263.4
2018-08-23,1957.2,1247.7
2018-08-24,1928.15,1254.5
2018-08-27,1951.35,1274.9
2018-08-28,1933.65,1285.1
2018-08-29,1905.55,1288.6
2018-08-30,1875.65,1278.05
2018-08-31,1906.6,1287.25
2018-09-03,1897.0,1269.1
2018-09-04,1855.6,1257.6
2018-09-05,1854.85,1238.15
2018-09-06,1880.0,1260.9
2018-09-07,1875.85,1244.95
2018-09-10,1829.15,1223.35
2018-09-11,1826.5,1206.4
2018-09-12,1828.35,1230.4
2018-09-14,1872.8,1239.55
2018-09-17,1877.05,1230.4
2018-09-18,1862.15,1215.3
2018-09-19,1804.65,1226.9
2018-09-21,1762.45,1180.2
2018-09-24,1674.2,1148.7
2018-09-25,1696.75,1183.35
2018-09-26,1701.8,1169.4
2018-09-27,1682.0,1142.45
2018-09-28,1690.05,1141.6
2018-10-01,1642.65,1122.0
2018-10-03,1638.7,1098.25
2018-10-04,1589.5,1074.5
2018-10-05,1607.35,1052.2
2018-10-08,1600.0,1104.3
2018-10-09,1607.9,1108.45
2018-10-10,1637.95,1137.75
2018-10-11,1592.55,1115.55
2018-10-12,1652.7,1167.15
2018-10-15,1626.95,1170.45
2018-10-16,1620.55,1175.75
2018-10-17,1603.9,1176.0
2018-10-19,1576.7,1198.95
2018-10-22,1449.45,1164.0
2018-10-23,1473.15,1174.45
2018-10-24,1521.35,1177.1
2018-10-25,1491.1,1185.8
2018-10-26,1445.8,1158.6
2018-10-29,1412.8,1138.1
2018-10-30,1364.3,1123.8
2018-10-31,1425.1,1119.15
2018-11-01,1463.95,1109.55
2018-11-02,1541.8,1133.2
2018-11-05,1486.45,1129.45
2018-11-06,1475.45,1125.3
2018-11-07,1483.9,1134.3
2018-11-09,1494.9,1135.55
2018-11-12,1493.0,1153.7
2018-11-13,1485.55,1165.9
2018-11-14,1513.55,1129.9
2018-11-15,1512.15,1162.25
2018-11-16,1501.1,1168.6
2018-11-19,1537.95,1175.25
2018-11-20,1557.85,1169.95
2018-11-21,1546.7,1176.7
2018-11-22,1528.85,1170.6
2018-11-26,1562.75,1170.55
2018-11-27,1588.55,1173.55
2018-11-28,1613.35,1160.25
2018-11-29,1660.55,1212.95
2018-11-30,1631.8,1233.95
2018-12-03,1656.3,1226.1
2018-12-04,1635.75,1225.3
2018-12-05,1603.6,1211.5
2018-12-06,1569.45,1180.25
2018-12-07,1566.8,1279.65
2018-12-10,1554.45,1198.35
2018-12-11,1552.8,1218.7
2018-12-12,1582.2,1237.15
2018-12-13,1610.1,1264.4
2018-12-14,1603.85,1255.95
2018-12-17,1633.35,1222.45
2018-12-18,1639.55,1237.1
2018-12-19,1612.65,1225.65
2018-12-20,1612.85,1236.3
2018-12-21,1575.65,1227.2
2018-12-24,1562.35,1238.5
2018-12-26,1556.45,1248.15
2018-12-27,1564.0,1240.25
2018-12-28,1583.25,1241.35
2018-12-31,1599.3,1256.5
2019-01-01,1595.6,1250.45
2019-01-02,1576.6,1240.6
2019-01-03,1560.1,1235.25
2019-01-04,1548.2,1247.95
2019-01-07,1559.15,1246.6
2019-01-08,1577.75,1228.9
2019-01-09,1601.75,1238.25
2019-01-10,1565.9,1219.55
2019-01-11,1515.15,1223.2
2019-01-14,1484.05,1211.75
2019-01-15,1495.2,1213.4
2019-01-16,1526.7,1202.75
2019-01-17,1523.0,1219.95
2019-01-18,1516.9,1240.2
2019-01-21,1507.6,1267.6
2019-01-22,1501.6,1291.75
2019-01-23,1495.0,1276.5
2019-01-24,1490.3,1267.75
2019-01-25,1484.9,1266.15
2019-01-28,1443.7,1260.45
2019-01-29,1461.85,1251.4
2019-01-30,1476.1,1222.2
2019-01-31,1505.55,1255.75
2019-02-01,1515.15,1255.7
2019-02-04,1504.65,1272.2
2019-02-05,1541.75,1279.15
2019-02-06,1526.05,1279.5
2019-02-07,1514.95,1284.55
2019-02-08,1499.05,1299.4
2019-02-11,1511.0,1301.55
2019-02-12,1497.2,1298.65
2019-02-13,1498.45,1298.3
2019-02-14,1517.5,1286.8
2019-02-15,1509.5,1283.65
2019-02-18,1517.0,1277.05
2019-02-19,1480.5,1280.45
2019-02-20,1480.8,1289.75
2019-02-21,1471.55,1289.15
2019-02-22,1462.8,1237.9
2019-02-25,1491.2,1240.95
2019-02-26,1478.1,1236.15
2019-02-27,1476.7,1216.15
2019-02-28,1473.85,1213.1
2019-03-01,1514.1,1225.95
2019-03-05,1541.6,1240.45
2019-03-06,1534.85,1241.3
2019-03-07,1531.25,1237.2
2019-03-08,1518.0,1238.9
2019-03-11,1514.6,1249.55
2019-03-12,1569.05,1263.35
2019-03-13,1636.35,1261.25
2019-03-14,1682.7,1268.95
2019-03-15,1703.25,1325.15
2019-03-18,1719.1,1343.65
2019-03-19,1725.2,1347.75
2019-03-20,1713.4,1351.6
2019-03-22,1698.6,1336.25
2019-03-25,1683.55,1308.65
2019-03-26,1714.65,1342.95
2019-03-27,1804.25,1332.85
2019-03-28,1821.1,1340.75
2019-03-29,1780.0,1334.5
2019-04-01,1743.05,1339.4
2019-04-02,1774.55,1339.45
2019-04-03,1773.6,1334.2
2019-04-04,1736.15,1322.9
2019-04-05,1767.95,1335.95
2019-04-08,1751.0,1343.25
2019-04-09,1767.1,1341.45
2019-04-10,1747.45,1349.9
2019-04-11,1740.65,1343.2
2019-04-12,1736.8,1343.45
2019-04-15,1748.9,1373.85
2019-04-16,1815.15,1386.4
2019-04-18,1764.3,1369.65
2019-04-29,1696.0,1378.0
