Date,INDUSINDBK,SOUTHBANK
2018-06-18,1967.95,23.85
2018-06-19,1931.5,23.35
2018-06-20,1967.4,23.5
2018-06-21,1960.5,23.4
2018-06-22,1953.25,23.45
2018-06-25,1969.95,23.25
2018-06-26,1983.3,22.95
2018-06-27,1969.25,22.35
2018-06-28,1967.6,21.4
2018-06-29,1932.2,22.3
2018-07-02,1948.8,21.7
2018-07-03,1951.0,21.6
2018-07-04,1976.3,21.45
2018-07-05,1964.45,21.35
2018-07-06,1959.4,21.7
2018-07-09,1958.3,22.35
2018-07-10,1935.1,22.65
2018-07-11,1914.8,22.25
2018-07-12,1938.15,22.2
2018-07-13,1923.75,21.6
2018-07-16,1922.75,21.05
2018-07-17,1905.0,22.65
2018-07-18,1892.55,21.65
2018-07-19,1888.25,21.7
2018-07-20,1902.55,22.5
2018-07-23,1940.15,18.5
2018-07-24,1947.4,18.45
2018-07-25,1965.05,18.05
2018-07-26,1960.35,17.8
2018-07-27,1981.55,18.1
2018-07-30,1970.2,18.35
2018-07-31,1995.15,18.25
2018-08-01,2001.35,17.85
2018-08-02,2023.05,18.2
2018-08-03,2015.85,18.15
2018-08-06,1999.8,18.25
2018-08-07,1994.3,18.05
2018-08-08,2000.65,18.05
2018-08-09,1985.05,18.35
2018-08-10,1979.5,18.0
2018-08-13,1993.9,17.85
2018-08-14,1997.6,17.9
2018-08-16,1984.2,18.05
2018-08-17,1990.4,18.35
2018-08-20,1990.95,17.85
2018-08-21,1975.95,17.7
2018-08-23,1957.2,17.55
2018-08-24,1928.15,17.55
2018-08-27,1951.35,17.55
2018-08-28,1933.65,17.55
2018-08-29,1905.55,17.75
2018-08-30,1875.65,17.55
2018-08-31,1906.6,17.55
2018-09-03,1897.0,17.55
2018-09-04,1855.6,16.75
2018-09-05,1854.85,16.85
2018-09-06,1880.0,16.85
2018-09-07,1875.85,16.9
2018-09-10,1829.15,16.5
2018-09-11,1826.5,16.05
2018-09-12,1828.35,16.1
2018-09-14,1872.8,16.4
2018-09-17,1877.05,16.25
2018-09-18,1862.15,15.95
2018-09-19,1804.65,15.85
2018-09-21,1762.45,15.05
2018-09-24,1674.2,14.6
2018-09-25,1696.75,14.35
2018-09-26,1701.8,14.55
2018-09-27,1682.0,13.55
2018-09-28,1690.05,13.15
2018-10-01,1642.65,13.75
2018-10-03,1638.7,14.15
2018-10-04,1589.5,14.25
2018-10-05,1607.35,13.9
2018-10-08,1600.0,13.35
2018-10-09,1607.9,13.45
2018-10-10,1637.95,13.25
2018-10-11,1592.55,12.65
2018-10-12,1652.7,12.7
2018-10-15,1626.95,12.6
2018-10-16,1620.55,14.6
2018-10-17,1603.9,14.85
2018-10-19,1576.7,14.7
2018-10-22,1449.45,14.2
2018-10-23,1473.15,13.95
2018-10-24,1521.35,13.95
2018-10-25,1491.1,13.3
2018-10-26,1445.8,13.3
2018-10-29,1412.8,14.0
2018-10-30,1364.3,14.3
2018-10-31,1425.1,14.65
2018-11-01,1463.95,14.75
2018-11-02,1541.8,14.7
2018-11-05,1486.45,14.7
2018-11-06,1475.45,14.55
2018-11-07,1483.9,15.15
2018-11-09,1494.9,15.5
2018-11-12,1493.0,15.1
2018-11-13,1485.55,15.1
2018-11-14,1513.55,14.85
2018-11-15,1512.15,14.65
2018-11-16,1501.1,14.55
2018-11-19,1537.95,14.55
2018-11-20,1557.85,14.3
