Date,INDUSINDBK,YESBANK
2018-06-18,1967.95,331.65
2018-06-19,1931.5,330.9
2018-06-20,1967.4,336.1
2018-06-21,1960.5,332.95
2018-06-22,1953.25,335.1
2018-06-25,1969.95,334.15
2018-06-26,1983.3,335.95
2018-06-27,1969.25,335.6
2018-06-28,1967.6,329.3
2018-06-29,1932.2,339.65
2018-07-02,1948.8,337.05
2018-07-03,1951.0,336.9
2018-07-04,1976.3,335.55
2018-07-05,1964.45,348.65
2018-07-06,1959.4,352.6
2018-07-09,1958.3,363.3
2018-07-10,1935.1,371.4
2018-07-11,1914.8,371.6
2018-07-12,1938.15,374.8
2018-07-13,1923.75,376.0
2018-07-16,1922.75,378.5
2018-07-17,1905.0,380.8
2018-07-18,1892.55,383.65
2018-07-19,1888.25,392.3
2018-07-20,1902.55,386.5
2018-07-23,1940.15,386.6
2018-07-24,1947.4,384.35
2018-07-25,1965.05,382.9
2018-07-26,1960.35,369.75
2018-07-27,1981.55,370.0
2018-07-30,1970.2,369.3
2018-07-31,1995.15,367.95
2018-08-01,2001.35,365.85
2018-08-02,2023.05,361.8
2018-08-03,2015.85,373.2
2018-08-06,1999.8,377.9
2018-08-07,1994.3,381.65
2018-08-08,2000.65,382.75
2018-08-09,1985.05,381.05
2018-08-10,1979.5,382.85
2018-08-13,1993.9,370.7
2018-08-14,1997.6,382.5
2018-08-16,1984.2,378.45
2018-08-17,1990.4,393.2
2018-08-20,1990.95,394.0
2018-08-21,1975.95,391.35
2018-08-23,1957.2,388.6
2018-08-24,1928.15,374.2
2018-08-27,1951.35,383.0
2018-08-28,1933.65,370.6
2018-08-29,1905.55,365.15
2018-08-30,1875.65,361.75
2018-08-31,1906.6,343.5
2018-09-03,1897.0,339.05
2018-09-04,1855.6,334.05
2018-09-05,1854.85,343.8
2018-09-06,1880.0,339.2
2018-09-07,1875.85,323.4
2018-09-10,1829.15,323.65
2018-09-11,1826.5,316.6
2018-09-12,1828.35,314.3
2018-09-14,1872.8,323.1
2018-09-17,1877.05,318.6
2018-09-18,1862.15,323.55
2018-09-19,1804.65,319.2
2018-09-21,1762.45,226.5
2018-09-24,1674.2,226.4
2018-09-25,1696.75,219.7
2018-09-26,1701.8,223.75
2018-09-27,1682.0,203.25
2018-09-28,1690.05,183.65
2018-10-01,1642.65,200.85
2018-10-03,1638.7,212.75
2018-10-04,1589.5,215.0
2018-10-05,1607.35,206.0
2018-10-08,1600.0,221.2
2018-10-09,1607.9,224.65
2018-10-10,1637.95,233.9
2018-10-11,1592.55,240.2
2018-10-12,1652.7,246.45
2018-10-15,1626.95,246.0
2018-10-16,1620.55,248.9
2018-10-17,1603.9,231.9
2018-10-19,1576.7,217.9
2018-10-22,1449.45,211.5
2018-10-23,1473.15,213.2
2018-10-24,1521.35,204.0
2018-10-25,1491.1,198.35
2018-10-26,1445.8,180.7
2018-10-29,1412.8,181.3
2018-10-30,1364.3,182.05
2018-10-31,1425.1,188.1
2018-11-01,1463.95,204.05
2018-11-02,1541.8,209.1
2018-11-05,1486.45,210.1
2018-11-06,1475.45,214.45
2018-11-07,1483.9,215.95
2018-11-09,1494.9,227.9
2018-11-12,1493.0,223.05
2018-11-13,1485.55,225.45
2018-11-14,1513.55,222.4
2018-11-15,1512.15,205.85
2018-11-16,1501.1,191.0
2018-11-19,1537.95,204.8
2018-11-20,1557.85,192.1
2018-11-21,1546.7,198.15
2018-11-22,1528.85,195.55
2018-11-26,1562.75,187.9
2018-11-27,1588.55,182.65
2018-11-28,1613.35,162.1
2018-11-29,1660.55,160.45
2018-11-30,1631.8,169.8
2018-12-03,1656.3,178.0
2018-12-04,1635.75,176.5
2018-12-05,1603.6,173.4
2018-12-06,1569.45,168.45
2018-12-07,1566.8,166.2
2018-12-10,1554.45,165.65
2018-12-11,1552.8,177.85
2018-12-12,1582.2,186.6
2018-12-13,1610.1,174.7
2018-12-14,1603.85,180.35
2018-12-17,1633.35,181.0
2018-12-18,1639.55,179.0
2018-12-19,1612.65,179.55
2018-12-20,1612.85,186.75
2018-12-21,1575.65,182.95
2018-12-24,1562.35,182.3
2018-12-26,1556.45,179.45
2018-12-27,1564.0,178.1
2018-12-28,1583.25,181.45
2018-12-31,1599.3,181.8
2019-01-01,1595.6,184.25
2019-01-02,1576.6,184.65
2019-01-03,1560.1,184.1
2019-01-04,1548.2,189.65
2019-01-07,1559.15,187.15
2019-01-08,1577.75,192.35
2019-01-09,1601.75,186.45
2019-01-10,1565.9,186.9
2019-01-11,1515.15,184.25
2019-01-14,1484.05,195.35
2019-01-15,1495.2,203.0
2019-01-16,1526.7,208.35
2019-01-17,1523.0,201.5
2019-01-18,1516.9,198.6
2019-01-21,1507.6,191.95
2019-01-22,1501.6,192.2
2019-01-23,1495.0,197.25
2019-01-24,1490.3,215.4
2019-01-25,1484.9,219.6
2019-01-28,1443.7,207.5
2019-01-29,1461.85,202.9
2019-01-30,1476.1,199.5
2019-01-31,1505.55,194.1
2019-02-01,1515.15,185.6
2019-02-04,1504.65,179.8
2019-02-05,1541.75,176.1
2019-02-06,1526.05,176.45
2019-02-07,1514.95,176.95
2019-02-08,1499.05,175.1
2019-02-11,1511.0,173.25
2019-02-12,1497.2,172.65
2019-02-13,1498.45,169.45
2019-02-14,1517.5,221.25
2019-02-15,1509.5,219.0
2019-02-18,1517.0,213.55
2019-02-19,1480.5,212.85
2019-02-20,1480.8,217.85
2019-02-21,1471.55,215.15
2019-02-22,1462.8,222.0
2019-02-25,1491.2,229.1
2019-02-26,1478.1,229.5
2019-02-27,1476.7,228.2
2019-02-28,1473.85,231.15
2019-03-01,1514.1,237.6
2019-03-05,1541.6,237.45
2019-03-06,1534.85,235.3
2019-03-07,1531.25,231.7
2019-03-08,1518.0,232.3
2019-03-11,1514.6,236.3
2019-03-12,1569.05,235.85
2019-03-13,1636.35,244.3
2019-03-14,1682.7,249.85
2019-03-15,1703.25,245.05
2019-03-18,1719.1,245.95
2019-03-19,1725.2,248.8
2019-03-20,1713.4,252.15
2019-03-22,1698.6,252.6
2019-03-25,1683.55,247.25
2019-03-26,1714.65,253.7
2019-03-27,1804.25,268.45
2019-03-28,1821.1,276.1
2019-03-29,1780.0,275.1
2019-04-01,1743.05,275.9
2019-04-02,1774.55,280.3
2019-04-03,1773.6,273.7
2019-04-04,1736.15,268.05
