Date,KOTAKBANK,ICICIBANK
2018-06-18,1315.3,293.0
2018-06-19,1303.25,292.8
2018-06-20,1324.6,293.2
2018-06-21,1313.95,297.95
2018-06-22,1321.4,300.65
2018-06-25,1328.0,289.7
2018-06-26,1329.85,288.1
2018-06-27,1324.2,279.05
2018-06-28,1339.1,271.4
2018-06-29,1342.95,275.4
2018-07-02,1337.95,277.4
2018-07-03,1353.15,272.9
2018-07-04,1365.25,273.25
2018-07-05,1365.0,271.55
2018-07-06,1371.2,270.05
2018-07-09,1385.1,271.2
2018-07-10,1372.15,273.4
2018-07-11,1386.95,268.75
2018-07-12,1389.8,272.3
2018-07-13,1404.35,267.75
2018-07-16,1408.45,259.25
2018-07-17,1400.6,266.45
2018-07-18,1398.55,262.7
2018-07-19,1347.4,261.2
2018-07-20,1333.3,265.8
2018-07-23,1337.05,275.55
2018-07-24,1312.25,274.35
2018-07-25,1314.9,274.65
2018-07-26,1311.25,285.65
2018-07-27,1311.1,293.2
2018-07-30,1305.25,307.35
2018-07-31,1306.85,304.25
2018-08-01,1312.7,299.3
2018-08-02,1280.2,298.55
2018-08-03,1309.5,305.0
2018-08-06,1282.8,315.1
2018-08-07,1283.7,313.15
2018-08-08,1288.3,318.7
2018-08-09,1277.25,333.0
2018-08-10,1285.5,328.6
2018-08-13,1287.15,324.9
2018-08-14,1293.0,332.45
2018-08-16,1245.4,334.3
2018-08-17,1263.25,340.0
2018-08-20,1274.75,338.45
2018-08-21,1263.4,338.85
2018-08-23,1247.7,337.2
2018-08-24,1254.5,330.15
2018-08-27,1274.9,339.9
2018-08-28,1285.1,338.9
2018-08-29,1288.6,340.65
2018-08-30,1278.05,344.35
2018-08-31,1287.25,342.6
2018-09-03,1269.1,334.15
2018-09-04,1257.6,328.5
2018-09-05,1238.15,329.65
2018-09-06,1260.9,328.65
2018-09-07,1244.95,335.1
2018-09-10,1223.35,332.9
2018-09-11,1206.4,326.55
2018-09-12,1230.4,322.9
2018-09-14,1239.55,328.35
2018-09-17,1230.4,325.7
2018-09-18,1215.3,318.85
2018-09-19,1226.9,320.95
2018-09-21,1180.2,317.1
2018-09-24,1148.7,308.75
2018-09-25,1183.35,311.1
2018-09-26,1169.4,313.1
2018-09-27,1142.45,306.65
2018-09-28,1141.6,305.55
2018-10-01,1122.0,314.0
2018-10-03,1098.25,303.7
2018-10-04,1074.5,316.5
2018-10-05,1052.2,307.3
2018-10-08,1104.3,310.85
2018-10-09,1108.45,306.25
2018-10-10,1137.75,319.85
2018-10-11,1115.55,311.7
2018-10-12,1167.15,319.4
2018-10-15,1170.45,313.35
2018-10-16,1175.75,320.65
2018-10-17,1176.0,314.8
2018-10-19,1198.95,315.45
2018-10-22,1164.0,327.1
2018-10-23,1174.45,322.85
2018-10-24,1177.1,322.0
2018-10-25,1185.8,319.95
2018-10-26,1158.6,315.65
2018-10-29,1138.1,349.4
2018-10-30,1123.8,345.7
2018-10-31,1119.15,355.0
2018-11-01,1109.55,353.7
2018-11-02,1133.2,354.45
2018-11-05,1129.45,349.65
2018-11-06,1125.3,353.1
2018-11-07,1134.3,355.9
2018-11-09,1135.55,356.85
2018-11-12,1153.7,352.35
2018-11-13,1165.9,360.9
2018-11-14,1129.9,366.6
2018-11-15,1162.25,370.0
2018-11-16,1168.6,367.55
2018-11-19,1175.25,362.4
2018-11-20,1169.95,357.9
2018-11-21,1176.7,356.75
2018-11-22,1170.6,352.05
2018-11-26,1170.55,356.35
2018-11-27,1173.55,354.65
2018-11-28,1160.25,359.0
2018-11-29,1212.95,362.2
2018-11-30,1233.95,355.15
2018-12-03,1226.1,355.5
2018-12-04,1225.3,357.95
2018-12-05,1211.5,351.4
