Date,KOTAKBANK,SOUTHBANK
2018-06-18,1315.3,23.85
2018-06-19,1303.25,23.35
2018-06-20,1324.6,23.5
2018-06-21,1313.95,23.4
2018-06-22,1321.4,23.45
2018-06-25,1328.0,23.25
2018-06-26,1329.85,22.95
2018-06-27,1324.2,22.35
2018-06-28,1339.1,21.4
2018-06-29,1342.95,22.3
2018-07-02,1337.95,21.7
2018-07-03,1353.15,21.6
2018-07-04,1365.25,21.45
2018-07-05,1365.0,21.35
2018-07-06,1371.2,21.7
2018-07-09,1385.1,22.35
2018-07-10,1372.15,22.65
2018-07-11,1386.95,22.25
2018-07-12,1389.8,22.2
2018-07-13,1404.35,21.6
2018-07-16,1408.45,21.05
2018-07-17,1400.6,22.65
2018-07-18,1398.55,21.65
2018-07-19,1347.4,21.7
2018-07-20,1333.3,22.5
2018-07-23,1337.05,18.5
2018-07-24,1312.25,18.45
2018-07-25,1314.9,18.05
2018-07-26,1311.25,17.8
2018-07-27,1311.1,18.1
2018-07-30,1305.25,18.35
2018-07-31,1306.85,18.25
2018-08-01,1312.7,17.85
2018-08-02,1280.2,18.2
2018-08-03,1309.5,18.15
2018-08-06,1282.8,18.25
2018-08-07,1283.7,18.05
2018-08-08,1288.3,18.05
2018-08-09,1277.25,18.35
2018-08-10,1285.5,18.0
2018-08-13,1287.15,17.85
2018-08-14,1293.0,17.9
2018-08-16,1245.4,18.05
2018-08-17,1263.25,18.35
2018-08-20,1274.75,17.85
2018-08-21,1263.4,17.7
2018-08-23,1247.7,17.55
2018-08-24,1254.5,17.55
2018-08-27,1274.9,17.55
2018-08-28,1285.1,17.55
2018-08-29,1288.6,17.75
2018-08-30,1278.05,17.55
2018-08-31,1287.25,17.55
2018-09-03,1269.1,17.55
2018-09-04,1257.6,16.75
2018-09-05,1238.15,16.85
2018-09-06,1260.9,16.85
2018-09-07,1244.95,16.9
2018-09-10,1223.35,16.5
2018-09-11,1206.4,16.05
2018-09-12,1230.4,16.1
2018-09-14,1239.55,16.4
2018-09-17,1230.4,16.25
2018-09-18,1215.3,15.95
2018-09-19,1226.9,15.85
2018-09-21,1180.2,15.05
2018-09-24,1148.7,14.6
2018-09-25,1183.35,14.35
2018-09-26,1169.4,14.55
2018-09-27,1142.45,13.55
2018-09-28,1141.6,13.15
2018-10-01,1122.0,13.75
2018-10-03,1098.25,14.15
2018-10-04,1074.5,14.25
2018-10-05,1052.2,13.9
2018-10-08,1104.3,13.35
2018-10-09,1108.45,13.45
2018-10-10,1137.75,13.25
2018-10-11,1115.55,12.65
2018-10-12,1167.15,12.7
2018-10-15,1170.45,12.6
2018-10-16,1175.75,14.6
2018-10-17,1176.0,14.85
2018-10-19,1198.95,14.7
2018-10-22,1164.0,14.2
2018-10-23,1174.45,13.95
2018-10-24,1177.1,13.95
2018-10-25,1185.8,13.3
2018-10-26,1158.6,13.3
2018-10-29,1138.1,14.0
2018-10-30,1123.8,14.3
2018-10-31,1119.15,14.65
2018-11-01,1109.55,14.75
2018-11-02,1133.2,14.7
2018-11-05,1129.45,14.7
2018-11-06,1125.3,14.55
2018-11-07,1134.3,15.15
2018-11-09,1135.55,15.5
2018-11-12,1153.7,15.1
2018-11-13,1165.9,15.1
2018-11-14,1129.9,14.85
2018-11-15,1162.25,14.65
2018-11-16,1168.6,14.55
2018-11-19,1175.25,14.55
2018-11-20,1169.95,14.3
2018-11-21,1176.7,14.6
2018-11-22,1170.6,14.5
2018-11-26,1170.55,14.9
2018-11-27,1173.55,15.5
2018-11-28,1160.25,15.4
2018-11-29,1212.95,15.9
2018-11-30,1233.95,16.1
2018-12-03,1226.1,16.8
2018-12-04,1225.3,16.65
2018-12-05,1211.5,16.15
2018-12-06,1180.25,15.1
2018-12-07,1279.65,15.35
2018-12-10,1198.35,15.05
2018-12-11,1218.7,15.55
2018-12-12,1237.15,16.1
2018-12-13,1264.4,16.1
2018-12-14,1255.95,15.45
2018-12-17,1222.45,15.5
2018-12-18,1237.1,15.35
2018-12-19,1225.65,15.6
2018-12-20,1236.3,15.7
2018-12-21,1227.2,15.45
2018-12-24,1238.5,15.3
2018-12-26,1248.15,15.1
2018-12-27,1240.25,15.15
2018-12-28,1241.35,15.35
2018-12-31,1256.5,15.55
2019-01-01,1250.45,15.65
2019-01-02,1240.6,15.45
2019-01-03,1235.25,15.3
2019-01-04,1247.95,15.3
2019-01-07,1246.6,15.25
2019-01-08,1228.9,15.25
2019-01-09,1238.25,15.4
2019-01-10,1219.55,15.85
2019-01-11,1223.2,15.7
2019-01-14,1211.75,15.6
2019-01-15,1213.4,15.6
2019-01-16,1202.75,15.9
2019-01-17,1219.95,15.7
2019-01-18,1240.2,15.55
2019-01-21,1267.6,14.2
2019-01-22,1291.75,14.1
2019-01-23,1276.5,13.95
2019-01-24,1267.75,13.8
2019-01-25,1266.15,13.45
2019-01-28,1260.45,13.15
2019-01-29,1251.4,13.3
2019-01-30,1222.2,13.15
2019-01-31,1255.75,13.15
2019-02-01,1255.7,13.1
2019-02-04,1272.2,13.2
2019-02-05,1279.15,12.85
2019-02-06,1279.5,12.95
2019-02-07,1284.55,13.7
2019-02-08,1299.4,13.45
2019-02-11,1301.55,13.5
2019-02-12,1298.65,13.15
2019-02-13,1298.3,12.95
2019-02-14,1286.8,13.2
2019-02-15,1283.65,12.95
2019-02-18,1277.05,12.9
2019-02-19,1280.45,12.85
2019-02-20,1289.75,13.1
2019-02-21,1289.15,13.25
2019-02-22,1237.9,13.6
2019-02-25,1240.95,13.5
2019-02-26,1236.15,13.3
2019-02-27,1216.15,13.25
2019-02-28,1213.1,13.2
2019-03-01,1225.95,13.65
2019-03-05,1240.45,14.35
2019-03-06,1241.3,15.1
2019-03-07,1237.2,15.15
2019-03-08,1238.9,14.8
2019-03-11,1249.55,15.5
2019-03-12,1263.35,15.3
2019-03-13,1261.25,15.25
2019-03-14,1268.95,15.15
2019-03-15,1325.15,15.55
2019-03-18,1343.65,15.8
2019-03-19,1347.75,16.05
2019-03-20,1351.6,16.05
2019-03-22,1336.25,15.95
2019-03-25,1308.65,15.7
2019-03-26,1342.95,15.8
2019-03-27,1332.85,15.85
2019-03-28,1340.75,16.5
2019-03-29,1334.5,16.5
2019-04-01,1339.4,17.05
2019-04-02,1339.45,17.05
2019-04-03,1334.2,16.75
2019-04-04,1322.9,16.55
2019-04-05,1335.95,17.5
2019-04-08,1343.25,17.4
2019-04-09,1341.45,17.2
2019-04-10,1349.9,17.3
2019-04-11,1343.2,17.45
2019-04-12,1343.45,17.3
2019-04-15,1373.85,17.55
2019-04-16,1386.4,17.6
2019-04-18,1369.65,17.2
2019-04-29,1378.0,16.4
