Date,KOTAKBANK,YESBANK
2018-06-18,1315.3,331.65
2018-06-19,1303.25,330.9
2018-06-20,1324.6,336.1
2018-06-21,1313.95,332.95
2018-06-22,1321.4,335.1
2018-06-25,1328.0,334.15
2018-06-26,1329.85,335.95
2018-06-27,1324.2,335.6
2018-06-28,1339.1,329.3
2018-06-29,1342.95,339.65
2018-07-02,1337.95,337.05
2018-07-03,1353.15,336.9
2018-07-04,1365.25,335.55
2018-07-05,1365.0,348.65
2018-07-06,1371.2,352.6
2018-07-09,1385.1,363.3
2018-07-10,1372.15,371.4
2018-07-11,1386.95,371.6
2018-07-12,1389.8,374.8
2018-07-13,1404.35,376.0
2018-07-16,1408.45,378.5
2018-07-17,1400.6,380.8
2018-07-18,1398.55,383.65
2018-07-19,1347.4,392.3
2018-07-20,1333.3,386.5
2018-07-23,1337.05,386.6
2018-07-24,1312.25,384.35
2018-07-25,1314.9,382.9
2018-07-26,1311.25,369.75
2018-07-27,1311.1,370.0
2018-07-30,1305.25,369.3
2018-07-31,1306.85,367.95
2018-08-01,1312.7,365.85
2018-08-02,1280.2,361.8
2018-08-03,1309.5,373.2
2018-08-06,1282.8,377.9
2018-08-07,1283.7,381.65
2018-08-08,1288.3,382.75
2018-08-09,1277.25,381.05
2018-08-10,1285.5,382.85
2018-08-13,1287.15,370.7
2018-08-14,1293.0,382.5
2018-08-16,1245.4,378.45
2018-08-17,1263.25,393.2
2018-08-20,1274.75,394.0
2018-08-21,1263.4,391.35
2018-08-23,1247.7,388.6
2018-08-24,1254.5,374.2
2018-08-27,1274.9,383.0
2018-08-28,1285.1,370.6
2018-08-29,1288.6,365.15
2018-08-30,1278.05,361.75
2018-08-31,1287.25,343.5
2018-09-03,1269.1,339.05
2018-09-04,1257.6,334.05
2018-09-05,1238.15,343.8
2018-09-06,1260.9,339.2
2018-09-07,1244.95,323.4
2018-09-10,1223.35,323.65
2018-09-11,1206.4,316.6
2018-09-12,1230.4,314.3
2018-09-14,1239.55,323.1
2018-09-17,1230.4,318.6
2018-09-18,1215.3,323.55
2018-09-19,1226.9,319.2
2018-09-21,1180.2,226.5
2018-09-24,1148.7,226.4
2018-09-25,1183.35,219.7
2018-09-26,1169.4,223.75
2018-09-27,1142.45,203.25
2018-09-28,1141.6,183.65
2018-10-01,1122.0,200.85
2018-10-03,1098.25,212.75
2018-10-04,1074.5,215.0
2018-10-05,1052.2,206.0
2018-10-08,1104.3,221.2
2018-10-09,1108.45,224.65
2018-10-10,1137.75,233.9
2018-10-11,1115.55,240.2
2018-10-12,1167.15,246.45
2018-10-15,1170.45,246.0
2018-10-16,1175.75,248.9
2018-10-17,1176.0,231.9
2018-10-19,1198.95,217.9
2018-10-22,1164.0,211.5
2018-10-23,1174.45,213.2
2018-10-24,1177.1,204.0
2018-10-25,1185.8,198.35
2018-10-26,1158.6,180.7
2018-10-29,1138.1,181.3
2018-10-30,1123.8,182.05
2018-10-31,1119.15,188.1
2018-11-01,1109.55,204.05
2018-11-02,1133.2,209.1
2018-11-05,1129.45,210.1
2018-11-06,1125.3,214.45
2018-11-07,1134.3,215.95
2018-11-09,1135.55,227.9
2018-11-12,1153.7,223.05
2018-11-13,1165.9,225.45
2018-11-14,1129.9,222.4
2018-11-15,1162.25,205.85
2018-11-16,1168.6,191.0
2018-11-19,1175.25,204.8
2018-11-20,1169.95,192.1
2018-11-21,1176.7,198.15
2018-11-22,1170.6,195.55
2018-11-26,1170.55,187.9
2018-11-27,1173.55,182.65
2018-11-28,1160.25,162.1
2018-11-29,1212.95,160.45
2018-11-30,1233.95,169.8
2018-12-03,1226.1,178.0
2018-12-04,1225.3,176.5
2018-12-05,1211.5,173.4
2018-12-06,1180.25,168.45
2018-12-07,1279.65,166.2
2018-12-10,1198.35,165.65
2018-12-11,1218.7,177.85
2018-12-12,1237.15,186.6
2018-12-13,1264.4,174.7
2018-12-14,1255.95,180.35
2018-12-17,1222.45,181.0
2018-12-18,1237.1,179.0
2018-12-19,1225.65,179.55
2018-12-20,1236.3,186.75
2018-12-21,1227.2,182.95
2018-12-24,1238.5,182.3
2018-12-26,1248.15,179.45
2018-12-27,1240.25,178.1
2018-12-28,1241.35,181.45
2018-12-31,1256.5,181.8
2019-01-01,1250.45,184.25
2019-01-02,1240.6,184.65
2019-01-03,1235.25,184.1
2019-01-04,1247.95,189.65
2019-01-07,1246.6,187.15
2019-01-08,1228.9,192.35
2019-01-09,1238.25,186.45
2019-01-10,1219.55,186.9
2019-01-11,1223.2,184.25
2019-01-14,1211.75,195.35
2019-01-15,1213.4,203.0
2019-01-16,1202.75,208.35
2019-01-17,1219.95,201.5
2019-01-18,1240.2,198.6
2019-01-21,1267.6,191.95
2019-01-22,1291.75,192.2
2019-01-23,1276.5,197.25
2019-01-24,1267.75,215.4
2019-01-25,1266.15,219.6
