Date,M&M,ASHOKLEY
2018-06-18,913.9,138.9
2018-06-19,891.4,136.5
2018-06-20,904.4,137.0
2018-06-21,883.6,135.1
2018-06-22,908.2,136.4
2018-06-25,905.6,132.0
2018-06-26,898.0,132.6
2018-06-27,892.65,129.35
2018-06-28,907.75,124.1
2018-06-29,897.7,125.8
2018-07-02,886.65,127.3
2018-07-03,894.2,129.5
2018-07-04,900.1,127.85
2018-07-05,912.35,125.0
2018-07-06,924.95,132.3
2018-07-09,932.75,130.9
2018-07-10,930.55,133.95
2018-07-11,931.0,133.15
2018-07-12,915.8,133.95
2018-07-13,906.7,132.5
2018-07-16,900.35,125.7
2018-07-17,922.45,128.55
2018-07-18,902.45,110.55
2018-07-19,913.0,105.7
2018-07-20,909.75,107.45
2018-07-23,910.4,109.1
2018-07-24,920.4,112.75
2018-07-25,910.1,110.15
2018-07-26,913.6,112.05
2018-07-27,909.85,112.85
2018-07-30,933.25,113.0
2018-07-31,935.95,112.8
2018-08-01,929.75,118.9
2018-08-02,911.3,120.25
2018-08-03,920.65,118.2
2018-08-06,932.4,118.25
2018-08-07,927.0,119.55
2018-08-08,928.3,125.7
2018-08-09,933.2,129.25
2018-08-10,945.95,127.55
2018-08-13,954.5,125.5
2018-08-14,950.45,126.0
2018-08-16,951.25,126.2
2018-08-17,961.5,128.35
2018-08-20,969.55,128.3
2018-08-21,957.8,128.7
2018-08-23,963.1,132.3
2018-08-24,968.3,129.2
2018-08-27,976.45,132.85
2018-08-28,980.5,132.35
2018-08-29,983.85,131.9
2018-08-30,982.95,130.85
2018-08-31,965.3,129.05
2018-09-03,947.8,133.45
2018-09-04,931.75,127.85
2018-09-05,929.4,127.45
2018-09-06,934.95,129.7
2018-09-07,973.7,132.0
2018-09-10,937.35,129.65
2018-09-11,943.15,127.75
2018-09-12,938.15,127.85
2018-09-14,951.9,131.25
2018-09-17,950.85,127.45
2018-09-18,946.55,126.4
2018-09-19,948.9,125.8
2018-09-21,959.9,122.3
2018-09-24,896.05,120.35
2018-09-25,893.0,121.9
2018-09-26,893.35,120.65
2018-09-27,877.45,120.4
2018-09-28,860.95,119.1
2018-10-01,847.6,120.15
2018-10-03,791.6,119.15
2018-10-04,794.7,118.05
2018-10-05,769.55,107.75
2018-10-08,774.85,109.15
2018-10-09,764.8,110.85
2018-10-10,764.1,114.55
2018-10-11,730.15,111.8
2018-10-12,768.5,115.8
2018-10-15,749.0,117.05
2018-10-16,777.7,120.55
2018-10-17,759.4,114.3
2018-10-19,741.2,112.5
2018-10-22,733.75,112.8
2018-10-23,729.95,111.45
2018-10-24,736.25,116.8
2018-10-25,733.75,112.85
