Date,MARUTI,ASHOKLEY
2018-06-18,8973.45,138.9
2018-06-19,8862.6,136.5
2018-06-20,8948.3,137.0
2018-06-21,8863.05,135.1
2018-06-22,8874.9,136.4
2018-06-25,8793.0,132.0
2018-06-26,8931.35,132.6
2018-06-27,8898.3,129.35
2018-06-28,8771.3,124.1
2018-06-29,8825.6,125.8
2018-07-02,8821.05,127.3
2018-07-03,8975.15,129.5
2018-07-04,9220.8,127.85
2018-07-05,9347.05,125.0
2018-07-06,9317.5,132.3
2018-07-09,9374.9,130.9
2018-07-10,9531.0,133.95
2018-07-11,9384.7,133.15
2018-07-12,9347.0,133.95
2018-07-13,9431.05,132.5
2018-07-16,9385.3,125.7
2018-07-17,9445.4,128.55
2018-07-18,9366.8,110.55
2018-07-19,9389.1,105.7
2018-07-20,9398.95,107.45
2018-07-23,9701.0,109.1
2018-07-24,9832.45,112.75
2018-07-25,9758.95,110.15
2018-07-26,9396.25,112.05
2018-07-27,9310.4,112.85
2018-07-30,9381.9,113.0
2018-07-31,9520.55,112.8
2018-08-01,9341.6,118.9
2018-08-02,9142.4,120.25
2018-08-03,9187.0,118.2
2018-08-06,9286.4,118.25
2018-08-07,9411.5,119.55
2018-08-08,9207.4,125.7
2018-08-09,9146.05,129.25
2018-08-10,9148.25,127.55
2018-08-13,9080.85,125.5
2018-08-14,9132.6,126.0
2018-08-16,9200.55,126.2
2018-08-17,9152.1,128.35
2018-08-20,9074.35,128.3
2018-08-21,9113.3,128.7
2018-08-23,9223.3,132.3
2018-08-24,9163.8,129.2
2018-08-27,9245.25,132.85
2018-08-28,9427.95,132.35
2018-08-29,9368.1,131.9
2018-08-30,9205.8,130.85
2018-08-31,9096.4,129.05
2018-09-03,8902.15,133.45
2018-09-04,8868.5,127.85
2018-09-05,8896.1,127.45
2018-09-06,8759.85,129.7
2018-09-07,8719.2,132.0
2018-09-10,8639.4,129.65
2018-09-11,8517.05,127.75
2018-09-12,8493.95,127.85
2018-09-14,8626.7,131.25
2018-09-17,8537.8,127.45
2018-09-18,8399.15,126.4
2018-09-19,8210.35,125.8
2018-09-21,8040.15,122.3
2018-09-24,7793.05,120.35
2018-09-25,7999.45,121.9
2018-09-26,7842.55,120.65
2018-09-27,7553.05,120.4
2018-09-28,7347.95,119.1
2018-10-01,7463.95,120.15
2018-10-03,7246.0,119.15
2018-10-04,7198.75,118.05
2018-10-05,6904.35,107.75
2018-10-08,6889.75,109.15
2018-10-09,6699.45,110.85
2018-10-10,6985.85,114.55
2018-10-11,6875.5,111.8
2018-10-12,7287.2,115.8
2018-10-15,7182.0,117.05
2018-10-16,7150.9,120.55
2018-10-17,6885.6,114.3
2018-10-19,6756.45,112.5
2018-10-22,6812.2,112.8
2018-10-23,6771.3,111.45
2018-10-24,6768.3,116.8
2018-10-25,6723.2,112.85
2018-10-26,6717.3,113.15
2018-10-29,6798.7,115.25
2018-10-30,6697.0,115.0
2018-10-31,6616.4,114.7
2018-11-01,6711.75,113.35
2018-11-02,7135.45,117.7
2018-11-05,7177.25,120.7
2018-11-06,7075.0,120.9
2018-11-07,7127.9,121.85
2018-11-09,7283.5,118.25
2018-11-12,7087.8,118.3
2018-11-13,7150.45,119.0
2018-11-14,7369.05,106.5
2018-11-15,7478.3,106.1
2018-11-16,7341.2,105.55
2018-11-19,7411.65,108.8
2018-11-20,7333.95,107.65
2018-11-21,7424.5,110.3
2018-11-22,7411.1,109.3
2018-11-26,7554.7,108.9
2018-11-27,7647.6,110.3
2018-11-28,7574.2,108.35
2018-11-29,7546.75,110.15
2018-11-30,7661.6,112.35
2018-12-03,7779.95,107.15
2018-12-04,7721.65,107.3
2018-12-05,7554.05,103.6
2018-12-06,7209.7,102.1
2018-12-07,7313.95,102.9
2018-12-10,7350.5,100.45
2018-12-11,7305.35,103.2
2018-12-12,7471.85,105.15
2018-12-13,7670.5,104.4
2018-12-14,7662.15,104.05
2018-12-17,7734.05,106.0
2018-12-18,7772.35,104.8
2018-12-19,7936.0,107.7
2018-12-20,7807.05,106.15
2018-12-21,7536.3,105.35
2018-12-24,7529.15,104.6
2018-12-26,7569.1,103.9
2018-12-27,7499.95,103.0
2018-12-28,7505.55,102.75
2018-12-31,7465.5,102.5
2019-01-01,7476.8,102.5
2019-01-02,7267.85,99.95
2019-01-03,7203.95,98.15
2019-01-04,7234.5,96.8
2019-01-07,7362.05,93.45
2019-01-08,7439.5,93.05
2019-01-09,7492.9,94.45
2019-01-10,7391.6,95.0
2019-01-11,7320.5,94.3
2019-01-14,7408.7,93.5
2019-01-15,7355.15,93.6
2019-01-16,7310.25,93.95
2019-01-17,7336.25,93.25
2019-01-18,7357.95,92.3
2019-01-21,7208.4,90.6
2019-01-22,7068.85,87.95
2019-01-23,7045.4,89.15
2019-01-24,7040.6,84.8
2019-01-25,6513.4,82.6
2019-01-28,6511.05,83.0
2019-01-29,6526.95,82.3
2019-01-30,6548.25,80.95
2019-01-31,6641.15,81.3
2019-02-01,6962.3,83.55
2019-02-04,6988.2,82.3
2019-02-05,7093.6,82.15
2019-02-06,7183.4,82.55
2019-02-07,7302.55,87.75
2019-02-08,7134.25,87.05
2019-02-11,7177.9,83.1
2019-02-12,7162.5,81.2
2019-02-13,7028.25,78.9
2019-02-14,7017.5,84.45
2019-02-15,6930.05,79.95
2019-02-18,6842.7,79.2
2019-02-19,6804.55,79.2
2019-02-20,6849.9,80.95
2019-02-21,6801.55,81.15
2019-02-22,6912.4,81.85
2019-02-25,6924.9,83.25
2019-02-26,6904.3,83.3
2019-02-27,6968.5,84.85
2019-02-28,6829.7,86.5
2019-03-01,6935.15,86.6
2019-03-05,7117.75,90.5
2019-03-06,7056.9,90.6
2019-03-07,7029.05,90.9
2019-03-08,6967.7,89.65
2019-03-11,7081.9,93.05
2019-03-12,7157.2,92.95
2019-03-13,7091.05,93.8
2019-03-14,7086.3,93.95
2019-03-15,7084.0,94.1
2019-03-18,6909.1,92.4
2019-03-19,6825.2,91.4
2019-03-20,6673.55,90.85
2019-03-22,6552.7,89.6
2019-03-25,6522.6,87.5
2019-03-26,6585.7,86.3
2019-03-27,6518.0,85.45
2019-03-28,6596.25,88.6
2019-03-29,6672.55,91.3
2019-04-01,6840.7,90.35
2019-04-02,6889.7,89.55
2019-04-03,7072.9,87.8
2019-04-04,7113.1,87.45
2019-04-05,7107.7,87.75
2019-04-08,7129.45,87.25
2019-04-09,7216.55,91.7
2019-04-10,7186.35,91.55
2019-04-11,7187.85,94.5
2019-04-12,7342.85,95.65
2019-04-15,7352.5,95.75
2019-04-16,7458.55,96.35
2019-04-18,7447.45,95.75
2019-04-22,7321.25,92.15
2019-04-23,7048.9,91.55
2019-04-24,7016.7,91.25
2019-04-25,6905.25,89.85
2019-04-26,6842.85,88.5
2019-04-30,6685.95,86.1
