Date,MARUTI,TATAMOTORS
2018-06-18,8973.45,308.8
2018-06-19,8862.6,305.05
2018-06-20,8948.3,305.6
2018-06-21,8863.05,307.0
2018-06-22,8874.9,308.0
2018-06-25,8793.0,289.4
2018-06-26,8931.35,276.85
2018-06-27,8898.3,271.05
2018-06-28,8771.3,263.35
2018-06-29,8825.6,269.3
2018-07-02,8821.05,266.7
2018-07-03,8975.15,269.45
2018-07-04,9220.8,267.05
2018-07-05,9347.05,261.55
2018-07-06,9317.5,270.85
2018-07-09,9374.9,273.5
2018-07-10,9531.0,275.45
2018-07-11,9384.7,267.8
2018-07-12,9347.0,266.1
2018-07-13,9431.05,263.6
2018-07-16,9385.3,252.1
2018-07-17,9445.4,257.95
2018-07-18,9366.8,251.85
2018-07-19,9389.1,252.5
2018-07-20,9398.95,253.4
2018-07-23,9701.0,258.75
2018-07-24,9832.45,258.8
2018-07-25,9758.95,257.85
2018-07-26,9396.25,258.25
2018-07-27,9310.4,268.15
2018-07-30,9381.9,267.5
2018-07-31,9520.55,264.1
2018-08-01,9341.6,265.05
2018-08-02,9142.4,260.85
2018-08-03,9187.0,258.45
2018-08-06,9286.4,254.05
2018-08-07,9411.5,251.6
2018-08-08,9207.4,255.15
2018-08-09,9146.05,257.85
2018-08-10,9148.25,250.1
2018-08-13,9080.85,248.7
2018-08-14,9132.6,248.8
2018-08-16,9200.55,251.3
2018-08-17,9152.1,258.25
2018-08-20,9074.35,270.1
2018-08-21,9113.3,268.8
2018-08-23,9223.3,256.9
2018-08-24,9163.8,255.5
2018-08-27,9245.25,258.8
2018-08-28,9427.95,260.0
2018-08-29,9368.1,261.7
2018-08-30,9205.8,259.35
2018-08-31,9096.4,267.5
2018-09-03,8902.15,266.6
2018-09-04,8868.5,261.95
2018-09-05,8896.1,266.5
2018-09-06,8759.85,269.95
2018-09-07,8719.2,277.4
2018-09-10,8639.4,275.7
2018-09-11,8517.05,267.3
2018-09-12,8493.95,262.4
2018-09-14,8626.7,266.6
2018-09-17,8537.8,260.25
2018-09-18,8399.15,251.5
2018-09-19,8210.35,252.6
2018-09-21,8040.15,250.35
2018-09-24,7793.05,240.2
2018-09-25,7999.45,240.8
2018-09-26,7842.55,233.35
2018-09-27,7553.05,225.25
