Date,MARUTI,TATAMTRDVR
2018-06-18,8973.45,183.8
2018-06-19,8862.6,180.7
2018-06-20,8948.3,181.25
2018-06-21,8863.05,180.45
2018-06-22,8874.9,181.85
2018-06-25,8793.0,168.8
2018-06-26,8931.35,165.85
2018-06-27,8898.3,161.85
2018-06-28,8771.3,157.4
2018-06-29,8825.6,158.65
2018-07-02,8821.05,158.7
2018-07-03,8975.15,157.6
2018-07-04,9220.8,157.35
2018-07-05,9347.05,153.25
2018-07-06,9317.5,156.9
2018-07-09,9374.9,157.65
2018-07-10,9531.0,158.05
2018-07-11,9384.7,154.8
2018-07-12,9347.0,151.9
2018-07-13,9431.05,150.2
2018-07-16,9385.3,142.75
2018-07-17,9445.4,143.2
2018-07-18,9366.8,138.35
2018-07-19,9389.1,139.9
2018-07-20,9398.95,140.85
2018-07-23,9701.0,141.75
2018-07-24,9832.45,143.0
2018-07-25,9758.95,141.2
2018-07-26,9396.25,142.9
2018-07-27,9310.4,149.2
2018-07-30,9381.9,146.8
2018-07-31,9520.55,143.9
2018-08-01,9341.6,143.55
2018-08-02,9142.4,143.5
2018-08-03,9187.0,142.7
2018-08-06,9286.4,140.65
2018-08-07,9411.5,139.85
2018-08-08,9207.4,141.95
2018-08-09,9146.05,143.3
2018-08-10,9148.25,140.0
2018-08-13,9080.85,136.0
2018-08-14,9132.6,135.45
2018-08-16,9200.55,134.5
2018-08-17,9152.1,135.85
2018-08-20,9074.35,144.1
2018-08-21,9113.3,144.7
2018-08-23,9223.3,140.4
2018-08-24,9163.8,139.2
2018-08-27,9245.25,140.3
2018-08-28,9427.95,139.2
2018-08-29,9368.1,140.55
2018-08-30,9205.8,138.2
2018-08-31,9096.4,142.05
2018-09-03,8902.15,144.15
2018-09-04,8868.5,142.85
2018-09-05,8896.1,142.95
2018-09-06,8759.85,144.2
2018-09-07,8719.2,147.75
2018-09-10,8639.4,146.75
2018-09-11,8517.05,142.75
2018-09-12,8493.95,142.4
2018-09-14,8626.7,143.8
2018-09-17,8537.8,140.65
2018-09-18,8399.15,137.95
2018-09-19,8210.35,136.7
2018-09-21,8040.15,132.05
2018-09-24,7793.05,128.05
2018-09-25,7999.45,127.05
2018-09-26,7842.55,123.05
2018-09-27,7553.05,118.65
2018-09-28,7347.95,116.55
2018-10-01,7463.95,120.95
2018-10-03,7246.0,120.65
2018-10-04,7198.75,120.7
2018-10-05,6904.35,117.35
2018-10-08,6889.75,115.45
2018-10-09,6699.45,101.55
2018-10-10,6985.85,103.3
2018-10-11,6875.5,101.85
2018-10-12,7287.2,100.9
2018-10-15,7182.0,101.45
2018-10-16,7150.9,101.35
2018-10-17,6885.6,100.15
2018-10-19,6756.45,96.0
