Date,SBIN,ALBK
2018-06-18,276.85,44.75
2018-06-19,272.6,44.3
2018-06-20,273.3,44.7
2018-06-21,268.65,43.55
2018-06-22,273.05,44.9
2018-06-25,268.45,41.25
2018-06-26,267.4,41.55
2018-06-27,261.7,41.2
2018-06-28,257.0,40.95
2018-06-29,259.35,41.8
2018-07-02,258.85,41.8
2018-07-03,257.5,41.2
2018-07-04,257.45,40.9
2018-07-05,256.45,41.35
2018-07-06,257.2,42.5
2018-07-09,261.55,42.65
2018-07-10,263.75,43.05
2018-07-11,259.1,42.15
2018-07-12,262.75,42.0
2018-07-13,257.75,40.6
2018-07-16,251.6,39.65
2018-07-17,259.05,42.2
2018-07-18,259.55,41.05
2018-07-19,260.2,41.15
2018-07-20,261.5,40.9
2018-07-23,266.35,41.5
2018-07-24,266.85,43.1
2018-07-25,271.85,42.85
2018-07-26,287.7,44.4
2018-07-27,286.75,45.15
2018-07-30,297.4,46.3
2018-07-31,293.5,45.6
2018-08-01,295.1,45.6
2018-08-02,293.9,44.9
2018-08-03,299.25,45.4
2018-08-06,308.5,46.3
2018-08-07,304.05,44.9
2018-08-08,308.7,44.0
2018-08-09,317.4,45.8
2018-08-10,304.45,44.8
2018-08-13,294.15,42.75
2018-08-14,294.9,39.95
2018-08-16,292.7,39.55
2018-08-17,302.1,40.2
2018-08-20,307.65,40.8
2018-08-21,307.0,40.8
2018-08-23,302.45,40.3
2018-08-24,300.45,40.3
2018-08-27,308.0,40.7
2018-08-28,305.35,40.45
2018-08-29,309.7,40.45
2018-08-30,308.6,41.85
2018-08-31,309.6,42.65
2018-09-03,306.35,42.8
2018-09-04,296.4,41.1
2018-09-05,296.55,40.9
2018-09-06,296.45,40.4
2018-09-07,291.65,40.55
2018-09-10,284.85,40.1
2018-09-11,282.6,40.85
2018-09-12,285.3,39.85
2018-09-14,290.65,40.65
2018-09-17,285.3,40.8
2018-09-18,273.8,39.85
2018-09-19,271.5,39.55
2018-09-21,270.6,37.85
2018-09-24,264.35,36.7
2018-09-25,270.9,37.75
2018-09-26,263.85,37.35
2018-09-27,265.35,36.45
2018-09-28,265.5,35.5
2018-10-01,273.85,36.1
2018-10-03,271.7,36.9
2018-10-04,271.35,36.05
2018-10-05,258.35,35.35
2018-10-08,265.75,34.05
2018-10-09,262.95,33.85
2018-10-10,278.65,36.1
2018-10-11,262.15,35.4
2018-10-12,263.75,36.35
2018-10-15,263.2,37.7
2018-10-16,270.3,38.4
2018-10-17,261.15,37.85
2018-10-19,261.1,37.05
2018-10-22,260.35,36.75
2018-10-23,255.65,35.9
2018-10-24,255.7,37.3
2018-10-25,249.55,37.15
2018-10-26,248.1,37.05
2018-10-29,267.9,40.65
2018-10-30,273.15,41.75
2018-10-31,281.4,44.2
2018-11-01,285.9,43.3
2018-11-02,285.35,42.9
2018-11-05,294.95,43.7
2018-11-06,286.45,43.55
2018-11-07,286.55,43.8
2018-11-09,283.25,43.95
2018-11-12,277.95,41.65
2018-11-13,278.05,37.4
2018-11-14,283.6,38.7
2018-11-15,285.4,42.2
