Date,SBIN,ANDHRABANK
2018-06-18,276.85,34.85
2018-06-19,272.6,34.1
2018-06-20,273.3,34.25
2018-06-21,268.65,33.85
2018-06-22,273.05,34.35
2018-06-25,268.45,33.3
2018-06-26,267.4,33.3
2018-06-27,261.7,31.8
2018-06-28,257.0,31.4
2018-06-29,259.35,32.7
2018-07-02,258.85,32.65
2018-07-03,257.5,32.2
2018-07-04,257.45,31.95
2018-07-05,256.45,31.4
2018-07-06,257.2,32.35
2018-07-09,261.55,32.5
2018-07-10,263.75,33.3
2018-07-11,259.1,31.85
2018-07-12,262.75,31.55
2018-07-13,257.75,30.65
2018-07-16,251.6,29.55
2018-07-17,259.05,30.95
2018-07-18,259.55,30.6
2018-07-19,260.2,30.15
2018-07-20,261.5,30.8
2018-07-23,266.35,31.3
2018-07-24,266.85,32.0
2018-07-25,271.85,31.95
2018-07-26,287.7,32.7
2018-07-27,286.75,33.3
2018-07-30,297.4,35.65
2018-07-31,293.5,35.15
2018-08-01,295.1,35.3
2018-08-02,293.9,35.1
2018-08-03,299.25,35.65
2018-08-06,308.5,36.0
2018-08-07,304.05,34.0
2018-08-08,308.7,33.6
2018-08-09,317.4,34.55
2018-08-10,304.45,34.05
2018-08-13,294.15,32.6
2018-08-14,294.9,32.2
2018-08-16,292.7,31.55
2018-08-17,302.1,32.25
2018-08-20,307.65,32.8
2018-08-21,307.0,32.95
2018-08-23,302.45,32.95
2018-08-24,300.45,32.55
2018-08-27,308.0,32.8
2018-08-28,305.35,32.1
2018-08-29,309.7,32.3
2018-08-30,308.6,33.5
2018-08-31,309.6,33.9
2018-09-03,306.35,34.5
2018-09-04,296.4,32.5
2018-09-05,296.55,31.15
2018-09-06,296.45,30.65
2018-09-07,291.65,31.15
2018-09-10,284.85,30.9
2018-09-11,282.6,30.9
2018-09-12,285.3,30.85
2018-09-14,290.65,31.7
2018-09-17,285.3,32.55
2018-09-18,273.8,30.9
2018-09-19,271.5,30.95
2018-09-21,270.6,29.45
2018-09-24,264.35,28.9
2018-09-25,270.9,30.6
2018-09-26,263.85,30.25
2018-09-27,265.35,27.8
2018-09-28,265.5,27.4
2018-10-01,273.85,27.5
2018-10-03,271.7,27.45
2018-10-04,271.35,27.35
2018-10-05,258.35,26.85
2018-10-08,265.75,26.6
2018-10-09,262.95,25.95
2018-10-10,278.65,26.6
2018-10-11,262.15,25.85
2018-10-12,263.75,26.15
2018-10-15,263.2,26.4
2018-10-16,270.3,27.0
2018-10-17,261.15,26.4
2018-10-19,261.1,26.2
2018-10-22,260.35,25.95
2018-10-23,255.65,26.1
2018-10-24,255.7,26.1
2018-10-25,249.55,25.8
2018-10-26,248.1,25.55
2018-10-29,267.9,26.55
2018-10-30,273.15,27.8
2018-10-31,281.4,29.25
2018-11-01,285.9,29.3
2018-11-02,285.35,28.65
2018-11-05,294.95,28.55
2018-11-06,286.45,29.7
2018-11-07,286.55,30.15
2018-11-09,283.25,30.1
2018-11-12,277.95,29.3
2018-11-13,278.05,28.7
2018-11-14,283.6,28.55
2018-11-15,285.4,28.35
2018-11-16,290.9,28.8
2018-11-19,288.15,28.9
2018-11-20,283.45,28.6
2018-11-21,287.05,28.9
2018-11-22,282.7,28.45
2018-11-26,286.4,28.35
2018-11-27,289.4,28.45
2018-11-28,284.55,28.25
2018-11-29,286.4,28.15
2018-11-30,284.65,28.45
2018-12-03,286.8,28.45
2018-12-04,282.55,28.15
2018-12-05,280.15,27.95
2018-12-06,275.65,27.25
2018-12-07,275.4,27.0
2018-12-10,274.2,26.25
2018-12-11,281.25,26.9
2018-12-12,285.25,28.3
2018-12-13,289.0,28.6
2018-12-14,289.2,28.6
2018-12-17,289.5,28.45
2018-12-18,292.75,28.55
2018-12-19,300.7,29.4
2018-12-20,294.05,29.35
2018-12-21,291.9,29.45
2018-12-24,293.05,29.3
2018-12-26,294.15,29.25
2018-12-27,292.15,29.35
2018-12-28,294.8,29.5
2018-12-31,295.9,29.4
2019-01-01,299.6,29.75
2019-01-02,293.9,29.65
2019-01-03,291.1,28.95
2019-01-04,297.65,29.85
2019-01-07,296.3,29.85
2019-01-08,305.3,30.25
2019-01-09,305.3,29.9
2019-01-10,305.55,29.6
2019-01-11,302.75,29.45
2019-01-14,300.4,29.35
2019-01-15,301.65,28.85
2019-01-16,303.15,29.2
2019-01-17,297.4,28.75
2019-01-18,294.95,28.6
2019-01-21,292.45,28.05
2019-01-22,290.25,27.6
2019-01-23,286.65,27.05
2019-01-24,288.05,26.95
2019-01-25,285.4,26.55
2019-01-28,281.6,26.15
2019-01-29,280.6,25.95
2019-01-30,287.45,25.9
2019-01-31,293.65,25.25
2019-02-01,284.4,25.45
2019-02-04,283.95,25.0
2019-02-05,284.65,24.4
2019-02-06,289.05,24.25
2019-02-07,287.4,24.45
2019-02-08,286.0,24.1
2019-02-11,280.5,23.8
2019-02-12,275.4,23.3
2019-02-13,268.2,23.3
2019-02-14,267.1,23.7
2019-02-15,262.95,23.2
2019-02-18,259.95,23.3
2019-02-19,262.9,23.4
2019-02-20,267.7,24.0
2019-02-21,268.0,25.4
2019-02-22,270.95,25.1
2019-02-25,270.15,25.05
2019-02-26,266.35,24.45
2019-02-27,267.65,24.6
2019-02-28,269.05,24.55
2019-03-01,272.95,25.45
2019-03-05,276.45,26.25
2019-03-06,278.1,26.4
2019-03-07,281.75,26.7
2019-03-08,281.2,26.65
2019-03-11,287.35,27.0
2019-03-12,286.9,27.0
2019-03-13,293.15,26.6
2019-03-14,291.9,26.4
2019-03-15,298.4,25.8
2019-03-18,298.95,25.9
2019-03-19,303.05,26.3
2019-03-20,303.8,26.2
2019-03-22,298.05,25.9
2019-03-25,294.0,25.4
2019-03-26,303.5,25.7
2019-03-27,308.8,27.1
2019-03-28,319.0,27.95
2019-03-29,320.75,28.05
2019-04-01,322.75,32.2
2019-04-02,329.0,31.85
2019-04-03,320.5,31.05
2019-04-04,321.8,30.75
2019-04-05,317.05,30.3
2019-04-08,312.8,29.8
2019-04-09,314.75,29.55
2019-04-10,310.9,29.25
2019-04-11,314.9,28.9
2019-04-12,315.25,28.95
2019-04-15,315.6,29.05
2019-04-16,315.75,28.8
2019-04-18,310.8,28.35
2019-04-22,310.05,27.7
2019-04-23,305.25,27.55
2019-04-24,310.75,27.6
2019-04-25,306.2,27.35
2019-04-26,312.5,27.35
2019-04-29,311.9,27.3
