Date,SBIN,CANBK
2018-06-18,276.85,267.7
2018-06-19,272.6,262.15
2018-06-20,273.3,261.6
2018-06-21,268.65,255.1
2018-06-22,273.05,259.4
2018-06-25,268.45,249.95
2018-06-26,267.4,253.05
2018-06-27,261.7,247.5
2018-06-28,257.0,248.8
2018-06-29,259.35,251.55
2018-07-02,258.85,248.9
2018-07-03,257.5,244.75
2018-07-04,257.45,244.65
2018-07-05,256.45,243.8
2018-07-06,257.2,247.65
2018-07-09,261.55,249.6
2018-07-10,263.75,250.65
2018-07-11,259.1,245.25
2018-07-12,262.75,241.95
2018-07-13,257.75,231.75
2018-07-16,251.6,222.35
2018-07-17,259.05,234.75
2018-07-18,259.55,227.8
2018-07-19,260.2,232.65
2018-07-20,261.5,236.8
2018-07-23,266.35,246.95
2018-07-24,266.85,252.8
2018-07-25,271.85,258.95
2018-07-26,287.7,278.9
2018-07-27,286.75,279.25
2018-07-30,297.4,289.35
2018-07-31,293.5,284.5
2018-08-01,295.1,284.95
2018-08-02,293.9,279.75
2018-08-03,299.25,290.35
2018-08-06,308.5,294.45
2018-08-07,304.05,288.9
2018-08-08,308.7,288.45
2018-08-09,317.4,295.95
2018-08-10,304.45,282.35
2018-08-13,294.15,269.9
2018-08-14,294.9,270.65
2018-08-16,292.7,267.6
2018-08-17,302.1,277.35
2018-08-20,307.65,287.5
2018-08-21,307.0,284.35
2018-08-23,302.45,281.3
2018-08-24,300.45,276.35
2018-08-27,308.0,284.8
2018-08-28,305.35,274.6
2018-08-29,309.7,282.05
2018-08-30,308.6,286.15
2018-08-31,309.6,283.7
2018-09-03,306.35,284.85
2018-09-04,296.4,271.4
2018-09-05,296.55,267.9
2018-09-06,296.45,268.95
2018-09-07,291.65,270.45
2018-09-10,284.85,264.85
2018-09-11,282.6,262.75
2018-09-12,285.3,264.9
2018-09-14,290.65,269.3
2018-09-17,285.3,267.5
2018-09-18,273.8,246.8
2018-09-19,271.5,246.2
2018-09-21,270.6,239.35
2018-09-24,264.35,233.0
2018-09-25,270.9,233.5
2018-09-26,263.85,235.15
2018-09-27,265.35,227.65
2018-09-28,265.5,220.85
2018-10-01,273.85,232.8
2018-10-03,271.7,231.8
2018-10-04,271.35,229.1
2018-10-05,258.35,219.35
2018-10-08,265.75,216.7
2018-10-09,262.95,216.2
2018-10-10,278.65,232.75
2018-10-11,262.15,225.15
2018-10-12,263.75,230.8
2018-10-15,263.2,229.85
2018-10-16,270.3,236.6
2018-10-17,261.15,220.65
2018-10-19,261.1,221.0
2018-10-22,260.35,211.3
2018-10-23,255.65,208.1
2018-10-24,255.7,212.7
2018-10-25,249.55,211.65
2018-10-26,248.1,212.55
2018-10-29,267.9,238.2
2018-10-30,273.15,256.25
2018-10-31,281.4,261.95
2018-11-01,285.9,251.8
2018-11-02,285.35,243.5
2018-11-05,294.95,246.0
2018-11-06,286.45,242.05
2018-11-07,286.55,242.8
2018-11-09,283.25,246.4
2018-11-12,277.95,238.1
2018-11-13,278.05,243.25
2018-11-14,283.6,252.65
2018-11-15,285.4,255.65
2018-11-16,290.9,263.7
2018-11-19,288.15,261.1
2018-11-20,283.45,256.85
2018-11-21,287.05,263.1
2018-11-22,282.7,260.9
2018-11-26,286.4,263.65
2018-11-27,289.4,267.55
2018-11-28,284.55,262.05
2018-11-29,286.4,261.05
2018-11-30,284.65,255.8
2018-12-03,286.8,257.95
2018-12-04,282.55,253.85
2018-12-05,280.15,252.5
2018-12-06,275.65,245.9
2018-12-07,275.4,247.2
2018-12-10,274.2,241.1
2018-12-11,281.25,248.3
2018-12-12,285.25,258.1
2018-12-13,289.0,259.55
2018-12-14,289.2,266.45
2018-12-17,289.5,265.55
2018-12-18,292.75,269.15
2018-12-19,300.7,274.25
2018-12-20,294.05,268.45
2018-12-21,291.9,265.5
2018-12-24,293.05,266.35
2018-12-26,294.15,270.9
2018-12-27,292.15,272.25
2018-12-28,294.8,277.45
2018-12-31,295.9,275.05
2019-01-01,299.6,281.5
2019-01-02,293.9,275.4
2019-01-03,291.1,276.3
2019-01-04,297.65,282.95
2019-01-07,296.3,278.25
2019-01-08,305.3,287.9
2019-01-09,305.3,280.5
2019-01-10,305.55,281.05
2019-01-11,302.75,278.25
2019-01-14,300.4,278.0
2019-01-15,301.65,275.35
2019-01-16,303.15,275.35
2019-01-17,297.4,275.45
2019-01-18,294.95,272.6
2019-01-21,292.45,268.0
2019-01-22,290.25,263.45
2019-01-23,286.65,260.45
2019-01-24,288.05,262.3
2019-01-25,285.4,254.35
2019-01-28,281.6,240.4
2019-01-29,280.6,246.3
2019-01-30,287.45,249.75
2019-01-31,293.65,250.15
2019-02-01,284.4,238.05
2019-02-04,283.95,235.0
2019-02-05,284.65,231.15
2019-02-06,289.05,235.6
2019-02-07,287.4,237.05
2019-02-08,286.0,228.25
2019-02-11,280.5,225.0
2019-02-12,275.4,220.6
2019-02-13,268.2,220.0
2019-02-14,267.1,223.7
2019-02-15,262.95,215.25
2019-02-18,259.95,213.65
2019-02-19,262.9,214.85
2019-02-20,267.7,218.55
2019-02-21,268.0,221.5
2019-02-22,270.95,222.0
2019-02-25,270.15,222.8
2019-02-26,266.35,217.95
2019-02-27,267.65,231.2
2019-02-28,269.05,231.45
2019-03-01,272.95,242.4
2019-03-05,276.45,253.35
2019-03-06,278.1,252.8
2019-03-07,281.75,257.35
2019-03-08,281.2,254.0
2019-03-11,287.35,259.35
2019-03-12,286.9,256.4
2019-03-13,293.15,263.0
