Date,SBIN,IDBI
2018-06-18,276.85,59.3
2018-06-19,272.6,58.75
2018-06-20,273.3,58.95
2018-06-21,268.65,57.75
2018-06-22,273.05,58.9
2018-06-25,268.45,58.0
2018-06-26,267.4,54.45
2018-06-27,261.7,50.7
2018-06-28,257.0,49.85
2018-06-29,259.35,54.9
2018-07-02,258.85,56.0
2018-07-03,257.5,52.45
2018-07-04,257.45,51.75
2018-07-05,256.45,48.1
2018-07-06,257.2,48.25
2018-07-09,261.55,48.8
2018-07-10,263.75,53.35
2018-07-11,259.1,57.0
2018-07-12,262.75,56.15
2018-07-13,257.75,57.3
2018-07-16,251.6,56.45
2018-07-17,259.05,58.15
2018-07-18,259.55,56.65
2018-07-19,260.2,56.85
2018-07-20,261.5,58.0
2018-07-23,266.35,57.6
2018-07-24,266.85,59.5
2018-07-25,271.85,58.9
2018-07-26,287.7,58.8
2018-07-27,286.75,60.1
2018-07-30,297.4,59.8
2018-07-31,293.5,58.85
2018-08-01,295.1,62.15
2018-08-02,293.9,62.25
2018-08-03,299.25,61.85
2018-08-06,308.5,63.2
2018-08-07,304.05,61.9
2018-08-08,308.7,62.25
2018-08-09,317.4,63.1
2018-08-10,304.45,61.85
2018-08-13,294.15,60.45
2018-08-14,294.9,60.35
2018-08-16,292.7,61.4
2018-08-17,302.1,62.3
2018-08-20,307.65,62.5
2018-08-21,307.0,63.4
2018-08-23,302.45,62.1
2018-08-24,300.45,61.45
2018-08-27,308.0,61.3
2018-08-28,305.35,60.85
2018-08-29,309.7,60.95
2018-08-30,308.6,60.95
2018-08-31,309.6,62.7
2018-09-03,306.35,61.15
2018-09-04,296.4,59.75
2018-09-05,296.55,59.3
2018-09-06,296.45,59.15
2018-09-07,291.65,59.85
2018-09-10,284.85,57.85
2018-09-11,282.6,57.4
2018-09-12,285.3,57.7
2018-09-14,290.65,58.5
2018-09-17,285.3,58.15
2018-09-18,273.8,56.25
2018-09-19,271.5,57.0
2018-09-21,270.6,56.0
2018-09-24,264.35,52.7
2018-09-25,270.9,51.9
2018-09-26,263.85,52.5
2018-09-27,265.35,48.85
2018-09-28,265.5,50.2
2018-10-01,273.85,54.1
2018-10-03,271.7,55.65
2018-10-04,271.35,56.95
2018-10-05,258.35,57.4
2018-10-08,265.75,58.65
2018-10-09,262.95,58.8
2018-10-10,278.65,59.0
2018-10-11,262.15,58.8
2018-10-12,263.75,59.05
2018-10-15,263.2,59.35
2018-10-16,270.3,59.5
2018-10-17,261.15,59.2
2018-10-19,261.1,59.35
2018-10-22,260.35,59.25
2018-10-23,255.65,59.15
2018-10-24,255.7,59.15
2018-10-25,249.55,58.9
2018-10-26,248.1,59.45
2018-10-29,267.9,59.6
2018-10-30,273.15,59.7
2018-10-31,281.4,59.2
2018-11-01,285.9,59.35
2018-11-02,285.35,59.15
2018-11-05,294.95,59.75
2018-11-06,286.45,59.3
2018-11-07,286.55,59.55
2018-11-09,283.25,61.2
2018-11-12,277.95,60.4
2018-11-13,278.05,59.95
2018-11-14,283.6,60.6
2018-11-15,285.4,60.75
2018-11-16,290.9,60.9
2018-11-19,288.15,60.75
2018-11-20,283.45,60.25
2018-11-21,287.05,60.3
2018-11-22,282.7,59.95
2018-11-26,286.4,60.15
2018-11-27,289.4,60.2
2018-11-28,284.55,59.9
2018-11-29,286.4,60.0
2018-11-30,284.65,59.5
2018-12-03,286.8,59.4
2018-12-04,282.55,59.8
2018-12-05,280.15,60.7
2018-12-06,275.65,60.25
2018-12-07,275.4,60.25
2018-12-10,274.2,60.15
2018-12-11,281.25,60.85
2018-12-12,285.25,61.2
