Date,SBIN,PNB
2018-06-18,276.85,88.5
2018-06-19,272.6,86.8
2018-06-20,273.3,86.2
2018-06-21,268.65,83.4
2018-06-22,273.05,81.9
2018-06-25,268.45,79.8
2018-06-26,267.4,79.85
2018-06-27,261.7,76.75
2018-06-28,257.0,72.8
2018-06-29,259.35,76.15
2018-07-02,258.85,78.15
2018-07-03,257.5,77.15
2018-07-04,257.45,76.1
2018-07-05,256.45,75.55
2018-07-06,257.2,76.95
2018-07-09,261.55,77.8
2018-07-10,263.75,77.85
2018-07-11,259.1,75.55
2018-07-12,262.75,76.1
2018-07-13,257.75,73.85
2018-07-16,251.6,73.85
2018-07-17,259.05,78.7
2018-07-18,259.55,75.2
2018-07-19,260.2,75.3
2018-07-20,261.5,75.55
2018-07-23,266.35,78.95
2018-07-24,266.85,79.3
2018-07-25,271.85,79.25
2018-07-26,287.7,80.85
2018-07-27,286.75,82.0
2018-07-30,297.4,85.9
2018-07-31,293.5,85.1
2018-08-01,295.1,87.4
2018-08-02,293.9,85.15
2018-08-03,299.25,88.15
2018-08-06,308.5,90.05
2018-08-07,304.05,82.85
2018-08-08,308.7,80.45
2018-08-09,317.4,83.4
2018-08-10,304.45,83.25
2018-08-13,294.15,80.4
2018-08-14,294.9,79.9
2018-08-16,292.7,81.55
2018-08-17,302.1,83.45
2018-08-20,307.65,84.2
2018-08-21,307.0,83.65
2018-08-23,302.45,84.5
2018-08-24,300.45,85.8
2018-08-27,308.0,85.25
2018-08-28,305.35,82.9
2018-08-29,309.7,84.15
2018-08-30,308.6,85.1
2018-08-31,309.6,88.15
2018-09-03,306.35,86.35
2018-09-04,296.4,83.15
2018-09-05,296.55,83.1
2018-09-06,296.45,83.25
2018-09-07,291.65,84.4
2018-09-10,284.85,82.7
2018-09-11,282.6,81.7
2018-09-12,285.3,81.15
2018-09-14,290.65,82.8
2018-09-17,285.3,83.0
2018-09-18,273.8,79.3
2018-09-19,271.5,79.25
2018-09-21,270.6,72.85
2018-09-24,264.35,69.2
2018-09-25,270.9,66.95
2018-09-26,263.85,67.05
2018-09-27,265.35,62.5
2018-09-28,265.5,59.7
2018-10-01,273.85,63.2
2018-10-03,271.7,64.65
2018-10-04,271.35,64.8
2018-10-05,258.35,63.85
2018-10-08,265.75,62.85
2018-10-09,262.95,62.65
2018-10-10,278.65,66.3
2018-10-11,262.15,64.3
2018-10-12,263.75,66.5
2018-10-15,263.2,67.55
2018-10-16,270.3,69.95
2018-10-17,261.15,66.5
2018-10-19,261.1,66.0
2018-10-22,260.35,65.7
2018-10-23,255.65,64.75
2018-10-24,255.7,65.8
2018-10-25,249.55,65.65
2018-10-26,248.1,66.15
2018-10-29,267.9,70.9
2018-10-30,273.15,72.55
2018-10-31,281.4,73.65
2018-11-01,285.9,74.3
2018-11-02,285.35,69.05
2018-11-05,294.95,70.4
2018-11-06,286.45,70.6
2018-11-07,286.55,70.95
2018-11-09,283.25,71.65
2018-11-12,277.95,70.5
2018-11-13,278.05,70.0
2018-11-14,283.6,70.75
2018-11-15,285.4,71.15
2018-11-16,290.9,73.2
2018-11-19,288.15,73.3
2018-11-20,283.45,71.3
2018-11-21,287.05,72.7
2018-11-22,282.7,71.7
2018-11-26,286.4,71.25
2018-11-27,289.4,72.45
2018-11-28,284.55,69.6
2018-11-29,286.4,69.65
2018-11-30,284.65,69.9
2018-12-03,286.8,71.45
2018-12-04,282.55,69.55
2018-12-05,280.15,68.95
2018-12-06,275.65,66.1
2018-12-07,275.4,66.0
2018-12-10,274.2,64.85
2018-12-11,281.25,68.7
2018-12-12,285.25,70.8
2018-12-13,289.0,71.35
2018-12-14,289.2,72.65
2018-12-17,289.5,72.85
2018-12-18,292.75,74.25
2018-12-19,300.7,76.95
2018-12-20,294.05,76.1
2018-12-21,291.9,76.35
2018-12-24,293.05,76.7
2018-12-26,294.15,77.75
2018-12-27,292.15,77.95
2018-12-28,294.8,78.45
2018-12-31,295.9,78.1
2019-01-01,299.6,79.8
