Date,SBIN,UNIONBANK
2018-06-18,276.85,90.55
2018-06-19,272.6,90.1
2018-06-20,273.3,89.0
2018-06-21,268.65,86.0
2018-06-22,273.05,85.75
2018-06-25,268.45,82.4
2018-06-26,267.4,83.45
2018-06-27,261.7,81.35
2018-06-28,257.0,79.8
2018-06-29,259.35,81.95
2018-07-02,258.85,81.2
2018-07-03,257.5,80.75
2018-07-04,257.45,79.75
2018-07-05,256.45,79.45
2018-07-06,257.2,81.3
2018-07-09,261.55,81.3
2018-07-10,263.75,81.65
2018-07-11,259.1,78.65
2018-07-12,262.75,78.45
2018-07-13,257.75,76.6
2018-07-16,251.6,74.4
2018-07-17,259.05,80.7
2018-07-18,259.55,76.2
2018-07-19,260.2,76.5
2018-07-20,261.5,76.75
2018-07-23,266.35,78.95
2018-07-24,266.85,81.25
2018-07-25,271.85,81.85
2018-07-26,287.7,85.05
2018-07-27,286.75,85.05
2018-07-30,297.4,88.15
2018-07-31,293.5,86.45
2018-08-01,295.1,88.05
2018-08-02,293.9,86.85
2018-08-03,299.25,88.35
2018-08-06,308.5,90.6
2018-08-07,304.05,86.5
2018-08-08,308.7,85.05
2018-08-09,317.4,89.15
2018-08-10,304.45,85.55
2018-08-13,294.15,84.55
2018-08-14,294.9,85.35
2018-08-16,292.7,84.4
2018-08-17,302.1,86.6
2018-08-20,307.65,88.6
2018-08-21,307.0,88.35
2018-08-23,302.45,88.75
2018-08-24,300.45,86.65
2018-08-27,308.0,89.8
2018-08-28,305.35,85.6
2018-08-29,309.7,87.95
2018-08-30,308.6,90.5
2018-08-31,309.6,89.75
2018-09-03,306.35,90.25
2018-09-04,296.4,84.75
2018-09-05,296.55,83.25
2018-09-06,296.45,82.95
2018-09-07,291.65,83.55
2018-09-10,284.85,81.5
2018-09-11,282.6,80.75
2018-09-12,285.3,81.2
2018-09-14,290.65,83.85
2018-09-17,285.3,82.3
2018-09-18,273.8,74.85
2018-09-19,271.5,78.45
2018-09-21,270.6,73.8
2018-09-24,264.35,72.3
2018-09-25,270.9,70.15
2018-09-26,263.85,70.6
2018-09-27,265.35,67.6
2018-09-28,265.5,65.75
2018-10-01,273.85,69.2
2018-10-03,271.7,68.55
2018-10-04,271.35,68.05
2018-10-05,258.35,66.0
2018-10-08,265.75,66.4
2018-10-09,262.95,65.75
2018-10-10,278.65,71.7
