Date,SYNDIBANK,ALBK
2018-06-18,48.65,44.75
2018-06-19,47.55,44.3
2018-06-20,47.55,44.7
2018-06-21,45.65,43.55
2018-06-22,46.8,44.9
2018-06-25,45.4,41.25
2018-06-26,43.75,41.55
2018-06-27,41.0,41.2
2018-06-28,39.2,40.95
2018-06-29,40.95,41.8
2018-07-02,41.0,41.8
2018-07-03,40.6,41.2
2018-07-04,40.2,40.9
2018-07-05,39.7,41.35
2018-07-06,40.65,42.5
2018-07-09,42.0,42.65
2018-07-10,41.95,43.05
2018-07-11,40.8,42.15
2018-07-12,40.25,42.0
2018-07-13,39.4,40.6
2018-07-16,37.75,39.65
2018-07-17,39.7,42.2
2018-07-18,38.85,41.05
2018-07-19,39.0,41.15
2018-07-20,38.8,40.9
2018-07-23,39.5,41.5
2018-07-24,40.75,43.1
2018-07-25,40.8,42.85
2018-07-26,43.2,44.4
2018-07-27,43.8,45.15
2018-07-30,45.9,46.3
2018-07-31,45.2,45.6
2018-08-01,45.4,45.6
2018-08-02,44.9,44.9
2018-08-03,45.2,45.4
2018-08-06,44.1,46.3
2018-08-07,41.9,44.9
2018-08-08,41.35,44.0
2018-08-09,42.5,45.8
2018-08-10,41.3,44.8
2018-08-13,39.55,42.75
2018-08-14,38.6,39.95
2018-08-16,37.8,39.55
2018-08-17,38.65,40.2
2018-08-20,39.2,40.8
2018-08-21,39.9,40.8
2018-08-23,39.75,40.3
2018-08-24,39.55,40.3
2018-08-27,39.75,40.7
2018-08-28,38.8,40.45
2018-08-29,39.3,40.45
2018-08-30,40.6,41.85
2018-08-31,40.3,42.65
2018-09-03,41.15,42.8
2018-09-04,38.6,41.1
2018-09-05,38.15,40.9
2018-09-06,37.95,40.4
2018-09-07,38.1,40.55
2018-09-10,36.9,40.1
2018-09-11,36.7,40.85
2018-09-12,36.6,39.85
2018-09-14,38.2,40.65
2018-09-17,39.35,40.8
2018-09-18,37.0,39.85
2018-09-19,36.8,39.55
2018-09-21,34.4,37.85
2018-09-24,33.5,36.7
2018-09-25,33.45,37.75
2018-09-26,33.35,37.35
2018-09-27,32.05,36.45
2018-09-28,30.9,35.5
2018-10-01,31.65,36.1
2018-10-03,32.4,36.9
2018-10-04,32.2,36.05
2018-10-05,31.1,35.35
2018-10-08,30.25,34.05
2018-10-09,29.8,33.85
2018-10-10,31.75,36.1
2018-10-11,30.7,35.4
2018-10-12,31.5,36.35
2018-10-15,32.45,37.7
2018-10-16,33.15,38.4
2018-10-17,32.35,37.85
2018-10-19,31.85,37.05
2018-10-22,31.7,36.75
2018-10-23,31.1,35.9
2018-10-24,31.65,37.3
2018-10-25,31.25,37.15
2018-10-26,31.2,37.05
2018-10-29,33.5,40.65
2018-10-30,35.0,41.75
2018-10-31,34.8,44.2
2018-11-01,34.85,43.3
2018-11-02,34.35,42.9
2018-11-05,34.6,43.7
2018-11-06,34.7,43.55
2018-11-07,34.85,43.8
2018-11-09,35.7,43.95
2018-11-12,34.65,41.65
2018-11-13,34.35,37.4
2018-11-14,34.5,38.7
2018-11-15,35.2,42.2
2018-11-16,35.6,43.35
2018-11-19,36.0,43.55
2018-11-20,35.35,44.65
2018-11-21,35.65,44.95
2018-11-22,35.4,45.15
2018-11-26,35.05,45.5
2018-11-27,35.5,47.5
2018-11-28,34.9,47.1
2018-11-29,34.9,47.35
2018-11-30,34.85,48.55
2018-12-03,35.1,48.85
2018-12-04,34.6,47.35
2018-12-05,33.65,45.7
2018-12-06,32.25,44.85
2018-12-07,31.5,43.1
2018-12-10,30.9,44.2
2018-12-11,31.4,44.3
2018-12-12,33.8,46.3
2018-12-13,33.95,46.3
2018-12-14,34.45,46.55
2018-12-17,34.3,45.8
2018-12-18,35.4,46.4
2018-12-19,37.6,48.4
2018-12-20,37.45,46.5
2018-12-21,37.75,46.65
2018-12-24,37.65,45.8
2018-12-26,37.85,46.05
2018-12-27,38.05,46.45
2018-12-28,39.5,46.85
2018-12-31,39.3,46.1
2019-01-01,39.8,46.7
2019-01-02,39.15,45.0
2019-01-03,38.8,44.7
2019-01-04,40.6,46.7
2019-01-07,39.75,46.15
2019-01-08,41.6,47.55
2019-01-09,40.7,46.1
2019-01-10,40.45,45.85
2019-01-11,39.55,44.55
2019-01-14,39.55,44.45
2019-01-15,39.2,43.95
2019-01-16,39.8,44.45
2019-01-17,39.55,44.45
2019-01-18,37.8,43.8
2019-01-21,37.15,42.65
2019-01-22,36.9,42.45
2019-01-23,35.75,42.05
2019-01-24,35.55,43.15
2019-01-25,34.9,43.4
2019-01-28,34.55,42.3
2019-01-29,35.3,43.9
2019-01-30,36.55,44.9
2019-01-31,36.9,45.15
2019-02-01,37.3,44.4
2019-02-04,36.65,43.55
2019-02-05,35.65,42.45
2019-02-06,35.45,42.35
2019-02-07,35.6,42.6
2019-02-08,33.4,41.05
2019-02-11,32.55,39.85
2019-02-12,32.35,39.25
2019-02-13,31.6,41.65
2019-02-14,32.35,43.8
2019-02-15,31.25,42.0
2019-02-18,30.95,41.45
2019-02-19,31.4,41.55
