Date,SYNDIBANK,PNB
2018-06-18,48.65,88.5
2018-06-19,47.55,86.8
2018-06-20,47.55,86.2
2018-06-21,45.65,83.4
2018-06-22,46.8,81.9
2018-06-25,45.4,79.8
2018-06-26,43.75,79.85
2018-06-27,41.0,76.75
2018-06-28,39.2,72.8
2018-06-29,40.95,76.15
2018-07-02,41.0,78.15
2018-07-03,40.6,77.15
2018-07-04,40.2,76.1
2018-07-05,39.7,75.55
2018-07-06,40.65,76.95
2018-07-09,42.0,77.8
2018-07-10,41.95,77.85
2018-07-11,40.8,75.55
2018-07-12,40.25,76.1
2018-07-13,39.4,73.85
2018-07-16,37.75,73.85
2018-07-17,39.7,78.7
2018-07-18,38.85,75.2
2018-07-19,39.0,75.3
2018-07-20,38.8,75.55
2018-07-23,39.5,78.95
2018-07-24,40.75,79.3
2018-07-25,40.8,79.25
2018-07-26,43.2,80.85
2018-07-27,43.8,82.0
2018-07-30,45.9,85.9
2018-07-31,45.2,85.1
2018-08-01,45.4,87.4
2018-08-02,44.9,85.15
2018-08-03,45.2,88.15
2018-08-06,44.1,90.05
2018-08-07,41.9,82.85
2018-08-08,41.35,80.45
2018-08-09,42.5,83.4
2018-08-10,41.3,83.25
2018-08-13,39.55,80.4
2018-08-14,38.6,79.9
2018-08-16,37.8,81.55
2018-08-17,38.65,83.45
2018-08-20,39.2,84.2
2018-08-21,39.9,83.65
2018-08-23,39.75,84.5
2018-08-24,39.55,85.8
2018-08-27,39.75,85.25
2018-08-28,38.8,82.9
2018-08-29,39.3,84.15
2018-08-30,40.6,85.1
2018-08-31,40.3,88.15
2018-09-03,41.15,86.35
2018-09-04,38.6,83.15
2018-09-05,38.15,83.1
2018-09-06,37.95,83.25
2018-09-07,38.1,84.4
2018-09-10,36.9,82.7
2018-09-11,36.7,81.7
2018-09-12,36.6,81.15
2018-09-14,38.2,82.8
2018-09-17,39.35,83.0
2018-09-18,37.0,79.3
2018-09-19,36.8,79.25
2018-09-21,34.4,72.85
2018-09-24,33.5,69.2
2018-09-25,33.45,66.95
2018-09-26,33.35,67.05
2018-09-27,32.05,62.5
2018-09-28,30.9,59.7
2018-10-01,31.65,63.2
2018-10-03,32.4,64.65
2018-10-04,32.2,64.8
2018-10-05,31.1,63.85
2018-10-08,30.25,62.85
2018-10-09,29.8,62.65
2018-10-10,31.75,66.3
2018-10-11,30.7,64.3
2018-10-12,31.5,66.5
2018-10-15,32.45,67.55
2018-10-16,33.15,69.95
2018-10-17,32.35,66.5
2018-10-19,31.85,66.0
2018-10-22,31.7,65.7
2018-10-23,31.1,64.75
2018-10-24,31.65,65.8
2018-10-25,31.25,65.65
2018-10-26,31.2,66.15
2018-10-29,33.5,70.9
2018-10-30,35.0,72.55
2018-10-31,34.8,73.65
2018-11-01,34.85,74.3
2018-11-02,34.35,69.05
2018-11-05,34.6,70.4
2018-11-06,34.7,70.6
2018-11-07,34.85,70.95
2018-11-09,35.7,71.65
2018-11-12,34.65,70.5
2018-11-13,34.35,70.0
2018-11-14,34.5,70.75
2018-11-15,35.2,71.15
2018-11-16,35.6,73.2
2018-11-19,36.0,73.3
2018-11-20,35.35,71.3
2018-11-21,35.65,72.7
2018-11-22,35.4,71.7
2018-11-26,35.05,71.25
2018-11-27,35.5,72.45
2018-11-28,34.9,69.6
2018-11-29,34.9,69.65
2018-11-30,34.85,69.9
2018-12-03,35.1,71.45
2018-12-04,34.6,69.55
2018-12-05,33.65,68.95
2018-12-06,32.25,66.1
2018-12-07,31.5,66.0
2018-12-10,30.9,64.85
2018-12-11,31.4,68.7
2018-12-12,33.8,70.8
2018-12-13,33.95,71.35
2018-12-14,34.45,72.65
2018-12-17,34.3,72.85
2018-12-18,35.4,74.25
2018-12-19,37.6,76.95
2018-12-20,37.45,76.1
2018-12-21,37.75,76.35
2018-12-24,37.65,76.7
2018-12-26,37.85,77.75
2018-12-27,38.05,77.95
2018-12-28,39.5,78.45
2018-12-31,39.3,78.1
2019-01-01,39.8,79.8
2019-01-02,39.15,77.85
2019-01-03,38.8,77.85
2019-01-04,40.6,81.3
2019-01-07,39.75,80.55
2019-01-08,41.6,81.7
2019-01-09,40.7,80.7
2019-01-10,40.45,81.25
2019-01-11,39.55,80.65
2019-01-14,39.55,82.5
2019-01-15,39.2,81.95
2019-01-16,39.8,84.25
2019-01-17,39.55,84.55
2019-01-18,37.8,82.85
2019-01-21,37.15,80.25
2019-01-22,36.9,78.6
2019-01-23,35.75,77.75
2019-01-24,35.55,78.1
2019-01-25,34.9,76.6
2019-01-28,34.55,76.1
2019-01-29,35.3,77.3
2019-01-30,36.55,77.25
2019-01-31,36.9,77.5
2019-02-01,37.3,73.9
2019-02-04,36.65,73.15
2019-02-05,35.65,73.4
2019-02-06,35.45,75.2
2019-02-07,35.6,75.65
2019-02-08,33.4,71.2
2019-02-11,32.55,70.85
2019-02-12,32.35,71.35
2019-02-13,31.6,69.45
2019-02-14,32.35,72.25
2019-02-15,31.25,70.05
2019-02-18,30.95,69.0
2019-02-19,31.4,69.95
2019-02-20,32.1,71.1
2019-02-21,33.2,73.15
2019-02-22,33.35,73.2
2019-02-25,33.1,73.5
2019-02-26,32.65,71.85
2019-02-27,33.0,71.5
2019-02-28,33.45,72.3
2019-03-01,35.7,76.65
2019-03-05,37.25,82.65
2019-03-06,36.75,82.4
2019-03-07,37.5,85.45
2019-03-08,37.05,83.8
2019-03-11,38.6,85.85
2019-03-12,38.4,85.4
2019-03-13,38.95,84.85
2019-03-14,38.9,84.45
2019-03-15,38.45,86.05
2019-03-18,39.45,86.65
2019-03-19,39.95,90.5
2019-03-20,40.05,93.55
2019-03-22,38.6,91.55
2019-03-25,38.6,90.3
2019-03-26,40.15,92.5
2019-03-27,40.6,93.4
2019-03-28,42.9,95.35
2019-03-29,43.2,95.5
2019-04-01,44.35,97.5
2019-04-02,45.2,98.3
2019-04-03,43.05,94.45
2019-04-04,43.25,93.65
2019-04-05,42.45,93.1
2019-04-08,41.7,93.1
2019-04-09,42.6,94.35
2019-04-10,41.85,93.35
2019-04-11,41.6,92.7
2019-04-12,42.4,93.35
2019-04-15,41.75,93.85
2019-04-16,41.5,92.8
2019-04-18,40.6,90.05
2019-04-22,39.25,86.65
2019-04-23,38.9,87.2
2019-04-24,39.55,88.35
2019-04-25,39.1,86.75
2019-04-26,40.35,88.15
2019-04-30,38.1,84.85
