Date,TATAMOTORS,ASHOKLEY
2018-06-18,308.8,138.9
2018-06-19,305.05,136.5
2018-06-20,305.6,137.0
2018-06-21,307.0,135.1
2018-06-22,308.0,136.4
2018-06-25,289.4,132.0
2018-06-26,276.85,132.6
2018-06-27,271.05,129.35
2018-06-28,263.35,124.1
2018-06-29,269.3,125.8
2018-07-02,266.7,127.3
2018-07-03,269.45,129.5
2018-07-04,267.05,127.85
2018-07-05,261.55,125.0
2018-07-06,270.85,132.3
2018-07-09,273.5,130.9
2018-07-10,275.45,133.95
2018-07-11,267.8,133.15
2018-07-12,266.1,133.95
2018-07-13,263.6,132.5
2018-07-16,252.1,125.7
2018-07-17,257.95,128.55
2018-07-18,251.85,110.55
2018-07-19,252.5,105.7
2018-07-20,253.4,107.45
2018-07-23,258.75,109.1
2018-07-24,258.8,112.75
2018-07-25,257.85,110.15
2018-07-26,258.25,112.05
2018-07-27,268.15,112.85
2018-07-30,267.5,113.0
2018-07-31,264.1,112.8
2018-08-01,265.05,118.9
2018-08-02,260.85,120.25
2018-08-03,258.45,118.2
2018-08-06,254.05,118.25
2018-08-07,251.6,119.55
2018-08-08,255.15,125.7
2018-08-09,257.85,129.25
2018-08-10,250.1,127.55
2018-08-13,248.7,125.5
2018-08-14,248.8,126.0
2018-08-16,251.3,126.2
2018-08-17,258.25,128.35
2018-08-20,270.1,128.3
2018-08-21,268.8,128.7
2018-08-23,256.9,132.3
2018-08-24,255.5,129.2
2018-08-27,258.8,132.85
2018-08-28,260.0,132.35
2018-08-29,261.7,131.9
2018-08-30,259.35,130.85
2018-08-31,267.5,129.05
2018-09-03,266.6,133.45
2018-09-04,261.95,127.85
2018-09-05,266.5,127.45
2018-09-06,269.95,129.7
2018-09-07,277.4,132.0
2018-09-10,275.7,129.65
2018-09-11,267.3,127.75
2018-09-12,262.4,127.85
2018-09-14,266.6,131.25
2018-09-17,260.25,127.45
2018-09-18,251.5,126.4
2018-09-19,252.6,125.8
2018-09-21,250.35,122.3
2018-09-24,240.2,120.35
2018-09-25,240.8,121.9
2018-09-26,233.35,120.65
2018-09-27,225.25,120.4
2018-09-28,223.7,119.1
2018-10-01,229.35,120.15
2018-10-03,227.6,119.15
2018-10-04,223.25,118.05
2018-10-05,216.25,107.75
2018-10-08,212.35,109.15
2018-10-09,184.35,110.85
2018-10-10,188.75,114.55
2018-10-11,182.95,111.8
2018-10-12,183.75,115.8
2018-10-15,184.35,117.05
2018-10-16,185.85,120.55
2018-10-17,179.95,114.3
2018-10-19,174.7,112.5
2018-10-22,170.75,112.8
2018-10-23,170.65,111.45
2018-10-24,170.65,116.8
2018-10-25,165.35,112.85
2018-10-26,168.5,113.15
2018-10-29,175.35,115.25
2018-10-30,177.25,115.0
2018-10-31,179.1,114.7
2018-11-01,179.45,113.35
2018-11-02,190.3,117.7
2018-11-05,189.8,120.7
2018-11-06,193.25,120.9
2018-11-07,194.85,121.85
2018-11-09,195.25,118.25
2018-11-12,186.05,118.3
2018-11-13,179.5,119.0
2018-11-14,176.8,106.5
2018-11-15,180.2,106.1
2018-11-16,179.9,105.55
2018-11-19,184.6,108.8
2018-11-20,183.75,107.65
2018-11-21,184.15,110.3
2018-11-22,182.55,109.3
2018-11-26,181.75,108.9
2018-11-27,180.05,110.3
2018-11-28,174.45,108.35
2018-11-29,177.25,110.15
2018-11-30,171.95,112.35
2018-12-03,175.45,107.15
2018-12-04,175.75,107.3
2018-12-05,169.2,103.6
2018-12-06,162.65,102.1
2018-12-07,162.4,102.9
2018-12-10,157.1,100.45
2018-12-11,158.1,103.2
