Date,TATAMOTORS,TATAMTRDVR
2018-06-18,308.8,183.8
2018-06-19,305.05,180.7
2018-06-20,305.6,181.25
2018-06-21,307.0,180.45
2018-06-22,308.0,181.85
2018-06-25,289.4,168.8
2018-06-26,276.85,165.85
2018-06-27,271.05,161.85
2018-06-28,263.35,157.4
2018-06-29,269.3,158.65
2018-07-02,266.7,158.7
2018-07-03,269.45,157.6
2018-07-04,267.05,157.35
2018-07-05,261.55,153.25
2018-07-06,270.85,156.9
2018-07-09,273.5,157.65
2018-07-10,275.45,158.05
2018-07-11,267.8,154.8
2018-07-12,266.1,151.9
2018-07-13,263.6,150.2
2018-07-16,252.1,142.75
2018-07-17,257.95,143.2
2018-07-18,251.85,138.35
2018-07-19,252.5,139.9
2018-07-20,253.4,140.85
2018-07-23,258.75,141.75
2018-07-24,258.8,143.0
2018-07-25,257.85,141.2
2018-07-26,258.25,142.9
2018-07-27,268.15,149.2
2018-07-30,267.5,146.8
2018-07-31,264.1,143.9
2018-08-01,265.05,143.55
2018-08-02,260.85,143.5
2018-08-03,258.45,142.7
2018-08-06,254.05,140.65
2018-08-07,251.6,139.85
2018-08-08,255.15,141.95
2018-08-09,257.85,143.3
2018-08-10,250.1,140.0
2018-08-13,248.7,136.0
2018-08-14,248.8,135.45
2018-08-16,251.3,134.5
2018-08-17,258.25,135.85
2018-08-20,270.1,144.1
2018-08-21,268.8,144.7
2018-08-23,256.9,140.4
2018-08-24,255.5,139.2
2018-08-27,258.8,140.3
2018-08-28,260.0,139.2
2018-08-29,261.7,140.55
2018-08-30,259.35,138.2
2018-08-31,267.5,142.05
2018-09-03,266.6,144.15
2018-09-04,261.95,142.85
2018-09-05,266.5,142.95
2018-09-06,269.95,144.2
2018-09-07,277.4,147.75
2018-09-10,275.7,146.75
2018-09-11,267.3,142.75
2018-09-12,262.4,142.4
2018-09-14,266.6,143.8
2018-09-17,260.25,140.65
2018-09-18,251.5,137.95
2018-09-19,252.6,136.7
2018-09-21,250.35,132.05
2018-09-24,240.2,128.05
2018-09-25,240.8,127.05
2018-09-26,233.35,123.05
2018-09-27,225.25,118.65
2018-09-28,223.7,116.55
2018-10-01,229.35,120.95
2018-10-03,227.6,120.65
2018-10-04,223.25,120.7
2018-10-05,216.25,117.35
2018-10-08,212.35,115.45
2018-10-09,184.35,101.55
2018-10-10,188.75,103.3
2018-10-11,182.95,101.85
2018-10-12,183.75,100.9
2018-10-15,184.35,101.45
2018-10-16,185.85,101.35
2018-10-17,179.95,100.15
2018-10-19,174.7,96.0
2018-10-22,170.75,92.9
2018-10-23,170.65,94.85
2018-10-24,170.65,93.7
2018-10-25,165.35,91.3
2018-10-26,168.5,91.2
2018-10-29,175.35,95.95
2018-10-30,177.25,96.9
2018-10-31,179.1,97.7
2018-11-01,179.45,97.6
2018-11-02,190.3,102.55
2018-11-05,189.8,102.15
2018-11-06,193.25,104.3
2018-11-07,194.85,105.7
2018-11-09,195.25,105.3
2018-11-12,186.05,101.05
2018-11-13,179.5,98.15
2018-11-14,176.8,97.2
2018-11-15,180.2,98.45
2018-11-16,179.9,98.95
2018-11-19,184.6,101.1
2018-11-20,183.75,99.9
2018-11-21,184.15,100.0
2018-11-22,182.55,98.65
2018-11-26,181.75,98.75
2018-11-27,180.05,98.1
2018-11-28,174.45,95.55
2018-11-29,177.25,96.05
2018-11-30,171.95,93.75
2018-12-03,175.45,95.3
2018-12-04,175.75,96.25
2018-12-05,169.2,92.45
2018-12-06,162.65,88.6
2018-12-07,162.4,89.1
2018-12-10,157.1,86.2
2018-12-11,158.1,85.9
2018-12-12,164.1,89.5
2018-12-13,166.85,90.95
2018-12-14,166.95,91.8
2018-12-17,173.95,95.75
2018-12-18,174.75,96.1
2018-12-19,173.9,95.6
2018-12-20,176.4,96.5
2018-12-21,176.25,96.3
2018-12-24,172.5,94.15
2018-12-26,170.9,93.05
2018-12-27,168.25,91.1
2018-12-28,170.85,91.95
2018-12-31,172.7,92.65
2019-01-01,173.45,93.1
2019-01-02,168.55,90.45
2019-01-03,166.05,89.05
2019-01-04,170.95,91.5
2019-01-07,175.35,93.9
2019-01-08,179.95,96.0
2019-01-09,183.05,96.9
2019-01-10,185.75,98.05
2019-01-11,180.3,95.8
2019-01-14,182.4,96.4
2019-01-15,185.35,98.45
2019-01-16,185.45,98.75
2019-01-17,184.9,98.15
2019-01-18,183.3,97.1
2019-01-21,181.5,96.2
