Date,TATAMTRDVR,ASHOKLEY
2018-06-18,183.8,138.9
2018-06-19,180.7,136.5
2018-06-20,181.25,137.0
2018-06-21,180.45,135.1
2018-06-22,181.85,136.4
2018-06-25,168.8,132.0
2018-06-26,165.85,132.6
2018-06-27,161.85,129.35
2018-06-28,157.4,124.1
2018-06-29,158.65,125.8
2018-07-02,158.7,127.3
2018-07-03,157.6,129.5
2018-07-04,157.35,127.85
2018-07-05,153.25,125.0
2018-07-06,156.9,132.3
2018-07-09,157.65,130.9
2018-07-10,158.05,133.95
2018-07-11,154.8,133.15
2018-07-12,151.9,133.95
2018-07-13,150.2,132.5
2018-07-16,142.75,125.7
2018-07-17,143.2,128.55
2018-07-18,138.35,110.55
2018-07-19,139.9,105.7
2018-07-20,140.85,107.45
2018-07-23,141.75,109.1
2018-07-24,143.0,112.75
2018-07-25,141.2,110.15
2018-07-26,142.9,112.05
2018-07-27,149.2,112.85
2018-07-30,146.8,113.0
2018-07-31,143.9,112.8
2018-08-01,143.55,118.9
2018-08-02,143.5,120.25
2018-08-03,142.7,118.2
2018-08-06,140.65,118.25
2018-08-07,139.85,119.55
2018-08-08,141.95,125.7
2018-08-09,143.3,129.25
2018-08-10,140.0,127.55
2018-08-13,136.0,125.5
2018-08-14,135.45,126.0
2018-08-16,134.5,126.2
2018-08-17,135.85,128.35
2018-08-20,144.1,128.3
2018-08-21,144.7,128.7
2018-08-23,140.4,132.3
2018-08-24,139.2,129.2
2018-08-27,140.3,132.85
2018-08-28,139.2,132.35
2018-08-29,140.55,131.9
2018-08-30,138.2,130.85
2018-08-31,142.05,129.05
2018-09-03,144.15,133.45
2018-09-04,142.85,127.85
2018-09-05,142.95,127.45
2018-09-06,144.2,129.7
2018-09-07,147.75,132.0
2018-09-10,146.75,129.65
2018-09-11,142.75,127.75
2018-09-12,142.4,127.85
2018-09-14,143.8,131.25
2018-09-17,140.65,127.45
2018-09-18,137.95,126.4
2018-09-19,136.7,125.8
2018-09-21,132.05,122.3
2018-09-24,128.05,120.35
2018-09-25,127.05,121.9
2018-09-26,123.05,120.65
2018-09-27,118.65,120.4
2018-09-28,116.55,119.1
2018-10-01,120.95,120.15
2018-10-03,120.65,119.15
2018-10-04,120.7,118.05
2018-10-05,117.35,107.75
2018-10-08,115.45,109.15
2018-10-09,101.55,110.85
2018-10-10,103.3,114.55
2018-10-11,101.85,111.8
2018-10-12,100.9,115.8
2018-10-15,101.45,117.05
2018-10-16,101.35,120.55
2018-10-17,100.15,114.3
2018-10-19,96.0,112.5
2018-10-22,92.9,112.8
2018-10-23,94.85,111.45
2018-10-24,93.7,116.8
2018-10-25,91.3,112.85
2018-10-26,91.2,113.15
2018-10-29,95.95,115.25
2018-10-30,96.9,115.0
2018-10-31,97.7,114.7
2018-11-01,97.6,113.35
2018-11-02,102.55,117.7
2018-11-05,102.15,120.7
2018-11-06,104.3,120.9
2018-11-07,105.7,121.85
2018-11-09,105.3,118.25
2018-11-12,101.05,118.3
2018-11-13,98.15,119.0
2018-11-14,97.2,106.5
2018-11-15,98.45,106.1
2018-11-16,98.95,105.55
2018-11-19,101.1,108.8
2018-11-20,99.9,107.65
2018-11-21,100.0,110.3
2018-11-22,98.65,109.3
2018-11-26,98.75,108.9
2018-11-27,98.1,110.3
2018-11-28,95.55,108.35
2018-11-29,96.05,110.15
2018-11-30,93.75,112.35
2018-12-03,95.3,107.15
2018-12-04,96.25,107.3
2018-12-05,92.45,103.6
2018-12-06,88.6,102.1
2018-12-07,89.1,102.9
2018-12-10,86.2,100.45
2018-12-11,85.9,103.2
2018-12-12,89.5,105.15
2018-12-13,90.95,104.4
2018-12-14,91.8,104.05
2018-12-17,95.75,106.0
2018-12-18,96.1,104.8
2018-12-19,95.6,107.7
2018-12-20,96.5,106.15
2018-12-21,96.3,105.35
2018-12-24,94.15,104.6
2018-12-26,93.05,103.9
2018-12-27,91.1,103.0
2018-12-28,91.95,102.75
2018-12-31,92.65,102.5
2019-01-01,93.1,102.5
2019-01-02,90.45,99.95
2019-01-03,89.05,98.15
2019-01-04,91.5,96.8
2019-01-07,93.9,93.45
2019-01-08,96.0,93.05
2019-01-09,96.9,94.45
2019-01-10,98.05,95.0
2019-01-11,95.8,94.3
2019-01-14,96.4,93.5
2019-01-15,98.45,93.6
2019-01-16,98.75,93.95
2019-01-17,98.15,93.25
2019-01-18,97.1,92.3
2019-01-21,96.2,90.6
2019-01-22,95.6,87.95
2019-01-23,95.55,89.15
2019-01-24,92.75,84.8
2019-01-25,90.45,82.6
2019-01-28,88.9,83.0
2019-01-29,90.3,82.3
2019-01-30,90.55,80.95
2019-01-31,93.65,81.3
2019-02-01,94.1,83.55
2019-02-04,93.15,82.3
2019-02-05,90.7,82.15
2019-02-06,92.25,82.55
2019-02-07,94.4,87.75
2019-02-08,80.85,87.05
2019-02-11,81.4,83.1
2019-02-12,80.35,81.2
2019-02-13,80.45,78.9
2019-02-14,84.1,84.45
2019-02-15,84.0,79.95
2019-02-18,84.4,79.2
2019-02-19,85.1,79.2
2019-02-20,85.8,80.95
2019-02-21,87.85,81.15
2019-02-22,89.2,81.85
2019-02-25,89.65,83.25
2019-02-26,90.85,83.3
2019-02-27,88.2,84.85
2019-02-28,87.7,86.5
2019-03-01,90.25,86.6
2019-03-05,95.8,90.5
2019-03-06,94.45,90.6
2019-03-07,94.9,90.9
2019-03-08,91.6,89.65
2019-03-11,92.65,93.05
2019-03-12,92.9,92.95
2019-03-13,91.2,93.8
2019-03-14,90.2,93.95
2019-03-15,89.95,94.1
2019-03-18,90.65,92.4
2019-03-19,90.2,91.4
2019-03-20,89.2,90.85
2019-03-22,86.8,89.6
2019-03-25,85.2,87.5
2019-03-26,86.15,86.3
2019-03-27,85.25,85.45
2019-03-28,84.5,88.6
2019-03-29,85.55,91.3
2019-04-01,92.35,90.35
2019-04-02,98.05,89.55
2019-04-03,97.1,87.8
2019-04-04,97.65,87.45
2019-04-05,98.55,87.75
2019-04-08,96.5,87.25
2019-04-09,99.15,91.7
2019-04-10,102.25,91.55
2019-04-11,103.8,94.5
2019-04-12,103.6,95.65
2019-04-15,111.4,95.75
2019-04-16,111.2,96.35
2019-04-18,113.65,95.75
2019-04-22,113.4,92.15
2019-04-23,111.7,91.55
2019-04-24,108.15,91.25
2019-04-25,107.35,89.85
2019-04-26,103.9,88.5
2019-04-29,103.45,88.15
