Date,YESBANK,SOUTHBANK
2018-06-18,331.65,23.85
2018-06-19,330.9,23.35
2018-06-20,336.1,23.5
2018-06-21,332.95,23.4
2018-06-22,335.1,23.45
2018-06-25,334.15,23.25
2018-06-26,335.95,22.95
2018-06-27,335.6,22.35
2018-06-28,329.3,21.4
2018-06-29,339.65,22.3
2018-07-02,337.05,21.7
2018-07-03,336.9,21.6
2018-07-04,335.55,21.45
2018-07-05,348.65,21.35
2018-07-06,352.6,21.7
2018-07-09,363.3,22.35
2018-07-10,371.4,22.65
2018-07-11,371.6,22.25
2018-07-12,374.8,22.2
2018-07-13,376.0,21.6
2018-07-16,378.5,21.05
2018-07-17,380.8,22.65
2018-07-18,383.65,21.65
2018-07-19,392.3,21.7
2018-07-20,386.5,22.5
2018-07-23,386.6,18.5
2018-07-24,384.35,18.45
2018-07-25,382.9,18.05
2018-07-26,369.75,17.8
2018-07-27,370.0,18.1
2018-07-30,369.3,18.35
2018-07-31,367.95,18.25
2018-08-01,365.85,17.85
2018-08-02,361.8,18.2
2018-08-03,373.2,18.15
2018-08-06,377.9,18.25
2018-08-07,381.65,18.05
2018-08-08,382.75,18.05
2018-08-09,381.05,18.35
2018-08-10,382.85,18.0
2018-08-13,370.7,17.85
2018-08-14,382.5,17.9
2018-08-16,378.45,18.05
2018-08-17,393.2,18.35
2018-08-20,394.0,17.85
2018-08-21,391.35,17.7
2018-08-23,388.6,17.55
2018-08-24,374.2,17.55
2018-08-27,383.0,17.55
2018-08-28,370.6,17.55
2018-08-29,365.15,17.75
2018-08-30,361.75,17.55
2018-08-31,343.5,17.55
2018-09-03,339.05,17.55
2018-09-04,334.05,16.75
2018-09-05,343.8,16.85
2018-09-06,339.2,16.85
2018-09-07,323.4,16.9
2018-09-10,323.65,16.5
2018-09-11,316.6,16.05
2018-09-12,314.3,16.1
2018-09-14,323.1,16.4
2018-09-17,318.6,16.25
2018-09-18,323.55,15.95
2018-09-19,319.2,15.85
2018-09-21,226.5,15.05
2018-09-24,226.4,14.6
2018-09-25,219.7,14.35
2018-09-26,223.75,14.55
2018-09-27,203.25,13.55
2018-09-28,183.65,13.15
2018-10-01,200.85,13.75
2018-10-03,212.75,14.15
2018-10-04,215.0,14.25
2018-10-05,206.0,13.9
2018-10-08,221.2,13.35
2018-10-09,224.65,13.45
2018-10-10,233.9,13.25
2018-10-11,240.2,12.65
2018-10-12,246.45,12.7
2018-10-15,246.0,12.6
2018-10-16,248.9,14.6
2018-10-17,231.9,14.85
2018-10-19,217.9,14.7
2018-10-22,211.5,14.2
2018-10-23,213.2,13.95
2018-10-24,204.0,13.95
2018-10-25,198.35,13.3
2018-10-26,180.7,13.3
2018-10-29,181.3,14.0
2018-10-30,182.05,14.3
2018-10-31,188.1,14.65
2018-11-01,204.05,14.75
2018-11-02,209.1,14.7
2018-11-05,210.1,14.7
2018-11-06,214.45,14.55
2018-11-07,215.95,15.15
2018-11-09,227.9,15.5
2018-11-12,223.05,15.1
2018-11-13,225.45,15.1
2018-11-14,222.4,14.85
2018-11-15,205.85,14.65
2018-11-16,191.0,14.55
2018-11-19,204.8,14.55
2018-11-20,192.1,14.3
2018-11-21,198.15,14.6
2018-11-22,195.55,14.5
2018-11-26,187.9,14.9
2018-11-27,182.65,15.5
2018-11-28,162.1,15.4
2018-11-29,160.45,15.9
2018-11-30,169.8,16.1
2018-12-03,178.0,16.8
2018-12-04,176.5,16.65
2018-12-05,173.4,16.15
2018-12-06,168.45,15.1
2018-12-07,166.2,15.35
2018-12-10,165.65,15.05
2018-12-11,177.85,15.55
2018-12-12,186.6,16.1
2018-12-13,174.7,16.1
2018-12-14,180.35,15.45
2018-12-17,181.0,15.5
2018-12-18,179.0,15.35
2018-12-19,179.55,15.6
2018-12-20,186.75,15.7
2018-12-21,182.95,15.45
2018-12-24,182.3,15.3
2018-12-26,179.45,15.1
2018-12-27,178.1,15.15
2018-12-28,181.45,15.35
2018-12-31,181.8,15.55
2019-01-01,184.25,15.65
2019-01-02,184.65,15.45
2019-01-03,184.1,15.3
2019-01-04,189.65,15.3
2019-01-07,187.15,15.25
2019-01-08,192.35,15.25
2019-01-09,186.45,15.4
2019-01-10,186.9,15.85
2019-01-11,184.25,15.7
2019-01-14,195.35,15.6
2019-01-15,203.0,15.6
2019-01-16,208.35,15.9
2019-01-17,201.5,15.7
2019-01-18,198.6,15.55
2019-01-21,191.95,14.2
2019-01-22,192.2,14.1
2019-01-23,197.25,13.95
2019-01-24,215.4,13.8
2019-01-25,219.6,13.45
2019-01-28,207.5,13.15
2019-01-29,202.9,13.3
2019-01-30,199.5,13.15
2019-01-31,194.1,13.15
2019-02-01,185.6,13.1
2019-02-04,179.8,13.2
2019-02-05,176.1,12.85
2019-02-06,176.45,12.95
2019-02-07,176.95,13.7
2019-02-08,175.1,13.45
2019-02-11,173.25,13.5
2019-02-12,172.65,13.15
2019-02-13,169.45,12.95
2019-02-14,221.25,13.2
2019-02-15,219.0,12.95
2019-02-18,213.55,12.9
2019-02-19,212.85,12.85
2019-02-20,217.85,13.1
2019-02-21,215.15,13.25
2019-02-22,222.0,13.6
2019-02-25,229.1,13.5
2019-02-26,229.5,13.3
2019-02-27,228.2,13.25
2019-02-28,231.15,13.2
2019-03-01,237.6,13.65
2019-03-05,237.45,14.35
2019-03-06,235.3,15.1
2019-03-07,231.7,15.15
2019-03-08,232.3,14.8
2019-03-11,236.3,15.5
2019-03-12,235.85,15.3
