Date,ICICIBank,HDFCBank
04. Dec 15,261.45,1058.9
07. Dec 15,263.05,1061.95
08. Dec 15,261.45,1049.25
09. Dec 15,259.45,1047.45
10. Dec 15,258.95,1060.6
11. Dec 15,249.3,1046.35
14. Dec 15,249,1055.05
15. Dec 15,246.4,1059.45
16. Dec 15,252.05,1067.3
17. Dec 15,253.15,1080.25
18. Dec 15,250.1,1073
21. Dec 15,258.2,1075.4
22. Dec 15,259.55,1066.45
23. Dec 15,261.85,1074.1
24. Dec 15,257.95,1074
28. Dec 15,264.05,1077.25
29. Dec 15,264.75,1077.95
30. Dec 15,262.35,1074.3
31. Dec 15,261.35,1082.15
01. Jan 16,263,1088.75
04. Jan 16,255.55,1070.5
05. Jan 16,256.7,1062.4
06. Jan 16,250.1,1067.1
07. Jan 16,246.75,1056.2
08. Jan 16,245.05,1062.35
11. Jan 16,239.45,1058.6
12. Jan 16,236.75,1046.95
13. Jan 16,239.5,1060.15
14. Jan 16,235.75,1049.75
15. Jan 16,224.45,1042.15
18. Jan 16,223.1,1025.85
19. Jan 16,228.75,1035.8
20. Jan 16,224.4,1018.3
21. Jan 16,226.3,1023
22. Jan 16,232.75,1030.3
25. Jan 16,236.05,1041.15
27. Jan 16,237.3,1035.65
28. Jan 16,233.2,1031.7
29. Jan 16,230.15,1049.85
01. Feb 16,217.2,1059.75
02. Feb 16,210.4,1053.8
03. Feb 16,204.05,1043.85
04. Feb 16,203.95,1049.2
05. Feb 16,209.4,1055.25
08. Feb 16,208.55,1035.85
09. Feb 16,209.4,1026.05
10. Feb 16,207.25,1012.95
11. Feb 16,199.25,975.3
12. Feb 16,193.55,971.4
15. Feb 16,203.5,973.6
16. Feb 16,196.6,973.45
17. Feb 16,190.75,974.9
18. Feb 16,196.15,989.45
19. Feb 16,198.8,989.3
22. Feb 16,198.45,988.75
23. Feb 16,192,970.05
24. Feb 16,187,949.6
25. Feb 16,183,942.65
26. Feb 16,184.8,961
29. Feb 16,190.05,971.85
01. Mar 16,204.95,984.15
02. Mar 16,220,1007.2
03. Mar 16,218,1015.85
04. Mar 16,220.5,1020.55
08. Mar 16,216.85,1014.15
